发文时间,发帖数量,情感类别,主题数量,转发,点赞,评论,熵值
2022-02-24,15,"{'pos': 13, 'neu': 2}","{'Topic_0': 5, 'Topic_4': 3, 'Topic_5': 2, 'Topic_3': 2, 'Topic_1': 2, 'Topic_2': 1}",24.0,1026.0,191.0,3.308438585631635
2022-02-25,16,"{'pos': 7, 'neu': 7, 'neg': 2}","{'Topic_5': 5, 'Topic_4': 5, 'Topic_3': 2, 'Topic_2': 2, 'Topic_0': 2}",9.0,1085.0,221.0,2.884933036875942
2022-02-26,6,"{'pos': 3, 'neg': 2, 'neu': 1}","{'Topic_3': 2, 'Topic_2': 2, 'Topic_0': 1, 'Topic_4': 1}",11.0,1022.0,261.0,2.716238458345007
2022-02-27,10,"{'neg': 4, 'pos': 3, 'neu': 2}","{'Topic_0': 3, 'Topic_3': 2, 'Topic_4': 2, 'Topic_2': 2, 'Topic_5': 1}",4.0,492.0,95.0,3.124414512433024
2022-02-28,12,"{'pos': 5, 'neg': 4, 'neu': 3}","{'Topic_3': 3, 'Topic_4': 3, 'Topic_0': 3, 'Topic_2': 1, 'Topic_5': 1, 'Topic_1': 1}",7.0,329.0,110.0,3.668396804908516
2022-03-01,20,"{'pos': 11, 'neu': 6, 'neg': 3}","{'Topic_2': 7, 'Topic_0': 6, 'Topic_3': 3, 'Topic_1': 2, 'Topic_4': 1, 'Topic_5': 1}",66.0,2836.0,534.0,3.124282264265622
2022-03-02,20,"{'pos': 9, 'neu': 7, 'neg': 2}","{'Topic_1': 6, 'Topic_4': 5, 'Topic_3': 3, 'Topic_5': 3, 'Topic_0': 2, 'Topic_2': 1}",30.0,1006.0,429.0,3.34762523498073
2022-03-03,13,"{'pos': 11, 'neg': 2}","{'Topic_4': 4, 'Topic_0': 3, 'Topic_2': 2, 'Topic_3': 2, 'Topic_5': 2}",72.0,2757.0,900.0,2.9339524773511547
2022-03-04,8,"{'pos': 4, 'neu': 3, 'neg': 1}","{'Topic_5': 3, 'Topic_0': 2, 'Topic_1': 1, 'Topic_3': 1, 'Topic_2': 1}",9.0,645.0,183.0,2.8831406893324045
2022-03-05,8,"{'pos': 3, 'neu': 3, 'neg': 1}","{'Topic_4': 5, 'Topic_2': 1, 'Topic_0': 1, 'Topic_1': 1}",105.0,12023.0,579.0,3.4729455304244103
