发文时间,发帖数量,pos,neu,neg,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,转发,点赞,评论,熵值
2023-02-01,37,26,10,1,8,6,7,10,6,81,3201,823,2.9799065737599633
2023-02-02,34,27,4,3,10,6,6,5,7,141,8458,2215,3.0814745627860414
2023-02-03,40,29,8,3,8,13,6,4,9,82,4862,776,2.997211417395871
2023-02-04,31,17,9,5,5,7,2,9,8,92,2389,1141,2.979822689072539
2023-02-05,25,15,9,1,5,9,3,4,4,56,6440,1389,2.531501660409317
2023-02-06,31,18,10,3,7,9,6,3,6,63,4547,959,2.6778978902744957
2023-02-07,48,21,22,5,11,10,8,10,9,122,4755,1669,2.8520954927684286
2023-02-08,55,34,16,5,12,13,6,5,19,144,8318,1790,3.104829908403212
2023-02-09,47,28,9,10,17,12,5,8,5,164,11507,3672,3.0512979340738613
2023-02-10,39,25,13,1,6,11,7,2,13,189,7877,1674,3.171447813006076
2023-02-11,26,13,11,2,8,1,3,4,10,85,6357,1193,2.817287089583508
2023-02-12,30,12,9,9,3,7,7,3,10,152,4848,2257,2.8878335288127364
2023-02-13,39,21,14,4,8,9,6,2,14,193,8172,2187,2.8696034420916106
2023-02-14,47,31,10,6,9,10,5,7,16,243,5974,2466,3.0923339796180116
2023-02-15,44,32,5,7,11,9,7,7,10,198,12917,2604,3.201914006365115
2023-02-16,52,31,14,7,6,16,10,11,9,190,6205,1832,2.9506412575692615
2023-02-17,46,31,8,7,8,14,6,10,8,217,4915,2146,3.1386110592523466
2023-02-18,37,19,11,7,8,7,8,6,8,75,3076,875,2.56065807559652
2023-02-19,25,8,9,8,3,4,6,9,3,23,1439,336,2.2911796090717833
2023-02-20,51,28,17,6,13,10,8,11,9,216,7128,2096,2.8624019870863116
2023-02-21,32,16,10,6,3,8,6,10,5,565,26537,6265,2.668500177340246
2023-02-22,45,33,7,5,8,12,4,11,10,147,6403,3391,3.223772102991035
2023-02-23,60,42,13,5,12,13,10,11,14,460,7910,4015,3.230380737192374
2023-02-24,41,29,6,6,8,8,8,12,5,165,3159,1476,3.3007291749536236
2023-02-25,37,24,9,4,6,9,6,9,7,58,3571,796,2.939985883374497
2023-02-26,36,14,18,3,11,6,4,7,8,125,4046,1422,2.950516454061415
2023-02-27,46,25,14,7,11,7,7,10,11,240,5131,2186,3.007656476673194
2023-02-28,35,24,10,1,4,12,8,5,6,88,4152,901,2.870095721259742
2023-03-01,40,21,15,4,9,5,5,6,15,88,7038,1523,2.9939710299440137
2023-03-02,53,33,15,5,9,14,11,8,11,353,7871,2882,2.9996650235858247
2023-03-03,47,29,8,10,11,11,4,7,14,150,6035,1949,3.0912990718272924
2023-03-04,35,16,13,5,4,9,4,6,12,153,4643,1656,2.7417696175303417
2023-03-05,33,16,11,6,6,9,2,6,10,558,6420,1695,3.036549209448591
2023-03-06,34,19,8,7,2,10,8,7,7,113,4460,1134,2.87937960827911
2023-03-07,42,25,12,5,11,11,10,7,3,79,4338,1087,3.132000127801011
2023-03-08,47,30,8,9,10,10,6,13,8,146,29339,1744,3.209202643517869
2023-03-09,54,37,9,8,9,10,5,14,16,171,8861,3953,3.1837647634505193
2023-03-10,42,25,11,6,15,7,10,5,5,101,3385,970,2.9788933469318044
2023-03-11,37,18,12,7,9,8,3,9,8,95,2528,1134,2.8549365757543153
2023-03-12,20,11,6,3,3,4,1,4,8,47,2309,813,2.3444203973032103
2023-03-13,50,28,18,4,15,12,2,12,9,127,3663,1397,2.732503647214046
2023-03-14,50,30,17,3,9,8,8,15,10,1527,9139,3203,2.9563013898104615
2023-03-15,52,35,13,4,14,8,9,13,8,1333,20208,6248,3.045137675300175
2023-03-16,39,26,12,1,6,10,5,6,12,656,13687,3705,3.1095289968718127
2023-03-17,35,21,10,4,9,9,4,5,8,390,9476,2947,3.1028182666722444
2023-03-18,33,18,11,4,3,11,7,7,5,135,4636,1597,2.559537747029267
2023-03-19,35,17,12,6,7,10,4,7,7,181,4348,2071,2.585407132621694
2023-03-20,35,21,10,3,2,9,5,12,7,821,20653,6132,2.8955228928977
2023-03-21,45,31,10,4,10,6,7,11,11,280,20432,3816,3.0009640510659166
2023-03-22,50,32,9,9,11,16,2,8,13,312,8646,3193,3.301156371105284
2023-03-23,34,24,6,4,8,8,6,4,8,237,5789,2015,2.883533416116496
2023-03-24,36,15,17,4,5,7,5,8,11,314,10083,2927,2.6061391781276306
2023-03-25,34,18,10,6,8,8,2,8,8,361,12104,5517,2.8357205066358793
2023-03-26,24,12,6,6,6,6,2,4,6,64,2367,559,2.832612246696297
2023-03-27,31,14,12,5,5,7,5,9,5,71,3427,1378,2.8143361470149504
2023-03-28,38,23,11,4,8,7,6,6,11,122,4876,2439,3.0414320277895293
2023-03-29,50,35,11,4,13,7,11,11,8,119,4222,1634,3.0967582310281228
2023-03-30,46,26,13,7,6,9,5,14,12,175,7028,1880,3.069690377876221
2023-03-31,37,25,6,6,5,10,6,7,9,1084,5480,1823,3.063992198916848
2023-04-01,40,26,7,7,8,9,8,9,6,125,8077,2937,3.193241209959672
2023-04-02,19,12,5,2,5,4,1,3,6,52,4730,1437,3.1858590179105364
2023-04-03,33,21,12,0,3,10,5,8,7,544,8801,1676,2.8112969089436115
2023-04-04,41,28,11,2,1,14,6,9,11,332,7352,1494,3.0363278143664565
2023-04-05,27,20,4,3,5,7,5,5,5,163,16932,4555,3.068903555983662
2023-04-06,34,24,7,3,10,4,4,5,11,96,4048,1078,3.013985013709998
2023-04-07,25,16,6,3,5,5,1,3,11,159,9849,9620,3.200332095397531
2023-04-08,29,15,7,7,6,6,3,10,4,139,7680,2496,2.71503569200313
2023-04-09,22,11,9,2,3,10,1,3,5,28,2934,522,2.97459188390429
2023-04-10,27,16,8,3,7,2,6,4,8,158,5001,1562,2.914189855202357
2023-04-11,34,18,9,7,3,6,5,13,7,803,9142,3235,3.3185359166522366
2023-04-12,34,23,7,4,9,10,4,6,5,56,3468,1562,3.2252803217272663
2023-04-13,35,16,12,7,1,9,5,9,11,158,3822,1229,2.5602313982401057
2023-04-14,40,21,12,7,5,8,7,11,9,286,18429,5417,3.0951501308420655
2023-04-15,37,23,9,4,11,4,5,5,12,152,8746,2389,3.0095285887601917
2023-04-16,21,10,5,6,6,3,3,3,6,63,4160,1154,2.9477864015635866
2023-04-17,42,22,15,5,5,15,10,8,4,84,6511,1347,2.8798450702608585
2023-04-18,49,31,12,6,9,13,9,12,6,92,5704,2430,3.1951793692083332
2023-04-19,32,21,6,5,5,7,4,4,12,121,5588,1726,2.6679799760961322
2023-04-20,47,29,16,2,6,9,11,8,13,377,17123,3528,3.027956569933669
2023-04-21,58,39,13,5,8,13,8,15,14,780,12013,3388,3.2381217758169263
2023-04-22,65,48,9,8,6,29,14,10,6,228,13714,4318,3.164519821770833
2023-04-23,27,20,1,6,4,5,4,5,9,167,3572,1887,3.3270082472218188
2023-04-24,34,23,8,3,3,7,7,10,7,199,3797,1957,3.055337980335514
2023-04-25,47,28,13,6,12,10,10,7,8,282,8928,2121,2.852394073500791
2023-04-26,47,29,12,6,7,11,13,5,11,71,4148,2000,2.9485800645120332
2023-04-27,51,32,16,3,10,16,7,7,11,143,7652,2082,3.081930219488404
2023-04-28,30,20,6,4,6,6,5,8,5,271,7924,3492,3.1772698024025936
2023-04-29,29,18,4,7,1,8,6,11,3,108,3563,1174,3.125392511986075
2023-04-30,9,7,1,1,1,3,0,3,2,20,1160,298,2.778897341991635
2023-05-01,32,19,8,5,6,8,7,5,6,262,5593,2858,3.0436959966788937
2023-05-02,48,32,12,4,10,7,10,14,7,137,3386,1548,2.8575998488126335
2023-05-03,38,24,11,3,8,7,12,6,5,191,6300,1914,3.063015201564429
2023-05-04,42,27,10,5,9,6,2,13,12,96,4521,7046,3.1712716317920973
2023-05-05,44,25,13,6,11,8,6,7,12,305,10561,4145,3.190047332312462
2023-05-06,20,13,6,1,1,3,3,7,6,108,4814,1196,3.2209028856685284
2023-05-07,34,24,8,2,8,4,2,8,12,165,5174,2256,2.965172098187519
2023-05-08,21,13,7,1,3,3,7,5,3,173,2954,1592,3.0134240547136395
2023-05-09,31,18,8,5,3,6,6,7,9,111,4627,1446,2.801829417504098
2023-05-10,35,17,14,4,8,6,4,11,6,164,5540,1273,2.982595170658499
2023-05-11,29,19,8,2,4,9,5,5,6,1847,4320,1735,3.1521416605036032
2023-05-12,38,25,10,3,7,8,8,11,4,149,7319,2092,2.9776353549304035
2023-05-13,25,16,8,1,3,6,3,9,4,93,4253,1264,3.0095680557150577
2023-05-14,16,10,5,1,7,4,1,0,4,119,4176,1980,2.9698401083738717
2023-05-15,28,19,8,1,5,10,4,5,4,52,1961,487,2.8152134246788907
2023-05-16,33,24,7,2,8,6,6,9,4,177,6416,6452,3.350308789136113
2023-05-17,22,14,6,2,4,4,4,6,4,40,1536,399,3.1971789620213458
2023-05-18,39,29,7,3,4,14,5,7,9,152,3957,2038,2.9002636256405046
2023-05-19,35,25,5,4,9,12,5,6,3,43,2237,634,3.0311195971464424
2023-05-20,33,17,11,5,8,6,6,9,4,121,4391,1769,2.791856260913775
2023-05-21,15,11,3,1,0,2,4,5,4,33,1796,361,2.8426838616160675
2023-05-22,23,11,9,3,3,8,3,5,4,37,1481,351,3.341301133142483
2023-05-23,35,27,5,3,10,6,6,3,10,57,2423,948,3.0960695361997836
2023-05-24,38,24,8,6,5,8,9,10,6,122,5267,2042,3.1923073952307077
2023-05-25,29,12,11,6,6,9,5,3,6,198,13804,11990,2.9818982079998877
2023-05-26,25,14,7,4,3,6,8,1,7,40,1913,461,3.3489042581380706
2023-05-27,23,15,5,3,4,5,2,7,5,36,2227,576,3.1214039992433333
2023-05-28,16,8,5,3,2,5,2,4,3,51,3662,648,2.615174391482539
2023-05-29,31,23,6,2,5,7,8,6,5,73,4772,1368,3.062549935888733
2023-05-30,31,16,10,4,7,7,5,6,6,149,9597,2747,2.9231208027108844
2023-05-31,44,26,12,6,8,10,11,8,7,123,4550,1107,2.7724306937684493
2023-06-01,30,15,14,1,6,4,1,7,12,86,2210,751,2.8616300839139575
2023-06-02,34,19,12,3,11,7,3,2,11,60,3078,1078,2.9960070118504554
2023-06-03,23,12,1,10,5,3,3,8,4,88,4165,1427,3.4760316516783214
2023-06-04,20,11,5,4,3,4,7,6,0,45,2851,549,3.115635682169367
2023-06-05,53,45,6,2,8,17,11,6,11,541,28500,3702,3.1497130450526813
2023-06-06,28,19,9,0,7,11,4,2,4,176,5620,1325,2.924167894634748
2023-06-07,29,17,8,4,6,4,7,8,4,74,3057,899,3.661271069305096
2023-06-08,33,16,11,6,8,8,9,4,4,83,3188,832,2.9423487111503785
2023-06-09,30,17,10,3,8,7,6,7,2,77,2708,1071,3.0671389767658623
2023-06-10,30,18,8,4,5,5,6,6,8,104,3285,782,2.9959962340326123
2023-06-11,12,9,3,0,2,4,1,2,3,41,3676,972,2.930132862894302
2023-06-12,22,11,8,3,6,4,3,4,5,36,1946,525,2.7020636152180604
2023-06-13,34,20,7,6,4,9,6,10,5,63,4494,1116,2.8791556630749566
2023-06-14,33,17,9,7,4,11,9,4,5,476,112337,10421,3.118986004422528
2023-06-15,40,23,10,7,9,6,5,8,12,541,51777,9150,2.862048061361584
2023-06-16,32,24,7,1,10,6,4,7,5,47,1719,792,2.9635557561059187
2023-06-17,30,19,7,4,11,3,5,4,7,150,4489,1457,3.0534093272100766
2023-06-18,29,13,12,4,11,1,3,9,5,109,2650,1259,2.7755581115110926
2023-06-19,33,21,8,4,5,4,4,9,11,170,5233,1962,2.8831341167536304
2023-06-20,39,22,12,5,7,3,7,12,10,97,9590,7002,2.8656472520518417
2023-06-21,41,26,12,3,5,10,8,7,11,125,3714,1727,3.0521063833789635
2023-06-22,32,20,10,2,4,9,7,7,5,115,3027,1497,3.046571816971795
2023-06-23,40,20,16,4,8,6,5,15,6,97,4892,1768,2.869137100621993
2023-06-24,34,25,7,2,5,3,3,14,9,102,3144,782,3.018046362799393
2023-06-25,23,12,8,3,7,5,1,4,6,131,8359,5349,3.0604472716463484
2023-06-26,26,12,12,2,4,5,7,6,4,79,5215,1661,2.9176924446812302
2023-06-27,31,20,7,4,8,5,7,2,9,122,4648,1558,3.0648836914606554
2023-06-28,38,27,7,4,7,6,5,13,7,76,4123,1162,3.125633442691097
2023-06-29,30,22,8,0,3,6,5,7,9,63,2892,581,3.0269941364773376
2023-06-30,13,7,5,1,1,3,0,3,6,32,719,226,3.1819507071870223
