content,主题概率,主题类型,情感类型,情感得分
ahead share casual cnvincing nice hope infected ,"[(0, 0.0208667), (1, 0.020865904), (2, 0.02087878), (3, 0.020883584), (4, 0.020888336), (5, 0.8956167)]",5,POSITIVE,0.9931382536888123
ahhh hexagonal fighter awesome ,"[(0, 0.033357795), (1, 0.8331737), (2, 0.03338073), (3, 0.03336079), (4, 0.033365507), (5, 0.033361457)]",1,POSITIVE,0.9995558857917786
airbrushed human abuse ,"[(0, 0.04169597), (1, 0.042061478), (2, 0.041709825), (3, 0.6204795), (4, 0.042150114), (5, 0.21190308)]",3,NEGATIVE,0.9921665191650391
alive ,"[(0, 0.08333792), (1, 0.5832689), (2, 0.083337836), (3, 0.08333795), (4, 0.08337943), (5, 0.083338)]",1,POSITIVE,0.9998559951782227
allah test chinese remember true retard nigga ,"[(0, 0.020936344), (1, 0.021201625), (2, 0.8948836), (3, 0.02102055), (4, 0.020993639), (5, 0.020964265)]",2,NEGATIVE,0.982314944267273
ally ,"[(0, 0.08335154), (1, 0.083351456), (2, 0.5830298), (3, 0.083564155), (4, 0.083351165), (5, 0.083351895)]",2,POSITIVE,0.9996740818023682
amar algeria 🇩and friend china country ,"[(0, 0.023872014), (1, 0.023888482), (2, 0.8804777), (3, 0.023999233), (4, 0.023918971), (5, 0.023843557)]",2,POSITIVE,0.9898244738578796
amaze ,"[(0, 0.08389241), (1, 0.5816732), (2, 0.0834177), (3, 0.08398476), (4, 0.083653644), (5, 0.083378315)]",1,POSITIVE,0.9996262788772583
amaze china ,"[(0, 0.056307346), (1, 0.3130051), (2, 0.056270525), (3, 0.056019828), (4, 0.462773), (5, 0.055624202)]",4,POSITIVE,0.9995487332344055
amaze field ,"[(0, 0.7202023), (1, 0.056518108), (2, 0.05565942), (3, 0.05598307), (4, 0.056045517), (5, 0.05559157)]",0,POSITIVE,0.9997001886367798
amaze friend mbbs global peace ,"[(0, 0.028136613), (1, 0.027944481), (2, 0.027851406), (3, 0.8601167), (4, 0.028075725), (5, 0.027875017)]",3,POSITIVE,0.9995904564857483
amaze gota push mountain ,"[(0, 0.033739597), (1, 0.03403047), (2, 0.03338398), (3, 0.39202443), (4, 0.03347004), (5, 0.47335154)]",5,POSITIVE,0.6001213192939758
amaze incredible ,"[(0, 0.05574581), (1, 0.7207028), (2, 0.05649244), (3, 0.055768095), (4, 0.05568298), (5, 0.055607855)]",1,POSITIVE,0.9998886585235596
amaze miraculous ,"[(0, 0.05574916), (1, 0.7215628), (2, 0.05561781), (3, 0.055778854), (4, 0.055683423), (5, 0.05560794)]",1,POSITIVE,0.9998267292976379
amaze park ,"[(0, 0.72045326), (1, 0.056588907), (2, 0.055615168), (3, 0.055980742), (4, 0.055773012), (5, 0.055588868)]",0,POSITIVE,0.9994843006134033
amaze people ,"[(0, 0.05591152), (1, 0.7208798), (2, 0.055689618), (3, 0.055863835), (4, 0.055963162), (5, 0.055692017)]",1,POSITIVE,0.9991676807403564
amaze ride ,"[(0, 0.72050405), (1, 0.056539215), (2, 0.055615105), (3, 0.05598009), (4, 0.055772737), (5, 0.05558883)]",0,POSITIVE,0.9997342228889465
amaze solution human food ,"[(0, 0.033438887), (1, 0.03378415), (2, 0.033406448), (3, 0.83255374), (4, 0.033469774), (5, 0.03334698)]",3,POSITIVE,0.9989726543426514
amaze technology ,"[(0, 0.05587674), (1, 0.056390148), (2, 0.055607114), (3, 0.720731), (4, 0.055810887), (5, 0.05558415)]",3,POSITIVE,0.9997960925102234
amaze verity flower combination ,"[(0, 0.033574037), (1, 0.37412527), (2, 0.03342533), (3, 0.03381402), (4, 0.49166375), (5, 0.03339754)]",4,POSITIVE,0.9994499087333679
amazing ,"[(0, 0.08390299), (1, 0.5816491), (2, 0.08341782), (3, 0.0839974), (4, 0.08365426), (5, 0.08337838)]",1,POSITIVE,0.999875545501709
amazing beautiful post ,"[(0, 0.79022336), (1, 0.042362507), (2, 0.041895453), (3, 0.041875344), (4, 0.041774448), (5, 0.041868895)]",0,POSITIVE,0.9998863935470581
amazing brother cute ,"[(0, 0.041827), (1, 0.04230456), (2, 0.041959915), (3, 0.79047036), (4, 0.0417567), (5, 0.041681495)]",3,POSITIVE,0.9998430013656616
amazing canoe pair rower china gold medal olympic game excite honor chinese athlete team success glory upcoming competition ,"[(4, 0.9559327)]",4,POSITIVE,0.9997847676277161
amazing creativity ,"[(0, 0.05572934), (1, 0.72186106), (2, 0.055578526), (3, 0.055673305), (4, 0.055578444), (5, 0.055579286)]",1,POSITIVE,0.9998816251754761
amazing event ,"[(0, 0.05557887), (1, 0.72184885), (2, 0.05557851), (3, 0.05583607), (4, 0.055578426), (5, 0.05557927)]",1,POSITIVE,0.9998753070831299
amazing exciting ,"[(0, 0.055721514), (1, 0.72064805), (2, 0.055593774), (3, 0.055743612), (4, 0.05670988), (5, 0.055583145)]",1,POSITIVE,0.9998853206634521
amazing pedestal walk site soulmate ,"[(0, 0.86072445), (1, 0.027959913), (2, 0.027815474), (3, 0.02786723), (4, 0.027834235), (5, 0.02779874)]",0,POSITIVE,0.9998661279678345
amazing roast sausage ,"[(0, 0.40201834), (1, 0.042342108), (2, 0.041857965), (3, 0.042009328), (4, 0.42963135), (5, 0.0421409)]",4,POSITIVE,0.9997113347053528
amazing victory gold medal chinese athlete olympic game healthy successful sport life ,"[(0, 0.01288832), (1, 0.012984413), (2, 0.56969905), (3, 0.012903492), (4, 0.37866917), (5, 0.012855524)]",2,POSITIVE,0.9998630285263062
amazing view ,"[(0, 0.05570806), (1, 0.7217099), (2, 0.055580955), (3, 0.05573012), (4, 0.055700965), (5, 0.055569973)]",1,POSITIVE,0.9998815059661865
amazingly rich natural food ,"[(0, 0.033368595), (1, 0.83268964), (2, 0.03349648), (3, 0.03360569), (4, 0.033459265), (5, 0.03338028)]",1,POSITIVE,0.9998862743377686
amei ,"[(0, 0.083487764), (1, 0.083487004), (2, 0.582561), (3, 0.083488815), (4, 0.08348463), (5, 0.083490774)]",2,POSITIVE,0.9879124760627747
