时间,fenci,主题概率,主题类型
2023-11-02,厉害 鬼子 核污染 水排 希望 就美 守护 灯火 视频,"[(0, 0.01716034), (1, 0.016961344), (2, 0.017241076), (3, 0.01689475), (4, 0.016772138), (5, 0.9149704)]",5
2024-02-02,媒称 企业界 代表团 访华 撤销 水产品 禁令 晚宴 开胃菜 金枪鱼,"[(0, 0.015198821), (1, 0.015184265), (2, 0.9237655), (3, 0.0152342655), (4, 0.0152052175), (5, 0.0154119255)]",2
2023-10-26,接触 核污染 污水 输送管 脱落 污水 工作人员 小时 体表 辐射量 达标 紧急 医院 核污染 没事 国际原子能机构 核污染 水排 背书 人员 陆战 铁骑 视频,"[(1, 0.19087814), (5, 0.78107667)]",5
2024-01-14,不知 海域 有没有 废水 陌生 环境 地方 用餐 食材 卫生 状态 不洁 痛苦,"[(0, 0.011994076), (1, 0.45743677), (2, 0.01210576), (3, 0.49435538), (4, 0.012043738), (5, 0.012064254)]",3
2024-02-08,煤西 上场 废水 滋润 顶级 变得 不酸 面瘫 煤西 态度 后果 无关 事实 情况 独立 关系 生变 前提 俱乐部 国际 股东 医学 奇迹 特区 脸面 球迷 伤口 目的 递交 名状 寻求 庇护 球迷 伤口 名状 庇护 可靠 想象 煤西 球迷 疯狂 煤球 脏东西 锦鲤 视频 收起,"[(5, 0.9821005)]",5
2023-11-07,废水 排海 排放 污水 排放 污水 排放 污水 排核 污水 放射性 成分 包括 半衰期 滞留 骨骼 肌肉组织 肿瘤 癌症 卵巢癌 膀胱癌 半衰期 导致 甲状腺癌 半衰期 人类 断裂 半衰期 半衰期 污水 废水 拒绝 冷漠 看客 收起,"[(5, 0.9766109)]",5
2024-01-25,代表团 包括 解除 水产品 禁令 找事 奉陪到底 评论 局长 视频,"[(0, 0.015236173), (1, 0.015272547), (2, 0.015388119), (3, 0.6140567), (4, 0.015307444), (5, 0.32473904)]",3
2023-12-29,献词 守住 不惑 底线 选择 值得 原创 编辑部 发表 情侣 等待 日出 记者 全文 阅读 守住 内心 守住 守住 不惑 底线 守护 人生 大盘 答案 前路 选择 值得 思考 迎接 探索 授权 转载 编辑部 积蓄 生于 迎来 创刊 人口普查 平均年龄 不惑 新闻纸 微妙 期许 诞生 现实 充满 未知 困惑 穿越 不惑 边界 求索 现代文明 答案 内蕴 基因 使命 寻刻 民族 走向 复兴 经纬 坐标 记录 个体 命运 追求 歌颂 呈现 抗拒 暴露 见证 诉说 努力 参与 壮丽 故事 故事 汲取 力量 面对 未知 困惑 背离 基因 使命 读懂 地铁 号线 稻香 中铁 工作人员 弱电 系统 专业 支架 安装 作业 记者 读懂 不惑 状态 不惑 年岁 感受 困惑 推背 变局 演变 足以 暴雨 气象 气候 支原体 肺炎 上热 流感 成热词 儿科 网约车 饱和 全职 儿女 等待 记得住 保卫 相伴 病魔 故事 摘下 口罩 感到 寒气 关系 晤谈 正确 厮杀 局中局 污水 洋流 扩散 地球 合与 取代 算法 控制 解放 人类 星辰 技术 带来 宇宙 魔咒 不惑 刷新 边界 穿越 途径 抱朴 守护 方寸 殊为 珍贵 走向 烧烤 走进 演唱会 特种兵 逝者 道别 生者 欢呼 喝彩 出演 短剧 主角 荒草 街道 魔法 舞台 主题 绿野 音乐节 风景区 现场 视觉 局中人 守住 内心 守住 守住 不惑 底线 守护 人生 大盘 加油 感受 困惑 感佩 生于 平凡 不甘 徘徊 踯躅 欣赏 迈开 脚步 理解 做出 抉择 目睹 见证 汇成 困惑 通向 醒悟 答案 前路 选择 值得 思考 迎接 探索 头破血流 闪展 腾挪 饱含 希望 奋起 升起 篝火 迎接 燃烧 降雪 天气 外卖 小哥 骑行 视觉 不惑 前行 心怀 牵挂 闯荡 背着 跳舞 扛着 世界 无可 坚强 不惑 结构 涌现 危机 萌发 生机 陷入 坚信 珍贵 遭受 厄运 志趣 光阴 淘洗 种子 破土 风华 不惑 是从 生出 创伤 明媚 暖意 驱散 焦灼 宇宙 能量 安放 不惑 直击 本质 不失 看清 热爱 洞穿 世事 心怀 慈悲 人生 绽放 不惑 见惯 在意 一滴水 倔强 柔软 兼程 不知 所起 眷念 不惑 时刻 弱者 声音 弱者 社会 来源于 自强 示弱 机会 不惑 灵魂 最亮 照亮 前路 明灯 不惑 坚定 历史 验证 共识 直面 跌宕 执手 相行 心怀 创造 不惑 坚守 正义 良知 爱心 理性 无力 悲观者 前行 力量 不惑 本源 回到 困惑 目光 梦想 地震 牛肉面 父母 孩子 课间 仅限 踏实 求解 源自 遮蔽 敲开 坚壳 触摸 答案 亲爱 读者 升起 晨曦 驱走 照进 大地 角落 照进 期待 不困 不惑 不忧 收起,"[(0, 0.997756)]",0
2023-10-08,封口费 聪明 热度 不在 排放 废水 热度 破坏 人类 世世代代 恶魔,"[(0, 0.01414577), (1, 0.013948668), (2, 0.013951285), (3, 0.85442215), (4, 0.013951456), (5, 0.08958073)]",3
2023-10-01,废水,"[(0, 0.08376077), (1, 0.08388172), (2, 0.083525404), (3, 0.58127266), (4, 0.0834591), (5, 0.08410037)]",3
2023-11-01,没见 废水 排放 机会 电火花 视频,"[(0, 0.024032569), (1, 0.024043866), (2, 0.023927193), (3, 0.024017828), (4, 0.023926543), (5, 0.88005203)]",5
2023-12-27,时间 国务 国务 长朴 购然 核污染 排放 禁止 水产品 地区 扇贝 水产品 实施 放射性物质 发现 微量 含量 提交 核素 证明 相当于 禁止 日方 计划 禁止 扇贝 日方 计划 政府 实施 海产品 严密 实施 放射性物质 新闻 网站 报道 官员 谈到 扇贝 一事 外交 渠道 提出 报道 停摆 重启 高层 经济 对话 相关 会议 讨论 水产品 民众 担心 禁止 扇贝 呼吁 解除 禁令 担忧 指出 试图 地区 扇贝 水产品 缺乏 现实 理由 阻止 情况 日方 机会 废除 水产品 禁令 排除 过程 公开 讨论 可能性 收起,"[(3, 0.5521427), (5, 0.4398376)]",3
2024-02-26,皮肤 状态 油皮 学生 时代 起痘 大学 瞎折腾 痘痘 总算 天气 饮食 皮肤 毛孔 黑头 洗完 平常 出门 化妆 瑕疵 还好 遮住 鼻子 黑头 不太能 遮住 粉底 小时 散粉 请问 姐妹 皮肤 拯救 做医 平常 水乳 废水 国货 适合 化妆品 推荐 收起,"[(0, 0.9804435)]",0
2023-11-18,希望 取消 停止 食品 措施 郑重 回应 报道 会晤 例行 记者会 污水 事关 全人类 健康 全球 国际 公共利益 严肃 关切 负责 建设性 态度 妥善处理 回应 确实 要害 日方 希望 取消 措施 维护 利益 停止 损害 全世界 利益 包括 世界 防范 应对 措施 维护 民众 健康 正当 缓和 代表 原则 让步 日方 收起 想法 做出 改变 维护 国际 社会 利益 损害 保证 利益 办法 收起,"[(5, 0.987084)]",5
2023-11-18,废水 排放 事件 不小 压力,"[(0, 0.3867999), (1, 0.027933925), (2, 0.027876643), (3, 0.5012562), (4, 0.027990002), (5, 0.028143374)]",3
2023-12-18,喜欢 游戏 朋友圈 相关 买到 粉丝 发条 爷青 朋友圈 喜欢 打卡 朋友圈 生气 废水 朋友圈 配图 没错 跟风 朋友圈 最潮 追风 收起,"[(1, 0.38096473), (5, 0.58956224)]",5
2024-02-24,参考消息 报道 电力公司 核电站 核污染 排海 节点 全国 渔业 协会 渔联 渔协 显示 渔协 回答 形象 受损 接受 团体 机构 列举 水产品 带来 损失 体现 网页 链接 收起,"[(5, 0.9711567)]",5
2023-10-04,昂贵 资生堂 废水 导致 化妆 用品 辐射 发光 换成 头皮 干爽 颅顶 护发素 容量 浪费 润泽 心疼 收起,"[(1, 0.89765465), (3, 0.06698768)]",1
2023-10-29,废水 排入 人类 危害 三维动画 废水 排入 知识 原理 视频,"[(0, 0.015208857), (1, 0.015195113), (2, 0.015238275), (3, 0.923501), (4, 0.015485965), (5, 0.015370824)]",3
2024-02-26,废水 排入 人类 生态 危害 时报 解答 大众 关切 疑问 时报 计划 排放 核污染,"[(0, 0.011177522), (1, 0.011164078), (2, 0.01117449), (3, 0.011294146), (4, 0.94389457), (5, 0.011295246)]",4
2024-01-24,经济界 团体 访问 解除 水产品 禁令 免签 脑壳,"[(0, 0.018634818), (1, 0.018671747), (2, 0.3764814), (3, 0.29309386), (4, 0.27424532), (5, 0.018872842)]",2
2024-02-15,超话 废水 确实 心虚 视频,"[(0, 0.028149856), (1, 0.027987419), (2, 0.3797579), (3, 0.028104933), (4, 0.028124513), (5, 0.5078754)]",5
2023-11-17,报道 核电站 污水 溅射 事故 电力公司 事故 原因 阀门 操作 导致 管道 内压 软管 脱落 报道 接触 废液 作业员 防范 身体 衣物 核电站 污水处理 作业员 污水 溅射 紧急 送医 掺杂 污水 废弃 液体 溅射 地面 泄漏 区域 收起,"[(1, 0.85395706), (5, 0.12882692)]",1
2023-12-11,国际原子能机构 放射性 信息系统 脚盆 核辐射 污水 排放 水域 面积 浓度 全球 核泄漏 瞒报 传统 排核 大户 霉利奸 叫嚣 核弹 毒瘤 验证 链接 网页 链接 收起,"[(3, 0.13607685), (5, 0.8379545)]",5
2024-01-02,提醒 核电站 发生 事故 地震 地震 请问 核电站 还好 电力公司 前科 公司 核电站 发生 事故 时间 顶级 核电 工程师 协助 核事故 拒绝 珐的 核能 技术 世界 顶尖 拒绝 国家 专家 堆芯 排放 污水 地震 核电站 承认 污水 排放 希望 氢弹 收起,"[(2, 0.14829922), (5, 0.8356915)]",5
