nan,movie,pixar,film,red,story,disney,animation,kids,panda,characters,parents,family,movies,watch,girl,character,time,mother,girls,bad,people,films,main,mei,children,age,love,message,feel,watching,friends,lot,fun,puberty,life,audience,daughter,annoying,plot,pixars,asian,cute,mom,bit,funny,period,worst,coming,style,boy
main,5,1,1,0,0,0,0,0,1,9,0,0,0,0,1,40,1,1,1,0,0,0,74,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
mei,3,1,0,4,0,0,0,0,12,1,1,1,0,0,1,3,0,3,0,1,1,0,0,72,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0
children,5,3,1,1,1,1,1,2,0,0,6,0,0,3,0,0,0,0,0,0,1,0,0,0,71,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
age,4,0,1,2,5,0,1,4,0,0,0,0,2,0,1,1,0,1,3,0,0,0,0,0,1,70,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,31,0,2
love,5,8,2,2,1,8,3,3,2,3,1,0,1,2,0,0,0,0,0,1,2,0,0,0,1,0,70,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
message,3,2,0,0,1,0,2,5,0,1,4,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,68,0,0,1,0,1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
feel,12,1,1,1,1,2,1,0,0,1,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,68,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
watching,4,0,3,1,1,1,0,3,0,0,0,2,0,0,1,0,3,0,0,0,2,1,1,1,1,0,0,0,1,65,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
friends,2,0,0,0,0,0,0,0,0,2,3,8,0,0,4,4,0,1,1,0,1,0,0,1,0,0,1,1,0,0,63,1,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1
lot,3,3,0,0,2,2,0,2,0,0,2,1,2,0,1,0,1,0,1,1,4,1,0,0,0,1,0,0,0,1,1,63,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun,6,2,2,2,3,2,1,2,0,3,0,2,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,2,62,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0
puberty,0,2,2,2,0,1,0,1,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,1,1,0,1,2,1,0,0,1,0,62,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
life,3,1,0,0,1,0,0,0,2,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
audience,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daughter,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,52,0,0,0,1,0,3,1,0,1,0,0,0,0
annoying,3,0,1,0,0,0,0,1,0,15,0,0,1,0,0,5,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,0,1,0,0,0,0,51,1,0,0,0,0,2,0,0,0,0,0,0
plot,0,1,1,0,3,1,2,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,1,51,0,0,0,1,0,1,0,0,1,0,0
pixars,3,0,1,5,0,3,0,0,0,2,2,0,1,1,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,3,0,1,0
asian,4,1,0,0,3,0,0,0,0,1,4,2,0,0,4,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,47,1,0,0,0,0,0,0,1,0
cute,5,1,1,3,4,0,1,0,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,47,1,0,1,0,0,2,1,0
mom,1,0,1,1,0,0,0,0,3,1,1,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,0,0,1,46,0,1,0,0,0,0,0
bit,2,2,0,0,1,1,0,0,2,3,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,2,0,1,0,0,0,45,0,0,0,1,1,0
funny,4,0,0,1,0,0,0,2,0,3,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,45,0,0,0,0,0
period,2,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,43,0,0,0,0
worst,6,10,1,2,0,2,2,1,0,3,1,1,4,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,42,0,0,0
coming,1,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,41,0,0
style,3,1,0,1,0,0,10,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,41,0
boy,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
