标题,评分,年份,国家,主演
血色浪漫,8.8,2004 , 中国大陆 , 刘烨 孙俪
沉默的证人,8.8,2004 , 中国大陆 , 王志飞 林熙越
苍穹之昴,8.8,2010 , 中国大陆 日本 , 田中裕子 殷桃
成吉思汗,8.8,2004 , 中国大陆 , 巴森 萨仁高娃
百变马丁,8.8,2015 , 中国大陆 , 姚培华 游军
一地鸡毛,8.8,1995 , 中国大陆 , 陈道明 徐帆
孝子,8.8,2006 , 中国大陆 , 许亚军 咏梅
似水年华,8.8,2003 , 中国大陆 , 黄磊 刘若英
铁血征途,8.8,2013 , 中国大陆 , 林江国 王韦智
课间好时光 第一季,8.8,2007 , 中国大陆 , 刘旭 何超
家宴,8.8,2014 , 中国大陆 , 王刚 颜丙燕
非常公民,8.8,2002 , 中国大陆 , 黄子华 蒋雯丽
命案十三宗,8.8,2000 , 中国大陆 , 刘威葳 李进荣
绝对隐私,8.8,2005 , 中国大陆 , 周迅 陈坤
十七岁不哭,8.8,1997 , 中国大陆 , 郝蕾 牛萌萌
百集聊斋之人鬼情缘,8.8,2000 , 中国大陆 , 刘敏涛 刘奕君
都市笑口组,8.8,2003 , 中国大陆 , 刘云明 张鹏
犯罪升级,8.8,1999 , 中国大陆 , 伍强 梁达
说的就是你2,8.8,2015 , 中国大陆 , 宋卿 杨天琪
儿女情长,8.8,1996 , 中国大陆 , 奇梦石 王玉梅
校园先锋,8.8,1996 , 中国大陆 , 陈瑾 张毅
观世音传奇,8.8,1995 , 中国大陆 , 陶慧敏 王思思
贻笑大方,8.8,2001 , 中国大陆 , 叶京 张涵予
天真派：西游记,8.8,2019 , 中国大陆 , 葛奕德 段智文
沂蒙,8.8,2009 , 中国大陆 , 迟蓬 孟霞
居家男人,8.8,2004 , 中国大陆 , 傅彪 伍宇娟
八兄弟,8.8,2008 , 中国大陆 , 倪大红 周小斌
武松,8.8,1983 , 中国大陆 , 祝延平 王景秋
司马迁,8.8,1997 , 中国大陆 , 仇永力 王全有
陈景润,8.8,2003 , 中国大陆 , 刘己 田　玲
百家讲坛：道光与鸦片战争,8.8,2008 , 中国大陆 , 喻大华
联林珍奇,8.8,1988 , 中国大陆 , 张弓 周洁
第三军团,8.8,1993 , 中国大陆 , 吕齐 嵇波
大秦腔,8.8,1997 , 中国大陆 , 储智博 朱琳
拉萨往事,8.8,2002 , 中国大陆 , 多布杰 朗杰央宗
远东阴谋,8.8,1996 , 中国大陆 , 师小红 高兰村
逗吧逗把街,8.8,2014 , 中国大陆 , 李小嘉 杨珊珊
曹操与杨修,8.8,1990 , 中国大陆 , 尚长荣 言兴朋
百家讲坛：五百年来王阳明,8.8,2017 , 中国大陆 , 郦波
领袖,8.8,2014 , 中国大陆 , 王霙 郭广平
龙珠,8.8,1997 , 中国大陆 泰国 , 苗乙乙 黄凯
窍哥,8.8,1993 , 中国大陆 , 宁理 穆丽燕
长天烽火,8.8,1994 , 中国大陆 , 濮存昕 黄磊
同学，你好！,8.8,2001 , 中国大陆 , 林佳妮 曹苑
动力澎湃,8.8,2021 , 中国大陆 , 厉成功 王立平 丁宁
我要做好孩子,8.8,1999 , 中国大陆 , 姜春晖 李梦
百家讲坛 国史通鉴第二部：春秋战国,8.8,2014 , 中国大陆 , 方志远 于毅
魔幻巧克力,8.8,2004 , 中国大陆 , 画神闲 张芳
百家讲坛—唐宋八大家之韩愈,8.8,2010 , 中国大陆 , 康震
情陷上海滩,8.8,1997 , 中国大陆 , 王建成 刘蕾
百家讲坛 国史通鉴第一部：天下大势,8.8,2014 , 中国大陆 , 方志远
百家讲坛—唐宋八大家之欧阳修,8.8,2010 , 中国大陆 , 康震
抗联敢死队之红雪,8.8,2007 , 中国大陆 , 刘立伟 徐成峰
九斤姑娘,8.8,1986 , 中国大陆 , 张瑞春 张弓
科技馆的故事,8.8,2004 , 中国大陆 , 牛晨健 希尔扎提
男生那点事,8.8,中国大陆 , 王滔 , 李佳轩 梅岳 祝瑞 闫旷达
卧底前传之姐妹篇,8.8,2013 , 中国大陆 , 于洋 李浩修
海湾战争全程实录,8.8,2005 , 中国大陆 , 吴俊全
三体,8.7,2023 , 中国大陆 , 张鲁一 于和伟
去有风的地方,8.7,2023 , 中国大陆 , 刘亦菲 李现
毛骗 第一季,8.7,2010 , 中国大陆 , 安宁 赵宁
灵魂摆渡,8.7,2014 , 中国大陆 , 于毅 肖茵
朱元璋,8.7,2006 , 中国大陆 , 胡军 剧雪
少年天子,8.7,2003 , 中国大陆 , 邓超 潘虹
叹息桥,8.7,2020 , 中国香港 中国大陆 , 林保怡 周家怡
舞乐传奇,8.7,2013 , 中国大陆 , 秋瓷炫 林更新
超少年密码,8.7,2016 , 中国大陆 中国台湾 , 王俊凯 王源
腾空的日子,8.7,2014 , 中国大陆 , 李佳航 胡冰卿
重案六组2,8.7,2003 , 中国大陆 , 丁志城 王茜
七种武器之孔雀翎,8.7,2011 , 中国大陆 , 释小龙 穆婷婷
生死线,8.7,2009 , 中国大陆 , 廖凡 张译
星际精灵蓝多多,8.7,2011 , 中国大陆 , 高亚麟 李晴
外来媳妇本地郎,8.7,2000 , 中国大陆 , 龚锦堂 黄锦裳
插翅难逃,8.7,2002 , 中国大陆 , 赵燕国彰 于慧
老农民,8.7,2014 , 中国大陆 , 陈宝国 冯远征
追,8.7,2007 , 中国大陆 , 王新军 李强
血色湘西,8.7,2007 , 中国大陆 , 白静 卫仑
楚留香新传,8.7,2012 , 中国大陆 , 张智尧 樊少皇
一触即发,8.7,2012 , 中国大陆 , 钟汉良 李立群
年轮,8.7,1992 , 中国大陆 , 张世会 王凤斌
为了一句话,8.7,2015 , 中国大陆 , 李雪健 朱媛媛
使命,8.7,2005 , 中国大陆 , 张嘉益 刘钧
马王堆传奇,8.7,2010 , 中国大陆, 中国大陆
原乡,8.7,2014 , 中国大陆 , 张国立 陈宝国
斗龙战士2之星龙圣域,8.7,2013 , 中国大陆 , 刘红韵 李旭乔
说的就是你3,8.7,2020 , 中国大陆 , 宋卿 杨天琪
上海一家人,8.7,1991 , 中国大陆 , 李羚 何伟
千秋家国梦,8.7,1997 , 中国大陆 , 赵文瑄 黄磊
傻儿师长,8.7,1992 , 中国大陆 , 刘德一 唐玉生
三言二拍,8.7,1993 , 中国大陆 , 濮存昕 王新民
国防生,8.7,2013 , 中国大陆 , 邹廷威 林爽
动物王国窃案,8.7,1987 , 中国大陆 , 沈小谦 于鼎
水浒少年,8.7,2000 , 中国大陆 , 潘元甲 刘婷
新乱世佳人,8.7,1997 , 中国大陆 , 恬妞 杨明娜
武装特警,8.7,2004 , 中国大陆 , 杨凡 郑卫莉
美丽人生,8.7,2008 , 中国大陆 , 李雪健 吴越
9·18大案侦破纪实,8.7,1994 , 中国大陆 , 武和平 王戎
巡城御史鬼难缠,8.7,2004 , 中国大陆 , 李保田 傅艺伟
警察李“酒瓶”,8.7,2001 , 中国大陆 , 李保田 黄宗洛
百家讲坛：喻大华评说嘉庆王朝,8.7,2009 , 中国大陆 , 喻大华
迷雾,8.7,2007 , 中国大陆 , 董勇 苏岩
一级恐惧,8.7,1999 , 中国大陆 , 张晓磊 胡珂瑜
世纪人生：董竹君传奇,8.7,1999 , 中国大陆 , 李媛媛 吕凉
烽火燃情,8.7,2011 , 中国大陆 , 胡海锋 王力可
万卷楼,8.7,2009 , 中国大陆 , 郭冬临 刘敏
永远的忠诚,8.7,2011 , 中国大陆 , 张国强 陶虹
镇长,8.7,2007 , 中国大陆 , 潘粤明 陈祉希
布尔什维克兄弟,8.7,1994 , 中国大陆 , 李幼斌 傅学成
红楼梦,8.7,2002 , 中国大陆 , 钱惠丽 余彬
贾里的故事,8.7,1996 , 中国大陆 , 肖岳
东山学堂,8.7,2013 , 中国大陆 , 王子刚 宋佳玲
快乐小东西,8.7,2010 , 中国大陆 , 赵斌
爱情女侦探,8.7,1996 , 中国大陆 , 李秀冬 刘真
了凡的故事,8.7,2006 , 中国大陆 , 李解 杨明娜
三个和一个,8.7,1988 , 中国大陆 , 吴俊 陈兵
青春正点,8.7,2000 , 中国大陆 , 刘威葳 刘子枫
武生泰斗,8.7,1990 , 中国大陆 , 邢岷山 徐帆
小楼风景,8.7,1994 , 中国大陆 , 朱旭 王馥荔
翠姐姐回娘家,8.7,1996 , 中国大陆 , 吕静 陈国良
世纪之约,8.7,2002 , 中国大陆 , 周野芒 赵丽娟
警察遇到兵,8.7,2010 , 中国大陆 , 孙逊 吴健
中国人的活法 第一季,8.7,2015 , 中国大陆 , 朱之文 孔龙震
狼行拂晓,8.7,1996 , 中国大陆 , 张继波 兰振波
针眼警官,8.7,1992 , 中国大陆 , 冯远征 刘佳
一个人的一天,8.7,2013 , 中国大陆 , 张尧
七十二家房客,8.7,1978 , 中国大陆 , 杨华生 王汝刚
石榴熟了 第一季,8.7,2016 , 中国大陆 , 叨叨 阿娜尔罕
大英雄郑成功,8.7,2004 , 中国大陆 , 何家劲 约翰·加纳德
一手托两家,8.7,2004 , 中国大陆 , 陈宝国 赵妮
七十二家房客,8.7,2017 , 中国大陆 , 王汝刚 毛猛达
百家讲坛：成败论乾隆,8.7,2013 , 中国大陆 , 张宏杰
百家讲坛：永乐大帝,8.7,2010 , 中国大陆 , 商传
开心就好之男人无烦恼,8.7,2003 , 中国大陆 , 梁冠华 杨立新
我们都是好朋友,8.7,2004 , 中国大陆 , 杨云溪 牛骏峰
小小生命树,8.7,1997 , 中国大陆 , 卞涛 左翎
新疆反恐纪实,8.7,2004 , 中国大陆 , 高峰
地藏王传奇,8.7,1989 , 中国大陆 , 张鸿 徐幸
男左女右梆梆挷,8.7,2008 , 中国大陆 , 曹娜 曹婧
森林守望者,8.6,2010 , 中国大陆 , 萧玮 Green Peace
武昌首义,8.7,2006 , 中国大陆 , 李诚儒 潘琼
大学女孩,8.7,1998 , 中国大陆 , 刘晶晶 席与立
B哥的一天,8.7,2006 , 中国大陆 , 焦双喜 周雨欣
我有一个朋友,8.6,2023 , 中国大陆 , 谢兴阳 苏梦迪
古相思曲,8.6,2023 , 中国大陆 , 张雅钦 郭迦南
伪装者,8.6,2015 , 中国大陆 , 胡歌 靳东
棋魂,8.6,2020 , 中国大陆 , 胡先煦 张超
少年包青天,8.6,2000 , 中国大陆 , 周杰 释小龙
上错花轿嫁对郎,8.6,2001 , 中国大陆 , 黄奕 李琳
你好，旧时光,8.6,2017 , 中国大陆 , 李兰迪 张新成
济公,8.6,1985 , 中国大陆 , 游本昌 吕凉
破事精英 第二季,8.6,2023 , 中国大陆 , 李佳航 成果
孝庄秘史,8.6,2002 , 中国大陆 , 宁静 马景涛
水月洞天,8.6,2004 , 中国大陆 , 于波 蔡少芬
曾少年之小时候,8.6,2023 , 中国大陆 , 张籽沐 张开泰
铠甲勇士,8.6,2009 , 中国大陆 , 吴建飞 郭帅
