标题,年份,主演
麻雀,(普通话/TV剪辑版/2016),李易峰 周冬雨 张鲁一 张若昀 尹正 阚清子
爱情公寓,(普通话/原版/2014),陈赫 娄艺潇 李金铭 王传君 李佳航 邓家佳 金世佳 孙艺洲
我的男友和狗,(普通话/原版/2015),张钧甯 何润东 赖佩霞 丁春诚 薛仕凌
陆贞传奇,(普通话/TV剪辑版/2013),赵丽颖 陈晓 乔任梁 杨蓉 唐艺昕 张可颐
好先生,(普通话/原版/2016),孙红雷 江疏影 王耀庆 车晓
白蛇传,(粤语/原版/2021),曾小敏 文汝清 朱红星 王燕飞
金牌投资人,(普通话/原版/2018),张俪 杨旭文 陈龙 梁田 袁成杰 郭晓然 高曙光 宋晨 闫笑
陈情令,(普通话/原版/2019),肖战 王一博 孟子义 宣璐 于斌 汪卓成 刘海宽 朱赞锦 王皓轩
独孤皇后,(普通话/原版/2019),陈乔恩 陈晓 戚迹 海陆 瑛子 蒋恺 张陆 宋奕星
大江大河,(普通话/原版/2020),王凯 杨烁 董子健 杨采钰 周放 霍青 练练 冯晖 赵达 齐奎
轮到你了,(日语/2021),原田知世 田中圭 西野七濑 横滨流星 浅香航大 奈绪 山田真步 三仓佳奈 大友花恋 金泽美穗 中尾畅树 小池亮介 袴田吉彦 片桐仁 真飞圣 和田聪宏 野间口彻 皆川猿时 田中哲司 德井优 田中要次 大方斐纱子 竹中直人 木村多江 生濑胜久 门胁麦
亲爱的,(普通话/2016),张予曦 陈柏融 戚薇 葛蕾 陈孝萱 温升豪 品冠
勇敢的心,(英语/原版/1995),梅尔·吉布森 苏菲·玛索 布莱恩·考克斯 詹姆斯·卡沙莫 凯瑟琳·麦克马克
灵与欲,(英语/原版/1960),伯特·兰卡斯特 简·西蒙斯 阿瑟·肯尼迪 迪恩·贾格尔 约翰·麦克因泰
少年四大名捕,(粤语/原版/2008),林峯 吴卓羲 陈键锋 马国明 李施嬅 徐子珊
深夜食堂,(日语/2016),小林薰 松重丰 小田切让 多部未华子 余贵美子 佐藤浩市 河井青叶 池松壮亮 木村绿子 绪川玉木 新井浩文
武动乾坤,(普通话版/TV版/2022),林动
一起深呼吸,(普通话/原版/2021),戚薇 杨祐宁 张峻宁 朱珠 高圣远 何政军
阳光灿烂的日子,(普通话/原版/1994),夏雨 宁静 陶虹 耿乐 斯琴高娃 冯小刚 刘小宁 姜文 王学圻 王朔
知否知否应是绿肥红瘦,(普通话/TV剪辑版/2018),赵丽颖 冯绍峰 朱一龙 施诗 张佳宁
猎场,(普通话/TV剪辑版/2017),胡歌 陈龙 孙红雷 张嘉益 祖峰 李强 胡兵 菅纫姿 万茜 章龄之
你好乔安,(普通话/原版/2016),戚薇 王晓晨 陈亦飞 王宫良
军师,(普通话/原版/2017),吴秀波 刘涛 李晨 于和伟 张钧甯 唐艺昕 翟天临 张芷溪 王劲松 王东 肖顺尧 檀健次 章贺 刘欢 杜奕衡 曹磊 来喜 陆思宇 王仁君 陆妍淇 黄俊鹏 王伯昭 许还山 褚栓忠 张志忠 李佑伟
白发魔女传之明月天国,(普通话/原版/2014),范冰冰 黄晓明 赵文卓 童瑶 王学兵
江湖儿女,(普通话/原版/2018),赵涛 廖凡 徐峥 刁亦男 张一白 丁嘉丽 张译 董子健
三国机密之潜龙在渊,(普通话/原版/2018),马天宇 韩东君 万茜 董洁 王阳明 董璇
我是证人,(普通话/原版/2015),杨幂 鹿晗 朱亚文 王景春
