title,production,URL,content
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
See score for this with a "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
"
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
(2021) The name of this wine translates to 'Stony Hill', the grapes coming from the rockiest slopes on the Banfi estate in Tuscany. Currants and fresh red berries on the nose, little oak influence if any, just a touch of dusty green olive from the Cabernet component. Plenty of cherry-ripe sweetness on the palate, blackberries too, combining some fruit depth with fresher, lightly herbal notes. Plenty of creamy sweetness here with a sour tang of orange to the acidity.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
(2019) A blend of 70% Cabernet Sauvignon and 30% Sangiovese, this is a perfumed and very pleasing red, a touch of herbs and graphite, the ripeness of black Cabernet fruit, and the tangy vibrancy of Sangiovese cherries all present and correct. In the mouth there is a sweet and creamy edge to this, substantial but with a creamy softness to the tannins and acidity that give it enough structure while leaving it pizza and spag-bol friendly.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
Im der Nase schöne Fruchtnoten mit Kirsche und Pflaume, dazu florale und würzige Anklänge. Am Gaumen rund, schmeichelnd und trinkig. Benjamin Herzog & Dominik Vombach                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
Kirsche, Cassis, im Duft reintönig und klar. Am Gaumen mit viel Saft und einer ausgewogenen Struktur, eher mild im Tannin, ein angenehmer Tischwein zu Antipasti (z.?B. grilliertem Gemüse). Ulrich Sautter                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
A blend of Sangiovese and Cabernet Sauvignon, this opens with cherry cola, sweet fruit, spice and dried rosemary aromas. It is easy-drinking and bright, with a touch of fruity sweetness on the finish.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
Not a bad entry-level Tuscan red; it shows sweet bubble gum and LifeSaver aromas with just enough darkness to make it nice. Very young and cheeky in the mouth, meaning it's kind of hard, tannic and scratchy. But it's also fully ripe, thus with pizza or spaghetti it won't hurt at all.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
(2001) Jammy, sweet, blackcurranty nose that is ripe and lush. Theres a nice zing of acidity running through the palate, very cherryish but theres a dark, more dusty black fruit too. Good mouthfeel and nice balance giving good length. Very good - a 50/50 Sangiovese/Cabernet Sauvignon blend.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
(2000) Rich, sweet berry and cherry fruit on the nose, little notes of soft brown sugar. Firm, tight and juicy palate. Good fruit and structure at the price.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
(1999) Ruby/cherry red. Bright. Subdued but attractive nose with zippy cherry and raspberry fruit and sweet vanillin. Savoury on the palate. Good sour-cherry fruit and more sweet oak, with firm tannins and prominent lemon acidity. Creamy consistency. Finish is quite long, but full of drying tannins.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"
Purple in the middle and light on the edges. A candied, sweet, simple red with plum, raisin and chocolate flavors. Bold and basic.                                    "
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,papa Dio's 
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,性价比超高的桑娇维塞和赤霞珠混酿这么好喝。柔和、甜美。
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"10-27/18 - Andrea - 315 Beacon - not bad. Hints of garlic and sarcasm...dark fruit, sweet/sour."
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,2013 great wine
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,"For the price, good"
Castello Banfi Banfi Col di Sasso Toscana IGT,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+col+di+sasso+tuscany+igp+italy/1/hong+kong,2016/10/9 ジュースみたいで飲みやすい
Banfi Vigne Regali 'Rosa Regale' Spumante,"Brachetto d'Acqui DOCG, Italy",https://www.wine-searcher.com/find/banfi+vigne+regali+rosa+regale+spumante+docg+brachetto+d+acqui+piemonte+italy/1/hong+kong,"
Fruttato e ricco nella matrice principale mostra note di fragole, prugne, ribes e mirtilli pressati. Corpo pieno, struttura armonica e bilanciata ed un finale davvero solido e masticabile di ottima fattura. Bevi ora.                                    "
Banfi Vigne Regali 'Rosa Regale' Spumante,"Brachetto d'Acqui DOCG, Italy",https://www.wine-searcher.com/find/banfi+vigne+regali+rosa+regale+spumante+docg+brachetto+d+acqui+piemonte+italy/1/hong+kong,"
A lot of energy in the primary profile showing notes of raspberries, currants, mandarin peel and orange zest. Full bodied, a harmonic, balanced structure and a warm, enveloping finale which gives pleasure sip after sip. Drink now.                                    "
Banfi Vigne Regali 'Rosa Regale' Spumante,"Brachetto d'Acqui DOCG, Italy",https://www.wine-searcher.com/find/banfi+vigne+regali+rosa+regale+spumante+docg+brachetto+d+acqui+piemonte+italy/1/hong+kong,"
(2020) Who doesn't love a wine like this occasionally? Is it red or rosé? Well, that's a moot point but it's nice to include this cherry-pink wine here as it certainly captures the summery spirit of rosé wines. This Piedmont wine is gently sparkling and off-dry, a counterpoint to the low alcohol Moscatos of the region with only 7% abv. Made from the Brachetto grape grown in the town of Acqui Terme, the wine is stored 0°C in Banfi’s 19th century cellars. It is frothy and offer a gorgeous pot-pourri of liquidised strawberry, pepper and sherbet with a touch of dark chocolate to boot. Mouthfilling, creamy and sweet, that pulpy strawberry sundae sweetness is balanced by just the right level of acidity and a hint of stemmy earthiness, into a long finish. Perfect summer in garden stuff.                                    "
Banfi Vigne Regali 'Rosa Regale' Spumante,"Brachetto d'Acqui DOCG, Italy",https://www.wine-searcher.com/find/banfi+vigne+regali+rosa+regale+spumante+docg+brachetto+d+acqui+piemonte+italy/1/hong+kong,"
Brachetto d'Acqui is a sweet, red sparkling wine that would pair with white chocolate desserts, pecan pie or moist chocolate chip cookies. It's an easy, fruity wine with loads of berry, cassis and raspberry on the sweet finish.                                    "
Banfi Vigne Regali 'Rosa Regale' Spumante,"Brachetto d'Acqui DOCG, Italy",https://www.wine-searcher.com/find/banfi+vigne+regali+rosa+regale+spumante+docg+brachetto+d+acqui+piemonte+italy/1/hong+kong,"
Aromas of fresh summer fruits are countered by an earthy note whose contribution is questionable. Light on the palate with nice strawberry fruit but turns a bit cloying on the finish. Mousse lacks persistence. Drink now.                                    "
Banfi Vigne Regali 'Rosa Regale' Spumante,"Brachetto d'Acqui DOCG, Italy",https://www.wine-searcher.com/find/banfi+vigne+regali+rosa+regale+spumante+docg+brachetto+d+acqui+piemonte+italy/1/hong+kong,"
A berry cornucopia with bursting raspberry, strawberry and blueberry—just like a good Brachetto d'Acqui should be. Also typical of this style of sweet, sparkling wine with low alcohol is its soda pop fizz in the mouth and spicy finish. Imported by Banfi Vintners.                                    "
Banfi Vigne Regali 'Rosa Regale' Spumante,"Brachetto d'Acqui DOCG, Italy",https://www.wine-searcher.com/find/banfi+vigne+regali+rosa+regale+spumante+docg+brachetto+d+acqui+piemonte+italy/1/hong+kong,"
Distinct notes of cranberry and raspberry on the nose and palate are accented by wisps of toast and rolled oats. The acidity is elegantly wrapped in juicy fruit. As in previous vintages, this is a clean, classic and delicious treat. —K.F.                                    "
