时间,fenci,主题概率,主题类型
2023-08-24,垃圾 废水 超话,"[(0, 0.041869722), (1, 0.04178243), (2, 0.04204294), (3, 0.7908011), (4, 0.041785456), (5, 0.041718323)]",3
2023-08-24,网友 分享 图片 海豚 镜头 文字 难过 恶魔 行径 人类 地球 生物 只能 接受 辐射 危害 荼毒 日方 离谱 行径,"[(4, 0.95994675)]",4
2023-08-24,废水 超话 刷到 跃进 教授 富强 灭掉 背负 骂名 造福 回过,"[(0, 0.01389761), (1, 0.013899809), (2, 0.9304639), (3, 0.013920985), (4, 0.01392249), (5, 0.013895231)]",2
2023-08-24,废水 旅游业,"[(0, 0.055686172), (1, 0.055942476), (2, 0.056026716), (3, 0.7210663), (4, 0.055681713), (5, 0.055596646)]",3
2023-08-24,气煞 看过 计划 享乐 消失 生物 悲惨 医生 说话 集体 反抗 废水 牺牲品 恶心 虚伪 学期 选修 日语课 老师 事例 骨子里 冷漠 无情 虚伪 轮回 承担 收起,"[(4, 0.97016495)]",4
2023-08-24,废水 全球 环境 渔业 民众 带来 危险 该死 鬼子,"[(0, 0.016699594), (1, 0.01674359), (2, 0.9164077), (3, 0.016691025), (4, 0.01668408), (5, 0.016774045)]",2
2023-08-24,记住,"[(0, 0.08334086), (1, 0.083340734), (2, 0.084006205), (3, 0.084554024), (4, 0.08334153), (5, 0.58141667)]",5
2023-08-24,废水 超话,"[(0, 0.05574415), (1, 0.055800512), (2, 0.05635703), (3, 0.72062856), (4, 0.055806797), (5, 0.055662926)]",3
2023-08-24,哭泣 害死 生物 全人类 垫背 民众 意见 辣鸡 政客 水浸 猪笼 生存 不顾 满心 眼子 经济 军备 玩意儿 地狱 辣鸡 坏透 打心 虚伪 地球 和谐 法则 垮台 收起,"[(4, 0.9712112)]",4
2023-08-24,可怜,"[(0, 0.083343), (1, 0.08429494), (2, 0.08334263), (3, 0.08334437), (4, 0.58233285), (5, 0.08334225)]",4
2023-08-24,失业 游民 靠海 吃饭 日子 艰难,"[(0, 0.023864431), (1, 0.023858821), (2, 0.88069403), (3, 0.02381315), (4, 0.023957005), (5, 0.023812586)]",2
2023-08-24,新闻 预告 海水 倒灌 灭亡 环境 恢复,"[(0, 0.020982303), (1, 0.020924032), (2, 0.020875704), (3, 0.020881094), (4, 0.02083604), (5, 0.8955008)]",5
2023-08-24,日本鬼子 不顾 犯下 人类 核辐射 危害 全世界 消除 停止 商品 入境 排放 炸掉 警告,"[(0, 0.9441533), (1, 0.011160172), (2, 0.011156329), (3, 0.011142782), (4, 0.011174445), (5, 0.011212964)]",0
2023-08-24,老百姓 日子 难过 产品 相关 行业 为民 着想 废水 报告 老百姓 口号 付出 经济损失,"[(0, 0.0111520905), (1, 0.011184632), (2, 0.0111766895), (3, 0.011137406), (4, 0.94417197), (5, 0.011177182)]",4
2023-08-24,省钱 百因 做出 破事 反噬,"[(0, 0.02778198), (1, 0.027781881), (2, 0.86108965), (3, 0.02778247), (4, 0.027782278), (5, 0.027781734)]",2
2023-08-24,看着 脊背 发凉 废水 超话,"[(0, 0.027812934), (1, 0.027823176), (2, 0.86070853), (3, 0.027921494), (4, 0.02793164), (5, 0.027802262)]",2
2023-08-24,渺小 怒火 只能 看着 发生 洪流 真切 目睹 见证 历史性 残忍 刷到 图片 泪目 过分,"[(0, 0.01042676), (1, 0.010427226), (2, 0.01042879), (3, 0.01042141), (4, 0.9478729), (5, 0.010422926)]",4
2023-08-24,污水 电商 平台 食用盐 销量 突增 记者 超市 食用盐 显示 缺货 专家 提醒 跟风 恐慌 网页 链接 视频 视频 收起,"[(5, 0.9602193)]",5
2023-08-24,传统 艺能 我会 激进 抨击,"[(0, 0.02777955), (1, 0.027816959), (2, 0.027779503), (3, 0.86103445), (4, 0.027779676), (5, 0.027809866)]",3
2023-08-24,公开 废水 程序,"[(0, 0.041729387), (1, 0.041743595), (2, 0.04188613), (3, 0.791055), (4, 0.041898634), (5, 0.04168726)]",3
2023-08-24,排放 废水 世界 视频,"[(0, 0.033580128), (1, 0.0337459), (2, 0.8313459), (3, 0.033852182), (4, 0.033579376), (5, 0.033896502)]",2
2023-08-24,无力 废水 超话,"[(0, 0.04175627), (1, 0.04188369), (2, 0.04202206), (3, 0.79068226), (4, 0.041937374), (5, 0.041718297)]",3
2023-08-24,自私 恶心 改不了 吃屎 恶行,"[(0, 0.027779903), (1, 0.027816806), (2, 0.027867015), (3, 0.8608369), (4, 0.02780336), (5, 0.027895993)]",3
2023-08-24,海水 排放 核污染 干嘛 拿给 干完 地球 遭殃 地球,"[(0, 0.01686894), (1, 0.016943993), (2, 0.9159502), (3, 0.016681895), (4, 0.016715813), (5, 0.016839227)]",2
2023-08-24,核污染 人体 海水 稀释 辐射 人体 海水 稀释 辐射 做能 远离 辐射 危害 时报 污水 起排 化妆品,"[(1, 0.9536087)]",1
2023-08-24,排放 核污染 污水 累积 电力公司 核电站 地震 采取有效 措施 后果 日方 证明 核污染 水排 正当 合法性 处置 核污染 选项 日方 论证 处置 方案 执意 选择 经济 代价 最小 排海 方案 核污染 风险 转嫁给 全世界 正当性 国际 辐射 防护 原则 辐射 风险 整体效益 收益 风险 日方 单方面 选择 方案 违反 原则 日方 证明 核污染 水净化 装置 有效性 可靠性 日方 核素 系统 情况 证明 去除 去除 有待 工程 验证 日方 公布 数据 核污染 排放 标准 净化 后续 运行 过程 性能 有效性 可靠性 老化 下降 排放 核污染 核电站 核污染 日方 数量 成分 核污染 可靠 疑问 犹存 日方 证明 核污染 数据 准确性 电力公司 隐瞒 篡改 核污染 数据 前科 日方 证明 核污染 排海 人类 健康 无害 核污染 含有 核素 尚无 技术 日方 证明 方案 完善 日方 不应 核事故 核污染 世界 核电站 运行 废水 报告 代表 认可 日方 正当性 代表 批准 方向 排放 核污染 相关 结论 日方 核污染 措施 总体 符合 标准 代表 时间 符合 标准 报告 国际 性质 日方 提供 数据 资料 作出 提出 意见 报告 总干事 名义 发布 定稿 技术 工作组 专家 协商 内容 代表团 核电站 事故 核污染 处置 工作文件 扩散 核武器 条约 审议 大会 筹备会 提交 报告 日方 核污染 排海 通行证 收起,"[(0, 0.99559605)]",0
2023-08-24,有没有 攻打 鬼子,"[(0, 0.04167295), (1, 0.79146594), (2, 0.04184142), (3, 0.04167371), (4, 0.04167341), (5, 0.041672565)]",1
2023-08-24,睡不着 正式 排放 核污染 国际 同僚 呼应 确实 掀起 阻碍 排污 浩瀚 星空 渺小 发光 只能 照亮 辩解 废水 排放 身体 荒谬 国家 稳如 暂且不说 排放量 核污染 危害 就让 想象 地球 自带 水循环 肯定 海水 排放 污水 蒸发 地面 人类 致癌 皮肤病 呼吸 疾病 风险 还好 生存 收起,"[(1, 0.98291963)]",1
2023-08-24,盐业 发布公告 废水 排放 事件 全国 食盐 抢购 风波 盐业 敬告 食盐 充足 产能 稳定 保障 全省 食盐 截止 盐业 全省 食盐 库存 全省 食盐 需求 充足 配送 网络覆盖 全省 行政区域 运送 收起,"[(1, 0.97542745)]",1
2023-08-24,简史 流行 大陆 地区 发生 抢购 食盐 现象 原因 传言 预防 海啸 引发 泄露 大陆 发生 食盐 抢购 现象 原因 害怕 核辐射 听说 污水 引发 大陆 盐潮 有待 整理 板蓝根 瘟史 收起,"[(0, 0.97460103)]",0
2023-08-24,污水 引发 全球 关注 市场 食盐 抢购 现象 消费者 污水 食盐 心存 担忧 盐业 集团 相关 负责人 介绍 食盐 政府 储备量 企业 社会 责任 保障 食盐 充足 盐业 海盐 工区 海域 海水 生态 海盐 放射性 项目 结果显示 海盐 食用盐 抢断 提醒 食用盐 抢断 提醒 收起,"[(2, 0.3113452), (5, 0.67411935)]",5
2023-08-24,超话 感觉 要看 看不完 废水 事件 心情,"[(0, 0.8946889), (1, 0.021001546), (2, 0.021207858), (3, 0.021228503), (4, 0.020988481), (5, 0.0208847)]",0
2023-08-24,妈妈 时说 妈妈 妈妈 妈妈 喜欢 污水 排进 海水 恐慌 无助 无助 妈妈 愿望 恐慌 成功 海水 妈妈 废水 超话,"[(5, 0.9600583)]",5
2023-08-24,废水 超话,"[(0, 0.055738505), (1, 0.05579729), (2, 0.72056335), (3, 0.05639621), (4, 0.055825677), (5, 0.055678956)]",2
2023-08-24,蓝色 不到 废水 超话,"[(0, 0.033386167), (1, 0.033401243), (2, 0.033605028), (3, 0.83279425), (4, 0.03340307), (5, 0.033410214)]",3
2023-08-24,恶心 玩意 恶心,"[(0, 0.041670557), (1, 0.7907764), (2, 0.04167045), (3, 0.042325012), (4, 0.041887295), (5, 0.04167032)]",1
2023-08-24,废水 好像 情绪 新冠 完蛋 平静,"[(0, 0.8803373), (1, 0.023952698), (2, 0.023975028), (3, 0.024020344), (4, 0.02385599), (5, 0.023858653)]",0
2023-08-24,小节,"[(0, 0.08333747), (1, 0.08333735), (2, 0.08371111), (3, 0.08333802), (4, 0.5829389), (5, 0.08333716)]",4
2023-08-24,排放 日子 来到 日料 吃饭 顺便 情况 国家 停止 价位 日料 生意 晚餐 时段 情况 小野 寿司 满员 排放 废水 伤天害理 禁止 水域 内陆 水域 全世界 办理 往返 签证 不用 事件 等于 原子弹 犯下 错误 重创 希望 留在 荧幕 收起,"[(4, 0.97961485)]",4
2023-08-24,烦恼 废水 事情 想到 变异 我会,"[(0, 0.02400812), (1, 0.8802807), (2, 0.024041729), (3, 0.023998968), (4, 0.023847518), (5, 0.023823014)]",1
2023-08-24,明知 结局 地狱 懦夫 明知 后果 全人类 背锅 事件 排放 废水 事件 地球 毒瘤 产品,"[(0, 0.010446003), (1, 0.010482151), (2, 0.9477276), (3, 0.010425809), (4, 0.010472298), (5, 0.010446113)]",2
2023-08-24,狂奔 看不到 漂亮 动画 视频,"[(0, 0.027787596), (1, 0.027796464), (2, 0.027835065), (3, 0.8609561), (4, 0.02777965), (5, 0.027845154)]",3
2023-08-24,霓虹 平仄 格律 倭奴 排核 污水 群山 环抱 蕞尔小国 小节 君子 无义 灾变 浪涛 未退 核电 警笛 海啸 公意 核电 实为 人祸 无力 治水 空文 污水 徇私 排入 良方 寻觅 托词 价高 可笑 治水 银两 万金 法纪 不见 民众 呼声 未闻 枉顾 邻邦 执意 邪念 寰球 生物 可怜 东风 收起,"[(4, 0.9836378)]",4
2023-08-24,污水 引发 全球 关注 热议 市场 食盐 抢购 现象 市民 朋友 担忧 污水 食盐 海盐 地区 抢购 食用盐 现象 网店 食用盐 显示 缺货 盐业 紧急 提醒 盐业 政府 食盐 经营性 充足 保障 食盐 市场 盐业 本土 食盐 定点 企业 食盐 定点 批发 企业 确保 市民 罐子 食盐 市场 保供 稳价 主渠道 主力军 做好 产品 保供 稳价 相关 线索 市民 拨打 举报 投诉 来源 市场监管 收起,"[(1, 0.9873143)]",1
2023-08-24,污水 排入 发声 历史 沉默 起底 民族 耻辱柱 历史 研究院 全人类 罪人 起底,"[(0, 0.011911175), (1, 0.011917575), (2, 0.9403978), (3, 0.011905814), (4, 0.011924735), (5, 0.011942907)]",2
2023-08-24,废水,"[(0, 0.08370009), (1, 0.08378901), (2, 0.5809127), (3, 0.08446837), (4, 0.08368659), (5, 0.08344323)]",2
2023-08-24,分享 单曲 眼看 干净,"[(0, 0.03345345), (1, 0.83295953), (2, 0.033421516), (3, 0.033338908), (4, 0.0334886), (5, 0.03333802)]",1
2023-08-24,不想 抖音 废水 帮不了 变异 灭亡 渔民 靠海 谋生 生存 困难 辐射 庄稼 陆生动物 后果 无从 得知 干净 人间 苦难 祈祷 世界,"[(0, 0.96367973)]",0
2023-08-24,日本鬼子 核污染 日货 日本鬼子 星球 倒霉 透顶 全球 买单 解决不了 全球 解决 算盘 珠子 说合 建议 爆发 礼貌 收起,"[(5, 0.9582546)]",5
2023-08-24,支持 女性 配享 配享 支持 女性 支持 女性 自由 没人 回复 屁事 代表 父权 凝视 办法 女性 身体 强健 负责 外出 狩猎 原始社会 狩猎 习惯 女性 男性 回归 平等 符号 废水 排海 自由 自由 自由 口号 蠢猪 收起,"[(1, 0.9786003)]",1
2023-08-24,排放 污水 动画片 预言 来源 大木 预言 民声 视频,"[(0, 0.91595095), (1, 0.016798055), (2, 0.01677143), (3, 0.016845133), (4, 0.016714819), (5, 0.01691959)]",0
2023-08-24,民族 估计 贩卖 食盐 无耻 无知 废水 超话,"[(0, 0.018537056), (1, 0.018565707), (2, 0.9072339), (3, 0.018579692), (4, 0.018541431), (5, 0.018542252)]",2
2023-08-24,喷发 发生 海啸,"[(0, 0.041953824), (1, 0.041716933), (2, 0.041687194), (3, 0.04175188), (4, 0.7910606), (5, 0.04182956)]",4
2023-08-24,简单 道理 废水 无害 排到 排到 称之为,"[(0, 0.02088738), (1, 0.020880463), (2, 0.020981342), (3, 0.0209337), (4, 0.8954358), (5, 0.020881334)]",4
2023-08-24,孩子 面临 环境质量 科技 狠活 时代 出生 新冠 病毒 肆虐 日子 排放 污水 试图 全世界 买单 环境 生存 奢望 何谈 收起,"[(1, 0.9620227)]",1
2023-08-24,弟刷痘 提醒 废水 事情 严肃 做好 防护 想到 形策 转头 买点 教授 废水 难过,"[(0, 0.011147989), (1, 0.011176097), (2, 0.9442667), (3, 0.011141985), (4, 0.011148843), (5, 0.011118396)]",2
2023-08-24,视频 记忆 揭开 谎言 掩饰 核污染,"[(0, 0.023867706), (1, 0.8804401), (2, 0.023863701), (3, 0.023990791), (4, 0.02381235), (5, 0.02402534)]",1
2023-08-24,希望 爆发 岛屿 沉没 废水 超话,"[(0, 0.87945706), (1, 0.023934014), (2, 0.0243344), (3, 0.0243428), (4, 0.024019403), (5, 0.023912355)]",0
2023-08-24,发生 受害者 承认 不见,"[(0, 0.03358265), (1, 0.033392884), (2, 0.03341388), (3, 0.8324958), (4, 0.033635687), (5, 0.03347905)]",3
2023-08-24,官方 超话 大学 支持 喜欢 女王 女王 方式 激进 人类 坏事 毁灭 表达 希望 仙境 仙子 办法 祖国 看法 理解 抨击 代表 个人行为 理解 收起,"[(3, 0.9678652)]",3
2023-08-24,地球 阻止 任由 倒进去 一体 关系 地球 动物 废水 核辐射 讲到 小石头 辐射 致死 恢复 畸形 生物 核辐射 危害 脑海 告诉 垃圾 分类 瓶盖 瓶子 拆开 国家 告诉 世人 废水 排进 收起,"[(0, 0.9746269)]",0
2023-08-24,核污染 人体 海水 稀释 辐射 海产品 日用品 做能 远离 辐射 危害 污水 起排 化妆品,"[(0, 0.01115153), (1, 0.944327), (2, 0.011132849), (3, 0.0111176735), (4, 0.011125822), (5, 0.01114513)]",1
2023-08-24,孩子 趋势 环境 实在 恶劣 人生 体验 病毒 共存 接受 辐射 危害 承担 变异 风险 幸运 领导 人类 世界 变异 鱼类 控制 机器人 控制 世界 安好,"[(1, 0.9690375)]",1
2023-08-24,核污染 人体 海水 稀释 辐射 海产品 日用品 做能 远离 辐射 危害 时报 污水 起排 化妆品,"[(0, 0.0104518775), (1, 0.94781405), (2, 0.010435685), (3, 0.010422446), (4, 0.010429557), (5, 0.010446373)]",1
2023-08-24,废水 污水 概念 漂亮 支持 希望 爆发 覆盖,"[(0, 0.01860252), (1, 0.018592037), (2, 0.90697914), (3, 0.018663853), (4, 0.018583111), (5, 0.018579375)]",2
2023-08-24,废水 排海 儿子 焦虑 毁灭,"[(0, 0.027866323), (1, 0.027956786), (2, 0.86059433), (3, 0.027880246), (4, 0.027797898), (5, 0.027904425)]",2
2023-08-24,废水 超话 还好 在意 灾难 山火 旱灾 物种 灭绝 消失 灾难,"[(0, 0.013897501), (1, 0.013914055), (2, 0.93044025), (3, 0.013920877), (4, 0.013922343), (5, 0.013904998)]",2
2023-08-24,废水 排入 抵达 废水 视频 已有 播放 网页 链接,"[(0, 0.016690167), (1, 0.016757013), (2, 0.91621935), (3, 0.016784022), (4, 0.016693132), (5, 0.0168563)]",2
2023-08-24,可耻,"[(0, 0.083341695), (1, 0.08334156), (2, 0.08334144), (3, 0.5832917), (4, 0.08334249), (5, 0.083341144)]",3
2023-08-24,看过 地震 沉海 期待 暴发,"[(0, 0.027806988), (1, 0.860934), (2, 0.027781535), (3, 0.027782086), (4, 0.027879009), (5, 0.02781638)]",1
2023-08-24,陪娃 废水 超话 太坏,"[(0, 0.033385757), (1, 0.033401497), (2, 0.832863), (3, 0.03357095), (4, 0.03340934), (5, 0.033369496)]",2
2023-08-24,废水 东校区,"[(0, 0.05566163), (1, 0.05568567), (2, 0.72155195), (3, 0.055852022), (4, 0.05565828), (5, 0.055590477)]",2
2023-08-24,人生,"[(0, 0.08334179), (1, 0.08413307), (2, 0.083341464), (3, 0.5825), (4, 0.08334255), (5, 0.08334117)]",3
2023-08-24,兄弟 上线 频繁 关心 废水,"[(0, 0.027833017), (1, 0.8606384), (2, 0.027971003), (3, 0.0279296), (4, 0.027831376), (5, 0.027796635)]",1
2023-08-24,世界 无耻 国家 废水 超话,"[(0, 0.02787636), (1, 0.027892398), (2, 0.86034924), (3, 0.02791936), (4, 0.027923316), (5, 0.028039338)]",2
2023-08-24,排核 废水 大胆 阴谋论 精英 阴谋 推动 火星 移民 计划 计划 顺利 骗人 废水 地球 变得 适合 人类 居住 火星 移民 计划 骗人 计划 人类 自救 计划 收起,"[(2, 0.9712014)]",2
2023-08-24,废水 关键 含量 人类 饮用水 标准 排放 微量 放射性物质 生物链 层层 递进 破坏 生物链 导致 生态,"[(3, 0.95068574)]",3
2023-08-24,历史 记住 日子,"[(0, 0.041670084), (1, 0.04184322), (2, 0.79047865), (3, 0.041969255), (4, 0.04193111), (5, 0.04210765)]",2
2023-08-24,污水 祸害 全球 国际法 践踏 国家 双标 污水 污水 遗害 历史 铭记 战败 投降 老百姓 商店 记得 核泻 发生 地震 引发 海啸 核电站 受损 核泻 老百姓 商店 记得 母亲 盐业 公司 一大 听信 谣言 海盐 井盐 核污染 人类 摆脱 污水 祸害 后果 后续 带来 埋单 历史 耻辱柱 记住 人类 犯下 罪行 收起,"[(5, 0.98422146)]",5
2023-08-24,低迷 旅游业 复兴 无望 大象 新闻 视频,"[(0, 0.020852087), (1, 0.89514905), (2, 0.02086911), (3, 0.021216033), (4, 0.020836381), (5, 0.021077361)]",1
2023-08-24,污水 引发 全球 关注 热议 市场 食盐 抢购 现象 盐业 集团 相关 负责人 介绍 食盐 政府 储备量 企业 社会 责任 保障 食盐 充足 盐业 海盐 工区 海域 海水 生态 海盐 放射性 项目 结果显示 海盐 市民 恐慌 效仿 视频 视频 收起,"[(5, 0.9795968)]",5
2023-08-24,知识 信息 排核 污水 公开 宣称 排放 控制 排量 浓度 稀释 污水 排放 标准 世界 只用 农作物 利用 方式 世界 鞠躬 道歉 盐会 区别 收起,"[(4, 0.96781045)]",4
2023-08-24,没收 资产 赔偿 条约 驻军 污水,"[(0, 0.8806309), (1, 0.023875907), (2, 0.023895709), (3, 0.02381191), (4, 0.023861205), (5, 0.023924317)]",0
2023-08-24,看不到,"[(0, 0.08333686), (1, 0.08333677), (2, 0.08333675), (3, 0.5833158), (4, 0.08333719), (5, 0.08333662)]",3
2023-08-24,正式 核电站 污水 污水 海底隧道 流向 食品 原产地 水产品 内地 日本料理 经营者 感到 担忧 报道 因应 排放 水产品 放射性物质 鲜鱼 停止 转载 新聞 收起,"[(5, 0.9665787)]",5
2023-08-24,老师,"[(0, 0.08334295), (1, 0.083342634), (2, 0.08422107), (3, 0.083344206), (4, 0.58240694), (5, 0.0833422)]",4
2023-08-24,空姐 星空 视频,"[(0, 0.041690473), (1, 0.0418137), (2, 0.041713037), (3, 0.7912747), (4, 0.041669544), (5, 0.04183853)]",3
2023-08-24,历史 记住,"[(0, 0.055560682), (1, 0.05556059), (2, 0.72058845), (3, 0.05621067), (4, 0.0555611), (5, 0.056518536)]",2
2023-08-24,小节 大义 开会 战败国 权利 关键 办法 只能靠 收拾,"[(0, 0.01666918), (1, 0.01669012), (2, 0.91646737), (3, 0.016743507), (4, 0.01674369), (5, 0.016686171)]",2
2023-08-24,废水,"[(0, 0.08370056), (1, 0.083789624), (2, 0.58087677), (3, 0.08450264), (4, 0.08368704), (5, 0.083443366)]",2
2023-08-24,网鱼 视频,"[(0, 0.05560335), (1, 0.055653036), (2, 0.055651437), (3, 0.72160035), (4, 0.055558812), (5, 0.055932987)]",3
2023-08-24,废水 超话,"[(0, 0.05574403), (1, 0.05580035), (2, 0.05632937), (3, 0.7206568), (4, 0.05580663), (5, 0.05566286)]",3
2023-08-24,坐庄 机会 把握 不住 玩死,"[(0, 0.8610328), (1, 0.027781384), (2, 0.027840905), (3, 0.027781898), (4, 0.027781727), (5, 0.027781252)]",0
2023-08-24,星球 好事 不到 坏事 地球 整片 幻想 海风 撒欢 奔跑 没空 机会 没享 辐倒 没少 受能 炮轰 开玩笑 收起,"[(2, 0.95826924)]",2
2023-08-24,正式 核电站 污水 污水 海底隧道 流向 食品 原产地 水产品 内地 日本料理 经营者 感到 担忧 报道 因应 排放 水产品 放射性物质 鲜鱼 停止 网页 链接 收起,"[(5, 0.9665741)]",5
2023-08-24,日本鬼子 脑子 电解法 还用 排海 公关 不算 经济损失 事故 玩成 事故 智障 操作 废水 超话,"[(0, 0.010498982), (1, 0.010469422), (2, 0.010582447), (3, 0.010534229), (4, 0.010471128), (5, 0.9474438)]",5
2023-08-24,不知,"[(0, 0.08334174), (1, 0.083341435), (2, 0.08334141), (3, 0.5832918), (4, 0.08334249), (5, 0.08334111)]",3
2023-08-24,见到 废水 超话,"[(0, 0.041756243), (1, 0.041782342), (2, 0.042025525), (3, 0.79093224), (4, 0.041785363), (5, 0.04171828)]",3
2023-08-24,美好 样子 摄影 超话,"[(0, 0.03342272), (1, 0.033458464), (2, 0.033742383), (3, 0.033939987), (4, 0.033519603), (5, 0.83191687)]",5
2023-08-24,脚盆 毛病 没去,"[(0, 0.04166963), (1, 0.04166956), (2, 0.041669548), (3, 0.791652), (4, 0.041669853), (5, 0.041669443)]",3
2023-08-24,时间 正式 废水 愤恨 心疼 家人 父母 孩子 无力 抗拒,"[(0, 0.015189982), (1, 0.9240207), (2, 0.015207599), (3, 0.0152242705), (4, 0.01519167), (5, 0.01516579)]",1
2023-08-24,感觉 偷排 关注 新闻 好像 蔬菜 肉类 放射性物质 超标 导致 居民 怪病 废水 超话,"[(0, 0.011133603), (1, 0.0111322645), (2, 0.011138403), (3, 0.9443373), (4, 0.011117917), (5, 0.011140478)]",3
2023-08-24,废水 超话 该死,"[(0, 0.041754622), (1, 0.041961905), (2, 0.7907025), (3, 0.042059056), (4, 0.041795213), (5, 0.0417267)]",2
2023-08-24,引爆,"[(0, 0.083343014), (1, 0.083342716), (2, 0.08334272), (3, 0.08334443), (4, 0.5832848), (5, 0.08334235)]",4
