内容,主题概率,主题类型
发货 速度 包装 打开 好吃 评价,"[(0, 0.5345621), (1, 0.051711798), (2, 0.4137261)]",0
收到 快递 门口 打开门 臭死 门口 垃圾 门口 垃圾 回来 袋子 发现 袋子 气死,"[(0, 0.023936652), (1, 0.94641745), (2, 0.029645862)]",1
昨天 下单 收到 很棒,"[(0, 0.06779766), (1, 0.07012868), (2, 0.8620736)]",2
昨天晚上 下单 神速 快递 小哥 服务 老师 介绍 产品,"[(0, 0.034473598), (1, 0.567808), (2, 0.39771846)]",1
好吃 孩子 喜欢 他家 优惠,"[(0, 0.86850464), (1, 0.06750866), (2, 0.06398675)]",0
东西 东方 甄选 信赖 俞敏洪 董宇辉 食用,"[(0, 0.053157043), (1, 0.25785753), (2, 0.6889854)]",2
香浓 小时候 米饭 味道 快递 送货上门 好评,"[(0, 0.30516607), (1, 0.20753746), (2, 0.4872965)]",2
大米 新鲜,"[(0, 0.11386997), (1, 0.13109374), (2, 0.7550363)]",2
收到 第一 时间 包装 质量 卖家 描述 超出 期望值 包装 仔细 严实 满意 购物 感谢 卖家 热情 卖家 下次 质量 出乎 意料 包装 仔细 生意兴隆 多年 东西 评论 称得上 良心 买家 好评 好评 卖家,"[(0, 0.04417421), (1, 0.23888646), (2, 0.71693933)]",2
质量 卖家 描述 完全一致 满意 真的 喜欢 超出 期望值 发货 速度 包装 仔细 严实 物流 公司 服务态度 运送 速度 很快 满意 购物,"[(0, 0.39972696), (1, 0.05615552), (2, 0.5441175)]",2
家里 吃的用 东方 甄选 下单 工资,"[(0, 0.48834658), (1, 0.059689153), (2, 0.4519643)]",0
满意 日期 公斤 包装 更好,"[(0, 0.059711408), (1, 0.06647304), (2, 0.8738156)]",2
购买 大米 米饭 孩子 放心,"[(0, 0.22955574), (1, 0.69471306), (2, 0.07573124)]",1
五常 大米 市面上 不错,"[(0, 0.06856615), (1, 0.07089586), (2, 0.86053795)]",2
米太 好吃 主播 描述,"[(0, 0.40383184), (1, 0.49169418), (2, 0.10447395)]",1
五常 大米 口感 不错 回购 有货了 一单,"[(0, 0.04703574), (1, 0.4556571), (2, 0.49730715)]",2
回头 往回 逆行 全责,"[(0, 0.08650296), (1, 0.83233887), (2, 0.08115817)]",1
东方 甄选 大米 失望 到货 儿子 放假 回来 终于 吃到,"[(0, 0.1801308), (1, 0.15670858), (2, 0.6631606)]",2
发货 速度 一口 东北 味道 值得 入手 鲜香 浓郁 杠滴,"[(0, 0.62843454), (1, 0.28484935), (2, 0.08671611)]",0
口感 香气扑鼻,"[(0, 0.11194113), (1, 0.312353), (2, 0.5757059)]",2
回购 回购 大米 好吃,"[(0, 0.06928622), (1, 0.86009794), (2, 0.0706158)]",1
物流 二次 购买 味道 美极了 质量 不错 给予,"[(0, 0.22540046), (1, 0.24698439), (2, 0.5276152)]",2
安利 大米 家里 好吃,"[(0, 0.26435372), (1, 0.09893821), (2, 0.6367081)]",2
东方 甄选,"[(0, 0.14450231), (1, 0.12084062), (2, 0.7346571)]",2
无限 回购 发货,"[(0, 0.3647707), (1, 0.551717), (2, 0.08351232)]",1
米饭 特别 回甘 大米 颗粒 饱满,"[(0, 0.055519022), (1, 0.1493963), (2, 0.79508466)]",2
包装 不错 再来 追评,"[(0, 0.07277612), (1, 0.067478016), (2, 0.8597459)]",2
回购 身体 好多 朋友 真的 好吃 推荐 购买,"[(0, 0.04073583), (1, 0.9205348), (2, 0.038729317)]",1
东方 甄选 永辉 董才 不出 所望 希望 高品质,"[(0, 0.060918823), (1, 0.044939928), (2, 0.8941413)]",2
收到 没开 第一次 大米 尝个,"[(0, 0.06777604), (1, 0.06293363), (2, 0.86929035)]",2
大米 好吃 东北 第一次 五常 大米 东方 甄选,"[(0, 0.041752994), (1, 0.45104828), (2, 0.50719875)]",2
三袋 东方 甄选 大米 好吃,"[(0, 0.062684), (1, 0.075146765), (2, 0.86216927)]",2
好吃 第二次 购买 希望 东方 甄选 质量,"[(0, 0.047871858), (1, 0.5453374), (2, 0.4067908)]",1
支持 女婿 公司 一如既往 陪伴,"[(0, 0.06488753), (1, 0.76221716), (2, 0.1728953)]",1
大米 收到 先泡 半个 小时 真的 好吃,"[(0, 0.04329355), (1, 0.049666144), (2, 0.9070403)]",2
收到 不错 东方 甄选,"[(0, 0.076965384), (1, 0.071182206), (2, 0.8518524)]",2
第一次 购买 推荐 产品 不错 五常 大米 花香 品质 颗粒 饱满 真空包装 保存 时间 日期 新鲜,"[(0, 0.020877058), (1, 0.42665446), (2, 0.55246854)]",2
口感 口味,"[(0, 0.1132729), (1, 0.117840506), (2, 0.76888657)]",2
回购 一年 日期 新鲜 口感 不错,"[(0, 0.050075717), (1, 0.4252251), (2, 0.52469915)]",2
新东方 推荐 产品 有假 放心 购买 包装 物流,"[(0, 0.32672235), (1, 0.62983274), (2, 0.043444876)]",1
前天 昨天 收到 大米 京东 发货 口感 超级 赶紧 好评 一分钱 一分货 值得 购买,"[(0, 0.08712235), (1, 0.13171244), (2, 0.7811652)]",2
昨天 收到 速度,"[(0, 0.39204234), (1, 0.085942805), (2, 0.52201486)]",2
物流 很快 包装 质量 值得 购买 好评,"[(0, 0.2580436), (1, 0.2732696), (2, 0.46868682)]",2
收到,"[(0, 0.17408396), (1, 0.17913413), (2, 0.6467819)]",2
速度 订单 当天 发货 再来 追评 好吃,"[(0, 0.33774924), (1, 0.19403632), (2, 0.46821442)]",2
东西 要去 分享,"[(0, 0.107343204), (1, 0.4319765), (2, 0.46068034)]",2
超市 好吃 只能 一分钱 一分货,"[(0, 0.058445875), (1, 0.060305364), (2, 0.8812487)]",2
还好 不错,"[(0, 0.12985191), (1, 0.114283964), (2, 0.75586414)]",2
希望 好吃 希望 翻车 一段时间 评价 口感,"[(0, 0.044200547), (1, 0.04717425), (2, 0.9086252)]",2
收到 包装 完好无损 期待 口感,"[(0, 0.06303824), (1, 0.057341963), (2, 0.8796198)]",2
大米 好吃 东方 甄选,"[(0, 0.0784275), (1, 0.08653707), (2, 0.8350354)]",2
五常 大米 米饭 家里 五常 大米,"[(0, 0.084469974), (1, 0.05734221), (2, 0.8581878)]",2
东方 甄选 这款 大米 不错 东方 甄选 品质,"[(0, 0.051592667), (1, 0.35475555), (2, 0.5936518)]",2
东方 甄选 正宗 五常 大米 便宜,"[(0, 0.055960916), (1, 0.057995312), (2, 0.8860437)]",2
习惯 五常 花香 迷吃不惯 懒得 拍照 随便,"[(0, 0.04538917), (1, 0.04633725), (2, 0.9082736)]",2
一大 一大 东方 甄选 忠实 粉丝 大米 东西 价格 优惠 东西 正宗,"[(0, 0.6270392), (1, 0.027648933), (2, 0.34531188)]",0
无限 回购 一款 大米 确实 不错,"[(0, 0.22072004), (1, 0.7238204), (2, 0.05545962)]",1
很好 安逸 回购,"[(0, 0.3867214), (1, 0.2854755), (2, 0.3278031)]",0
挺不错 客服 及时处理,"[(0, 0.09913048), (1, 0.80818325), (2, 0.09268624)]",1
大米 收到 京东 邮到 煮饭 开袋 香味 十足 期待 煮饭 味道,"[(0, 0.06898779), (1, 0.36952662), (2, 0.5614856)]",2
大米 复购 这款 特别 推荐 购买,"[(0, 0.04950574), (1, 0.9011814), (2, 0.04931285)]",1
包装 不错 东方 甄选 追评,"[(0, 0.065727584), (1, 0.057834838), (2, 0.87643754)]",2
大米 无限 购买 好吃,"[(0, 0.068173066), (1, 0.8609447), (2, 0.07088227)]",1
煮饭 煮粥 贵点 挑剔 信任 品牌,"[(0, 0.04812318), (1, 0.9019842), (2, 0.04989266)]",1
收到 放心 大米,"[(0, 0.085557796), (1, 0.6373267), (2, 0.27711546)]",1
值得 信赖 大米 着眼 大米 好吃,"[(0, 0.050002053), (1, 0.8973732), (2, 0.052624706)]",1
跟着 东方 甄选 东方 品质 希望 支持,"[(0, 0.6225132), (1, 0.32568163), (2, 0.05180519)]",0
日期 新鲜 味道 质量 保障 东方 甄选,"[(0, 0.1515354), (1, 0.043621678), (2, 0.80484295)]",2
东方 甄选 东西 几次 感觉 值得 购买 放心 购买,"[(0, 0.040029597), (1, 0.67898935), (2, 0.28098103)]",1
五常 大米 真的 好吃,"[(0, 0.06987162), (1, 0.46374288), (2, 0.4663855)]",2
东方 甄选 上买 特别 好吃 朋友 推荐 几包 发货 服务 东西 放心,"[(0, 0.3753961), (1, 0.59082), (2, 0.03378391)]",1
物流 很快 习惯 大米 复购,"[(0, 0.29206088), (1, 0.24719015), (2, 0.46074894)]",2
第一次 五常 花香 期待 父母 好评 送货上门 服务,"[(0, 0.040521763), (1, 0.49759328), (2, 0.46188492)]",1
发货 很快 五常 孩子 喜欢 值得,"[(0, 0.6782515), (1, 0.21837504), (2, 0.10337342)]",0
母女 二人 午餐 清理 冰箱 过期 食物 佛跳墙 一包 竹笋 许久 第一次 萝卜干 东方 甄选 鸡蛋 大米 好吃,"[(0, 0.643507), (1, 0.20974183), (2, 0.14675114)]",0
第次 复购 东方 甄选 产品 有种 莫名 信任感,"[(0, 0.3727597), (1, 0.5826683), (2, 0.04457199)]",1
味道 满屋飘香,"[(0, 0.72950524), (1, 0.1581286), (2, 0.11236616)]",0
做好 院子 闻到,"[(0, 0.091926806), (1, 0.7183098), (2, 0.18976334)]",1
好评 东方 甄选 品质 好吃 回购,"[(0, 0.056743495), (1, 0.490023), (2, 0.4532335)]",1
没买 牛腩 收到 冰块,"[(0, 0.080871865), (1, 0.07985994), (2, 0.8392682)]",2
很好,"[(0, 0.16798426), (1, 0.1677156), (2, 0.66430014)]",2
回购 大米 八折 优惠 囤货 一袋 煮粥 蒸饭 好吃,"[(0, 0.03642274), (1, 0.38255763), (2, 0.58101964)]",2
口感 值得 回购,"[(0, 0.08494172), (1, 0.60071605), (2, 0.3143422)]",1
打开 一股 清香 这款 大米,"[(0, 0.05816623), (1, 0.8787619), (2, 0.06307188)]",1
收到 看着 不错,"[(0, 0.08753949), (1, 0.08604295), (2, 0.82641757)]",2
大米 吃水 不用 放太,"[(0, 0.49914035), (1, 0.40802395), (2, 0.09283564)]",0
打开 袋子 闻到 香味儿,"[(0, 0.070701584), (1, 0.8473063), (2, 0.08199217)]",1
大米 口感 香气 实足,"[(0, 0.06724652), (1, 0.070145205), (2, 0.8626083)]",2
收到 包装 还好,"[(0, 0.1000966), (1, 0.08587218), (2, 0.81403124)]",2
大米 一点,"[(0, 0.35153434), (1, 0.13630271), (2, 0.512163)]",2
大米 价格 口感 不错,"[(0, 0.06851902), (1, 0.07031008), (2, 0.8611709)]",2
大米 回购,"[(0, 0.1131809), (1, 0.76590276), (2, 0.12091636)]",1
口感 很棒,"[(0, 0.11124901), (1, 0.11181565), (2, 0.77693534)]",2
第一次 好吃 大米,"[(0, 0.09137253), (1, 0.8138709), (2, 0.09475654)]",1
好吃 好评,"[(0, 0.122534305), (1, 0.14729692), (2, 0.73016876)]",2
五常 大米 值得 购买,"[(0, 0.06761548), (1, 0.7486142), (2, 0.18377036)]",1
大米 香味,"[(0, 0.11130876), (1, 0.764979), (2, 0.1237122)]",1
回购 孩子 喜欢,"[(0, 0.76297545), (1, 0.1532061), (2, 0.083818465)]",0
习惯 东方 甄选,"[(0, 0.0948021), (1, 0.08779298), (2, 0.8174049)]",2
五常 大米 好吃 无次 回购,"[(0, 0.061391532), (1, 0.72849643), (2, 0.21011208)]",1
相比 总体 质量 一点,"[(0, 0.69970524), (1, 0.06759638), (2, 0.23269835)]",0
购买,"[(0, 0.16762576), (1, 0.6628739), (2, 0.16950034)]",1
好吃 不腻 分享,"[(0, 0.08562643), (1, 0.8286295), (2, 0.08574402)]",1
购买 口感 全家 喜欢,"[(0, 0.24256292), (1, 0.20899327), (2, 0.54844385)]",2
喜欢 超级 好吃,"[(0, 0.46699208), (1, 0.09573994), (2, 0.437268)]",0
一年 回购 无数次,"[(0, 0.084280856), (1, 0.83230036), (2, 0.08341877)]",1
回购 香浓,"[(0, 0.11365302), (1, 0.76771873), (2, 0.118628256)]",1
日期 新鲜 发货 速度 口感,"[(0, 0.42032582), (1, 0.058015954), (2, 0.52165824)]",2
东方 甄选 东西,"[(0, 0.10299866), (1, 0.08788667), (2, 0.8091147)]",2
口感 不错,"[(0, 0.11713587), (1, 0.11344247), (2, 0.76942164)]",2
包装 期待 口感,"[(0, 0.09028094), (1, 0.085525036), (2, 0.824194)]",2
日期 新鲜 第二次 购买,"[(0, 0.06879243), (1, 0.81613076), (2, 0.11507681)]",1
购买 信任,"[(0, 0.1114254), (1, 0.7765546), (2, 0.11202004)]",1
一分钱 一分货 确实,"[(0, 0.32746813), (1, 0.08435504), (2, 0.58817685)]",2
大米 米粒 晶莹剔透,"[(0, 0.08477051), (1, 0.10959685), (2, 0.80563265)]",2
希望,"[(0, 0.18742801), (1, 0.60071784), (2, 0.21185416)]",1
好吃 分明 不吃 一碗,"[(0, 0.30465233), (1, 0.37253612), (2, 0.32281154)]",1
日期 蒸出 米饭 好吃 回购 两袋,"[(0, 0.05033506), (1, 0.87307817), (2, 0.076586805)]",1
口感 下次 买好,"[(0, 0.083667666), (1, 0.09748193), (2, 0.8188504)]",2
回购 孩子 米香,"[(0, 0.3836085), (1, 0.5314775), (2, 0.08491393)]",1
不错 好吃,"[(0, 0.13767722), (1, 0.16851845), (2, 0.6938043)]",2
不错,"[(0, 0.1915258), (1, 0.17350902), (2, 0.6349652)]",2
香气 四溢 好吃 回购 东方 甄选,"[(0, 0.05585242), (1, 0.37444803), (2, 0.5696995)]",2
物流 挺快 服务 大米 口感 不错,"[(0, 0.39675567), (1, 0.052959792), (2, 0.55028456)]",2
物流 很快 购买 挺好吃,"[(0, 0.46544182), (1, 0.46424982), (2, 0.070308335)]",0
打开 闻到 一股 大米 香味儿 好吃 回购,"[(0, 0.04379919), (1, 0.9090595), (2, 0.047141273)]",1
好吃 晚上 一顿,"[(0, 0.088924825), (1, 0.09776418), (2, 0.813311)]",2
性价比 超高,"[(0, 0.7776585), (1, 0.11116391), (2, 0.111177534)]",0
东西 特别 特别,"[(0, 0.7973751), (1, 0.10902194), (2, 0.09360296)]",0
袋子 打开,"[(0, 0.11302827), (1, 0.47288454), (2, 0.41408718)]",1
米饭 好吃 下次,"[(0, 0.08646688), (1, 0.7374505), (2, 0.17608264)]",1
好吃 正宗 回购,"[(0, 0.09235938), (1, 0.82027984), (2, 0.087360814)]",1
购买 物流 好吃,"[(0, 0.4030738), (1, 0.5061359), (2, 0.09079027)]",1
购买 一如既往 好吃,"[(0, 0.08638108), (1, 0.82782316), (2, 0.085795745)]",1
第一次 购买 品尝 好评,"[(0, 0.07117459), (1, 0.3212002), (2, 0.60762525)]",2
口感 支持,"[(0, 0.1133664), (1, 0.4472944), (2, 0.43933916)]",1
米汤 好喝 粘稠,"[(0, 0.7865952), (1, 0.12054214), (2, 0.09286265)]",0
打开,"[(0, 0.17053816), (1, 0.18044926), (2, 0.64901257)]",2
没吃过 评价,"[(0, 0.11122873), (1, 0.12264964), (2, 0.7661216)]",2
质量 不错,"[(0, 0.11780462), (1, 0.11374754), (2, 0.7684478)]",2
收到 东方 甄选 品质 好评,"[(0, 0.06736897), (1, 0.10894579), (2, 0.8236853)]",2
口感 喜欢 支持,"[(0, 0.35051855), (1, 0.30774736), (2, 0.34173408)]",0
大米 好吃 感谢 推荐,"[(0, 0.06808303), (1, 0.86059266), (2, 0.071324274)]",1
收到 值得 推荐,"[(0, 0.08607404), (1, 0.8119052), (2, 0.102020755)]",1
回购 真的 不错呀,"[(0, 0.39596525), (1, 0.5166974), (2, 0.087337375)]",1
喜欢 口感 回购,"[(0, 0.39516684), (1, 0.26752645), (2, 0.33730674)]",0
发货 很快 物流 大米 不错,"[(0, 0.62704384), (1, 0.06488667), (2, 0.30806947)]",0
冲着 新东方 希望 核心 产区,"[(0, 0.071840286), (1, 0.8603009), (2, 0.067858815)]",1
收到 明天 东方 甄选,"[(0, 0.073866025), (1, 0.07040954), (2, 0.8557244)]",2
蒸饭 满屋飘香 口感 很好,"[(0, 0.07145369), (1, 0.29723436), (2, 0.6313119)]",2
一股,"[(0, 0.16702038), (1, 0.66626567), (2, 0.16671394)]",1
品牌,"[(0, 0.16725838), (1, 0.66422206), (2, 0.16851956)]",1
学习 仔细 问哇路,"[(0, 0.09921349), (1, 0.09433411), (2, 0.8064524)]",2
可口 迷人,"[(0, 0.746007), (1, 0.12693053), (2, 0.12706247)]",0
复购 口感 品质,"[(0, 0.08664765), (1, 0.5732493), (2, 0.3401031)]",1
一只 他家,"[(0, 0.12445345), (1, 0.46449822), (2, 0.41104835)]",1
好吃 超市 便宜,"[(0, 0.091372475), (1, 0.111243814), (2, 0.79738367)]",2
大米 好吃 孩子 喜欢 回购,"[(0, 0.4829043), (1, 0.45595616), (2, 0.06113954)]",0
第一次 购买 试一下 好不好,"[(0, 0.3487497), (1, 0.32420287), (2, 0.32704738)]",0
回购 五常 大米 没法,"[(0, 0.06876041), (1, 0.3520684), (2, 0.5791712)]",2
