Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重,Topic15-主题词,Topic15-权重
周到,0.005,距离,0.004,值得,0.004,地铁站,0.004,美景,0.005,柔软,0.004,夜景,0.005,用心,0.005,投影,0.005,很大,0.004,值得,0.005,适合,0.005,管家,0.005,周到,0.005,好吃,0.005,名宿,0.004
出行,0.005,很大,0.004,很大,0.004,碰到,0.004,寄存,0.005,景点,0.004,房东,0.005,拍照,0.005,热情,0.005,对面,0.004,步行,0.004,房型,0.005,停车,0.005,泡澡,0.005,下楼,0.005,惬意,0.004
交通,0.005,落地窗,0.004,巷子,0.004,行李,0.004,天气,0.005,房东,0.004,喜欢,0.005,别致,0.003,地方,0.004,煮茶,0.004,马桶,0.004,贴心,0.005,地理位置,0.005,服务态度,0.005,出行,0.005,奶油,0.004
贴心,0.005,地铁口,0.004,空间,0.004,空气,0.004,布置,0.005,风格,0.004,投影,0.005,下午茶,0.003,地台,0.004,空间,0.004,打卡,0.004,好看,0.005,耐心,0.005,整洁,0.005,院子,0.005,好吃,0.004
前台,0.005,性价比,0.004,空调,0.004,整体,0.004,到位,0.005,市中心,0.004,酒店,0.005,便捷,0.003,吃饭,0.004,出行,0.004,拍照,0.004,服务态度,0.004,装修,0.005,房间内,0.005,朋友,0.005,住宿,0.004
灯光,0.005,交通,0.004,感觉,0.004,房型,0.004,地方,0.005,漂亮,0.004,江景,0.005,氛围,0.003,色调,0.004,贴心,0.004,院子,0.004,坡子,0.004,适合,0.004,细致,0.005,舒适,0.005,价格,0.004
适合,0.005,煮茶,0.004,布置,0.004,放心,0.004,露台,0.005,床垫,0.004,客服,0.005,美好,0.003,看电视,0.004,地理位置,0.004,开心,0.004,风景,0.004,超大,0.004,装修,0.004,实用,0.003,私汤,0.004
舒服,0.005,贴心,0.004,差评,0.003,耐心,0.004,图片,0.005,分离,0.004,美食,0.004,围炉,0.003,实拍,0.004,惊喜,0.003,出门,0.004,整体,0.004,对面,0.004,坡子,0.004,吹风机,0.003,空调,0.004
用心,0.005,客服,0.004,声音,0.003,卫生间,0.004,吃货,0.005,江景,0.004,风景,0.004,超好,0.003,好吃,0.004,客服,0.003,煮茶,0.004,值得,0.004,氛围,0.004,老街,0.003,智能,0.003,喝茶,0.004
很好,0.005,提前,0.003,繁华,0.003,房东,0.004,装修,0.005,贴心,0.004,好看,0.004,水果,0.003,窗帘,0.004,开心,0.003,地方,0.004,地铁站,0.004,赠送,0.004,饭店,0.003,客厅,0.003,体验,0.004
出片,0.003,网红,0.003,博物馆,0.003,景点,0.004,落地,0.005,性价比,0.004,效果,0.004,友好,0.003,行李,0.004,住宿,0.003,围炉,0.004,拍照,0.004,风格,0.004,安排,0.003,情侣,0.003,商圈,0.004
密码,0.003,帮忙,0.003,庭院,0.003,性价比,0.004,景点,0.005,满意,0.004,地铁,0.004,价格,0.003,很漂亮,0.004,前台,0.003,老板娘,0.004,布置,0.004,超赞,0.004,款待,0.003,达标,0.003,泡泡,0.004
提供,0.003,投影,0.003,解决,0.003,床垫,0.004,入住,0.005,很漂亮,0.004,住宿,0.004,中央空调,0.003,房型,0.004,用品,0.003,布局,0.003,文和友,0.003,封顶,0.004,放心,0.003,美食,0.003,服务态度,0.004
细心,0.003,适合,0.003,充足,0.003,负责,0.003,床单,0.005,厕所,0.003,出门,0.004,很小,0.003,帮忙,0.004,电影,0.003,住宿,0.003,周到,0.003,住宿,0.004,地铁,0.003,房东,0.003,舒适,0.004
套房,0.003,老板娘,0.003,老板娘,0.003,问宿,0.003,发现,0.005,沟通,0.003,愉快,0.004,卫生间,0.003,步行街,0.004,电梯,0.003,美食,0.003,完善,0.003,进门,0.004,宗街,0.003,寄存,0.003,管家,0.004
满满,0.003,视野,0.003,布局,0.003,布局,0.003,泳池,0.005,隔音,0.003,耐心,0.004,质感,0.003,小时,0.004,效果,0.003,智能,0.003,感觉,0.003,心情,0.004,地点,0.003,时尚,0.003,值得,0.004
照片,0.003,早餐,0.003,用心,0.003,办理,0.003,洗漱,0.005,不太好,0.003,名宿,0.004,布置,0.003,咖啡,0.004,很漂亮,0.003,后院,0.003,出门,0.003,态度,0.004,好玩,0.003,对面,0.003,很棒,0.004
风景,0.003,停车,0.003,景点,0.003,小心,0.003,空间,0.005,枕头,0.003,感觉,0.004,很棒,0.003,空间,0.004,围炉,0.003,市中心,0.003,性价比,0.003,值得,0.004,洗漱,0.003,靠近,0.003,喜欢,0.004
愉快,0.003,提供,0.003,清晰,0.003,人员,0.003,感觉,0.005,冰箱,0.003,空间,0.004,感到,0.003,欣赏,0.004,性价比,0.003,休息,0.003,早餐,0.003,入住,0.004,完美,0.003,进门,0.003,很好,0.004
热心,0.003,地方,0.003,宠物,0.003,格调,0.003,江景,0.005,交通,0.003,地板,0.004,度过,0.003,聚会,0.004,好找,0.003,一楼,0.003,好吃,0.003,推荐,0.004,舒心,0.003,马桶,0.003,热情,0.004
便捷,0.003,朋友,0.003,恐怖,0.003,玻璃,0.003,热情,0.005,马桶,0.003,地方,0.004,赠送,0.003,悬浮,0.004,周到,0.003,天气,0.003,朋友,0.003,特色,0.004,过程,0.003,风格,0.003,滞涩,0.002
进门,0.003,江景,0.003,房东,0.003,用心,0.003,亲切,0.003,被子,0.003,好评,0.004,保洁,0.003,温暖,0.004,空调,0.003,选择,0.003,用心,0.003,拍照,0.004,烟霞,0.003,视野,0.003,系统,0.002
