内容,主题概率,主题类型
本次 出行 领队 郑导特 业务 能力 景点 讲解 到位 突发 情况 处置 不惊不慌 心态 超级 经验丰富 资深 导游 行程 唯一 遗憾 两处 酒店 条件 高端 旅游 行程 大大降低 整体 行程 满意度 希望 携程 有所改进,"[(0, 0.20214467), (5, 0.77561694)]",5
导游 袁媛超 认真负责 照顾 团友 一次性 拖鞋 想尽办法 解决 困难 非常感谢 遇上 热爱 本职工作 热情洋溢 领队,"[(3, 0.94768775)]",3
携程 团队 失望 出行 武汉 貌似 赔偿 发现 羊毛出在羊身上 出行 欧洲 四五次 意识 酒店 选址 投诉 携程 投诉 态度 随你便 回复 违反 合同 酒店 导致 第二天 行程 早上 酒店 出发 第一个 景点 下午 出行 酒店 选址 人理 酒店 景点 小时 车行 时间 每天晚上 酒店 几天 酒店 周边 超市 饭店 机票 组是 认定 机票 座位 分配 人带 两个 小娃 其他人 老人 照顾 前排 人带 安排 目前为止 携程 接待 投诉,"[(7, 0.9871065)]",7
孙女 出游 欧洲 三国 行程 选对 唯一 遗憾 行程 比萨斜塔,"[(0, 0.9191352), (1, 0.010107461), (2, 0.010112958), (3, 0.010106922), (4, 0.010107389), (5, 0.010108351), (6, 0.010107608), (7, 0.0101069575), (8, 0.0101072015)]",0
第九天 住宿 较差 承诺 房间 设施 卫生间 开水,"[(0, 0.012357602), (1, 0.012354399), (2, 0.24754524), (3, 0.012351962), (4, 0.012353663), (5, 0.012356536), (6, 0.66597265), (7, 0.01235304), (8, 0.012354935)]",6
第五天 第戎 酒店 酒店 甲醛 超标 刺激性 气味 一夜 未眠 染上 感冒,"[(8, 0.93158567)]",8
行程 王强 领队 耐心 体验,"[(0, 0.018530108), (1, 0.018527681), (2, 0.8517964), (3, 0.0185258), (4, 0.018524192), (5, 0.018522674), (6, 0.018526444), (7, 0.018520478), (8, 0.018526277)]",2
行程 安排 导游 阿俊 照顾 细致 提醒 讲解 精彩 经典 景点 餐食 欧洲 高能 吃饱 雨季 欧洲 太阳 美的 下雨 灰蒙蒙 行程 车程 车子 舒服 空位 特别 欧洲 司机 两个 小时 休息 太累 晕车 晕车药,"[(2, 0.19759493), (7, 0.7807859)]",7
住宿 地方 实在 早出晚归 行程 前期 团餐 还好 巴黎 上海 餐厅 团餐 实在 认可 两次 上海 餐厅 团餐 每次 名副其实 淡而无味 算了 关键 一顿 干净 印记 没洗 端出来 几次 携程 自营 不错 印象 地陪 实在 携程 导游 业务 能力 经过培训 地陪 地陪 一路 没什么 讲解 总得 每次 活动 集合 详细 交代 行程 感觉 地陪 景点 熟悉 组织 能力 不堪 忍受 退税 后退 指点 错误 很多圈 幸好 专业 领队 跟着 卢浮宫 集合点 领队 人数 一句 导游 导游 携程 带来 更好 评价,"[(0, 0.32600623), (1, 0.6643826)]",1
导游 负责 专业 欧洲 值得 肯定 携程 钻团 大失所望 酒店 失望 蜜月 行李箱 没法 打开 床上 两朵 枯萎 花瓣 蜜月 布置 五星 房间 数十只 苍蝇 房间 飞舞 瑞士 第一晚 房间 窗帘 毛巾 一条 浴室 吹风机 打电话 前台 发现 房间 电话机 导游 电话 前台 房间 半小时 只能 前台 酒店 人员 两手 一摊 吹风机 行程 三分之一 状况 导游 尽力 帮忙 解决问题 质疑 携程 酒店 选择 标准 质量,"[(0, 0.9865201)]",0
满意 旅游 旅行社 携程 出行 清单 详细 车程 酒店 出行 清单 基本一致 队伍 认真负责 评论 差评 导游 不好 担心 发现 多虑 地方 不好 领队 情况 调整 行程 景点 导游 详细 介绍 历史 注意事项 特别 诈骗 手段 提前 拍照 技术 不好 领队 热心 拍照 罗马 地导 热情 用心 相册 图文并茂 讲解 全程无 额外 消费 强制性 购物 不错 体验,"[(0, 0.9846618)]",0
大巴 司机 乘客 动手动脚 开车 乘客 下车 强行 关门大吉 客人 受伤 道歉 嫌弃 乘客 慢点 辱骂 乘客 素质 极差,"[(4, 0.95552623)]",4
取消 餐食 原本 补回 差价 导游 安排 景点 自由选择 同意 捆绑 原本 携程 自营 现实 骨感,"[(8, 0.94768065)]",8
经典 线路 行程 安排 几天 宾馆 有一晚 乌龙 宾馆 这家 宾馆 服务员 找到 正确 宾馆,"[(5, 0.9444029)]",5
父母 法意 行程 回来 行程 安排 很好 瑞士 少女 峰值 担任 携程 领队 樊帆 行程 安排 热情 愉快 行程,"[(0, 0.9555227)]",0
携程 安排 住宿 第一站 一站 酒店 真的 国外 星级 理解,"[(0, 0.91913074), (1, 0.010109203), (2, 0.010111416), (3, 0.01010657), (4, 0.010108433), (5, 0.010107802), (6, 0.010107866), (7, 0.010108396), (8, 0.010109603)]",0
行程 安排 不错 瑞士 小木屋 那晚 不住 前一晚 湖滨 酒店,"[(0, 0.010106811), (1, 0.010105944), (2, 0.010108461), (3, 0.01010464), (4, 0.0101063475), (5, 0.010105261), (6, 0.010107268), (7, 0.010105948), (8, 0.9191493)]",8
路线 安排 车辆 司机 领队 导游 敬业 服务 态度端正 导游 风趣,"[(4, 0.9258654)]",4
导游 领队人 提醒 随身携带 贵重物品 行程 安排 满意,"[(0, 0.012356784), (1, 0.0123561835), (2, 0.012355623), (3, 0.012350064), (4, 0.012353868), (5, 0.012352041), (6, 0.012355274), (7, 0.012350605), (8, 0.9011696)]",8
成团 服务 热情 负责 行程 满意 领队 陈骏 特别 下次 携程,"[(0, 0.92589235)]",0
活动 携程 安排 司机 领队 导游 服务态度 特别 导游,"[(0, 0.011125133), (1, 0.91103834), (2, 0.011121086), (3, 0.0111172125), (4, 0.011121146), (5, 0.011118016), (6, 0.011120593), (7, 0.011117093), (8, 0.011121352)]",1
洪导 金导 超级 旅途 超级 愉快 洪导 金导 十颗,"[(0, 0.9110616), (1, 0.011117162), (2, 0.011115999), (3, 0.011116514), (4, 0.0111159505), (5, 0.0111172125), (6, 0.011121799), (7, 0.011116182), (8, 0.011117645)]",0
说实话 第一次 携程 出境游 报名 顺利 先是 航班 更改 改回来 改为 改为 团签 签证 材料 遗失 银行 补开 一波三折 给到 体验 糟糕 一度 放弃 投诉 满意 无奈 之下 等待 领队 导游 能慰 种种 不满情绪 终于 国庆 服务 给出 五星 好评 专业知识 业务 能力 亲和力 悉心 周全 服务 队员 称赞 关键 携程 公司 赢得 一份 信誉 企请 公司 后台 管理 提升 更好 优质服务 游客 安心 舒心 出行,"[(5, 0.98672384)]",5
本次 旅游 开心 导游 领队 人员 服务态度 旅游 按排 适合 年龄 游客 旅游 想不到 事情 发生 伦敦 住宿 酒店 拉杆箱 人为 破坏 幸亏 箱内 存放 贵重物品 影响 旅游 游玩 心情 连续 伴随 携程 旅游 想到 发生 遗憾 拉杆箱 住宿 酒店 破坏 携程 说法,"[(6, 0.9797842)]",6
住宿 甲醛 走廊 打开 房间内 味道 一晚 还住 一楼 开窗 装修 留给 中国 旅客 旅行团 中国 服务 还好 导游 讲解 到位 给予 团友,"[(6, 0.96293753)]",6
本次 行程 预设 完美 谢谢 携程 孙导 希望 下次 机会 成行,"[(0, 0.9258906)]",0
第一次 欧洲 旅行 选择 携程 团队 第一天 国庆 导游 啰嗦 飞机 安检 英航 提供 免费 方便面 出入境 购物 办理 退税 整理 报告 行程 时刻 提醒 国外 注意安全 真的 贴心 旅行 国庆 导游 旅客 名字 记得住 非常热心 旅行 过程 团队 团结 开心 融洽 希望 下次 旅行 国庆 导游 领队 碰到 团队,"[(8, 0.98255557)]",8
携程 下降 公司 体现 专业 报名 年初 早上 电话 告知 取消 下午 短信 签证 审核 理由 信群发 群发 携程 公司 解释 借口 改成 年初一 携程 预审 电话 原话 公司 名字 全称 回答 夫妻 银行 流水 夫妻 护照 签证 国家 地铁 电话 单位 固定 电话 名字 地铁 接电话 隐私 资料 大声 种种 包括 出签 三个 两天 六个 答案 两个 最终 回答 十年 携程 用户 一天天 看着 携程 英国 大英帝国 英国 日落西山 出游 罗队 导游 经验 领队 导游 确实 称职 专业 英国 大英帝国 旅游 确实 值得 感受 日不落 强大 世界 一流 国家 人文 景点 历史 玩乐 携程 价格 值得 泡面 榨菜,"[(5, 0.9911061)]",5
行程 满意 学到 英国 历史 国庆 导游 专业 热情 讲解 好评 前期 携程 客服 满意 提交 订单 交完 签证 办事 拖拉 解决问题 失望,"[(1, 0.962939)]",1
行程 安排 妥当 酒店 说好 干净 国庆 导游 工作 负责 团友 填写 整理 税单 携程 导游 有个 建议 温莎 巴斯 建议 分开 温莎 巴斯 不想 选择,"[(7, 0.96705025)]",7
伦敦 商家 接受 银联 标志 信用卡 信用卡 标志 好多 商家 接受 芯片 现金 出团 通知 提醒 团友,"[(4, 0.95058244)]",4
整体 行程 不错 几个 景点 时间 太紧张 特别 剑桥 约克 牛津 打仗 设计 行程 行程 改进 改进 感觉 曼彻斯特 啥意思 团队 球迷 去逛 商店 算有 啥意思 场球 网上 没官 衍生 产品,"[(2, 0.97220284)]",2
行程 不错 全程 高能 要论 看点 曼彻斯特 球场 球迷 兴趣 最差 逃婚 小镇 周边 小店 感觉 人造 景点 下车 厕所 建议 删掉 改为 地方,"[(8, 0.9644148)]",8
十天 行程 安排 特别 导游 国庆 全程 景点 介绍 详细 退税 帮忙 携程 自营 产品 真的 很好 唐导 大大的,"[(0, 0.6146991), (1, 0.17926534), (8, 0.17268185)]",0
十天 行程 安排 特别 导游 国庆 全程 景点 介绍 详细 退税 帮忙 顺利 携程 自营 产品 真的 很好,"[(0, 0.5281256), (8, 0.4309137)]",0
行程 很棒 亮点 服务 温情 态度 平安 即是 感谢 导游 司机 团队 合作,"[(1, 0.93645847)]",1
导游 领队 不错 强制 购物 自费 项目 行程 行程 早上 出发 晚上 酒店 休息 太累,"[(8, 0.9444098)]",8
总体 低于 逾期 性价比 行程 安排 赶路 游览 时间 每天晚上 点钟 入住 酒店 司机 工作 晚上 太阳 下山 小时 酒店 偏远 郊区 周边 好逛 小时 浪费 英式 下午茶 安排 苏格兰 感觉 苏格兰 那天 中午 午饭 下午茶 吃晚饭 实在 吃不下 饭后 拉到 郊区 酒店 周边 第二天 早就 离开 苏格兰 感觉 苏格兰 真得是 没玩过 几天 不划算 导游 讲解 一路上 故事 大英博物馆 跟着 导游 效率 满意 导游 脾气 不太好 两天 司机 吵架 影响 全对 心情 领队 努力 控制力 稍微 酒店 空调 开心 领队 解决 参加 携程 希望 改进,"[(0, 0.06718571), (6, 0.92376107)]",6
行程 总体 不错 天气 凉快 几天 下雨 感觉 几天 天气 干燥 凉爽 适合 游玩 维珍 航空 服务 餐食 旅游 大巴 驾驶 平稳 路况 餐食 团队餐 中餐 炸鱼 薯条 饭店 口感 不错 一顿 西餐 华人 口感 地道 酒店 英国人 办事效率 入住 费时间 行程 安排 最弱 十天 行程 去掉 来回 路程 三天 自由 两天 游玩 五天 五天 欧洲 行程 第一次 碰到 景点 用餐 时间 只能 走路 旅游 体验 不好 希望 携程 能加 两天 行程 游客 一点 十天 不差 再加 两天 导游 不错 讲解 英国 相关 事项 张瑾 领队 特别 认真负责 去过 几次 欧洲 领队 进忙 天天 提醒 关照 解决,"[(1, 0.651069), (6, 0.34098625)]",1
第三次 爸妈 每次 携程 失望 陈导 耐心 仔细 行程 安排 总体 满意,"[(0, 0.93155944)]",0
领队 徐文 认真负责 突发 英国人 做事 想象 严谨 客人 房间 房卡 权益 酒店 沟通 升级 房间 补偿 礼物 感动 行程 提示 详细 仔细 安排 衣食住行,"[(5, 0.9657848)]",5
快乐 旅游 领队 导游 分不开 谢谢 周毅 吃住行 游购 安排,"[(0, 0.01011161), (1, 0.010110465), (2, 0.010107591), (3, 0.010108195), (4, 0.010115087), (5, 0.010105831), (6, 0.010112363), (7, 0.010104808), (8, 0.919124)]",8
行程 时间 有限 景点 只能 蜻蜓点水 理解 选大 伦敦 周边 实在 酒店 住宿 有一晚 乡村 酒店 不行 房间 古老 欧洲 升温 空调 台式 电风扇 日子 堪比 一夜 回到 改革开放 导游 东北 讲解 不错 电视台 记者 日子 老油条 老资格 领队 短消息 房间 提醒 注意事项 伦敦 市区 自由 活动 询问 人间蒸发 例行 短信 不发 房间 告诉 团友 搞了半天 血拼 代购 打扰 失踪 回国 机场 路上 司机 护照 盖戳 不用 不用 服务 服务费 退还 客户 这位 领队 海关 退税 稍微 关注 了下 团友 代购 东西 排比 较长时间 这位 领队 点名 姓薛 不靠,"[(5, 0.99011683)]",5
导游 出国前 忘记 外汇 导游 非常感谢 导游 解决 国外 解决 感谢,"[(1, 0.92589897)]",1
英国 深度 总体 令人满意 线路 安排 住宿 大部分 酒店 令人满意 晚上 较差 一家 庄园 改造 酒店 设施 简陋 房间 太软 那一 休息 值得一提的是 美女 领队 林玲 帅哥 导游 很好 做好 本分 工作 之外 有求 不应 解决,"[(5, 0.9759543)]",5
安排 总体 满意 行程 想去 地方 地方 约克 古城 感觉,"[(0, 0.91911286), (1, 0.010108402), (2, 0.0101121), (3, 0.010112244), (4, 0.010120331), (5, 0.01010884), (6, 0.0101109585), (7, 0.010105847), (8, 0.010108444)]",0
行程 导游 负责 团友 团费 希望 携程 说法,"[(0, 0.90117127), (1, 0.012357496), (2, 0.01235205), (3, 0.012351713), (4, 0.012351702), (5, 0.012351801), (6, 0.012358967), (7, 0.012350711), (8, 0.012354249)]",0
行程 酒店 安排 游客 体验 多种 风格 自由 活动 期间 公司 收费 组织 行程 希望 提高 服务质量,"[(0, 0.9505863)]",0
行程 时间 两天 悠着点 儿会 舒服 价格,"[(0, 0.013901739), (1, 0.013901054), (2, 0.8887886), (3, 0.013896287), (4, 0.013904141), (5, 0.013904124), (6, 0.013898098), (7, 0.013897312), (8, 0.013908717)]",2
总体 携程 忠实 用户 行程 结束 意见 改进 用户 提供 更好 服务 游客 利益 着想 行程 安排 车辆 没想到 接送 车子 旅游 用车 旅游 用车 不知 旅游 车上 音箱 导游 话筒 说话 影响 听解 质量 行程 那天 约克 傍晚 六点钟 教堂 关门 商店 关门 自费 项目 上写 搭配 温莎 巴斯 导游 巴斯 来回 时间 改成 温莎 游船 天文台 收费 金额 温莎 巴斯 金额 没能 巴斯 遗憾 自费 项目 搭配 临时 调剂 温莎 天文台 丘吉尔 庄园 爱丁堡 城堡 几个 景点 门票 成人 票价 年前 出生 票价 两样 便宜 支付 旅游 费用 明白 购买 两种 票价,"[(3, 0.990638)]",3
景点 参观 浏览 时间 安排 不合理 著名景点 安排 行程 放到 自费 项目 不合理,"[(0, 0.93646324)]",0
行程 领队 导游 满意 解答,"[(0, 0.85175395), (1, 0.018542273), (2, 0.018531015), (3, 0.018531607), (4, 0.018530436), (5, 0.018525455), (6, 0.018531373), (7, 0.018523453), (8, 0.018530464)]",0
公司 同事 出游 回来 评价 此团 整体素质 领队 导游 专业 敬业,"[(4, 0.9258645)]",4
出游 几天 天气 蓝天白云 美景 顺利 享受 团队 素质 体谅 期待 明年 暑期,"[(0, 0.9364596)]",0
旅游 设计 领队 导游 服务质量 预定 售后服务 实在 太差 携程 递交 签证 资料 通知 护照 告知 擅自 修改 配送 地址 配送 解决方案 解决 携程 投诉 主管 工号 携程 内部 工作 流程 出错 歉意 态度恶劣 强词夺理 恶狠狠 道歉,"[(6, 0.9765962)]",6
总体 满意 天气 还算 导游 领队 林玲 专业 有求必应 希望 行程 调整 冬天 日照 景点 天黑 好好 拍照,"[(6, 0.9531807)]",6
安排 满意 行程 领队 导游 需求,"[(0, 0.8729426), (1, 0.015886372), (2, 0.015884534), (3, 0.015878681), (4, 0.015887573), (5, 0.015878238), (6, 0.015882602), (7, 0.01587664), (8, 0.015882751)]",0
行程 太累 安排 不当 住宿 餐厅,"[(0, 0.015882056), (1, 0.015881838), (2, 0.8729694), (3, 0.015877688), (4, 0.015878573), (5, 0.015877804), (6, 0.015876949), (7, 0.015876904), (8, 0.01587881)]",2
第一天 碰到 飞机 延误 小时 几天 行程 愉快,"[(0, 0.329945), (1, 0.012355361), (2, 0.012357249), (3, 0.012350977), (4, 0.012355873), (5, 0.012353169), (6, 0.012354414), (7, 0.5835754), (8, 0.012352522)]",7
酒店 太烂 出行 最老旧 酒店 酒店 行程,"[(0, 0.8887947), (1, 0.01389794), (2, 0.013909012), (3, 0.013895058), (4, 0.013900263), (5, 0.013899329), (6, 0.0138980895), (7, 0.013905567), (8, 0.013899986)]",0
领队 负责 导游 讲解 水平 时间 安排 客人 解决 团队 人数 推荐 朋友 参与,"[(4, 0.9406976)]",4
旅游 不错 英国 确实 看头 时间 地方 只能 走过 领队 陪都 女孩子 辛苦 负责 遗憾 第一 天气 估计 几天 北部 真的 希望 旅行社 这方面 给到 信息 酒店 放在 偏僻地区 晚上 地方 兜兜 第三 实在 不好 英国 好吃 反正 自理 真的 不到 好吃 希望 自理 至少 找到 好吃 地方,"[(0, 0.98184687)]",0
导游 北方 幽默 旅行 不错 路线 缩短 一点 更好 感觉 大部分 时间 车上 晃掉 一段 赶到 球场 四五点 自费 失望,"[(5, 0.95763654)]",5
服务 住宿 水准 失望 行程 携程 旅行社 服务水平 特意 钻团 却是 最差 旅行 住宿 酒店 像样 还好 卫生 干净 地陪 李导 导游 车上 长时间 讲解 最长 超过 分钟 几天 讲解 上车 简单 行程 安排 结束 应付 英国 风土人情 历史 再少 美国 欧洲 导游 相比 差太 特别 景点 门口 集合 导游 格林威治 天文台 中文 讲解 出门 导游 事先 告知 一群 乱转 一圈 看不懂 安排 一餐 西式 晚餐 安排 很烂 馆里 真是太 搞笑 饿着肚子 离开 改不了 安排 馆里 事先 饿着肚子 旅游 经历 导游 事先 西餐 馆里 人会 极难 服务 其三 爱丁堡 团友 衣服 一位 发烧 出发 携程 特别 提醒 顾客 外套,"[(2, 0.25674134), (5, 0.73547304)]",5
携程 只能 失望 一家 报名 参加 携程 组织 英格兰 苏格兰 十日 团游 下午 出发 前半天 携程 告知 行程 领馆 拒签 欺骗 领馆 理由 拒签 一再 催讨 提出 投诉 情况 携程 领馆 拒签 发给 气愤 携程 行程 侮辱 智商 携程 文盲 英语 信里 拒签 原因 清清楚楚 领馆 拒签 早在 下午 通知 携程 意欲何为 携程 客服 电话 回复 时至今日 说法 缺少 基本常识 商业 良知 缺少 材料 原因 通知 配合 提交 客人 过错 情况 携程 发生 事故 主动 解释 傲慢无礼 携程 原本 信赖 粉丝 当成 至此 只能 携程 再要 携手 同程 不配,"[(6, 0.9901176)]",6
携程 昨天 发来 成交 短信 成交 成交 拒签 一张 这位 朋友 携程 蒙骗 事情 三遍 没理由 携程 没理由 携程 没理由 携程 微博 上请 搜索 携程 拒签 关键字 找长 文章 找到 组织 有没有 字样 领馆 携程 补交 材料 时间 携程 媒体 携程 点交 材料 领馆 通知 携程 补交 材料 携程 通知 补交 材料 拒签 拒签 通知 网上 发觉 拒签 状态 打电话 还给 装傻 期间 发送 各类 飞机 游程 短信 领队 信息 管理 混乱 旅行社 事情 因果关系 旅行社 好像 值得 同情 有人 签过 英国 签证官 负责 地方 主动 打电话 出签 很快 屎盆子 头上 责任 公司 勇于 承担 解决,"[(6, 0.99083203)]",6
原本 出发 行程 晚上 通知 签证 团队 拒签 收到 拒签 单后 发现 领馆 发出 理由 莫名其妙 携程 得罪 英国 领馆 晚点 通知 游客 解决方案 身心俱疲 感觉 携程 八块 解恨 家中 老人 本来 旅行 期盼 闷闷不乐,"[(6, 0.9752937)]",6
满意 旅行 每次 团队 选择 携程 例外 失望 行程 安排 自费 参加 温莎 值得,"[(4, 0.9407026)]",4
行程 安排 不错 五分 领队 实在 发挥 作用 还给 不快 感觉 领队 不想,"[(6, 0.9364654)]",6
团队 人数 控制 行程 设计 不尽合理 到此一游 酒店 特色,"[(0, 0.011124285), (1, 0.011119362), (2, 0.01111836), (3, 0.01111485), (4, 0.011118915), (5, 0.011116077), (6, 0.91104925), (7, 0.011120142), (8, 0.011118763)]",6
宾馆 总体 不错 曼城 宾馆 免费 前台 理由 中国 客人 网络 拥挤 收费 担供 导游 领队 负责,"[(2, 0.9505698)]",2
领队 导游 还行 住宿 二个 晚上 不行 二星 特别 餐饮 欧洲游 几顿 中餐 游玩 有劲 午餐 自理 早餐 希望 改进,"[(1, 0.9576406)]",1
整体 行程 住宿 房间 无所谓 三天 伦敦 西北边 一家 印度人 印度人 中国 歧视 那天 晚上 所有人 偏远 房间 领队 钥匙 行李 跟着 拉来拉去 领队 拿到 钥匙 行李 钥匙 上楼 前台 意见 第二天 旅游 回来 游览车 印度人 控制 电梯 电梯 本来 该轮 没想到 老印 两个 白种人 种族歧视 一家 酒店 意见 服务态度 电话 不通 吃饭 回来 前台 电话 修好 回答 表格 工程师 下班 试问 表格 装傻 强烈建议 携程 这家 酒店 建议 自助游 这家,"[(4, 0.9876466)]",4
爸妈 豪华游 爸妈 回来 理想 携程 团差 领队 能力 极差 服务 不好 父母 愉快 差点 掉队 英国 瑞士 德国 领队 想到 爸妈 多岁 英语 想想 后怕 导游 指路 爸妈 差点 迷路 行程 单上 明明 星级 宾馆 爸妈 酒店 爸妈 体验 瑞士 德国 之游 相差 甚远,"[(1, 0.9806651)]",1
行程 建议 去掉 两个 景点 时间 景点 剑桥 爱丁堡 放点 时间,"[(1, 0.48860133), (2, 0.44653544)]",1
导游 领队 总得来说 日程 拿到 霍华德 城堡 达西 庄园 莎士比亚 故居 明明 确认书 导游 领队 日程 达西 庄园 德华 城堡 给与 解释 行程 确认书 邮件,"[(1, 0.9657908)]",1
英国 酒店 几个 晚上 空调 靠着 马路 窗户 窗户 特别 闷热 希望 改进,"[(0, 0.93645614)]",0
