内容,主题概率,主题类型
不怎么样 一点 不劲 米饭 口感 一点 不好 散称 大米 一点 不值,"[(3, 0.058726817), (5, 0.64417034), (10, 0.23645891)]",5
贵州 好吃 正宗 五常,"[(0, 0.018194787), (1, 0.018196411), (2, 0.018195707), (3, 0.018194603), (4, 0.018194227), (5, 0.018197153), (6, 0.5439769), (7, 0.018194389), (8, 0.2922675), (9, 0.018194264), (10, 0.018193997)]",6
水晶 大米 收到 大米 质量 口感 黑龙江 我家 五常 大米 大米 实在 难吃 糊弄 南方人 音带 货主 骗人,"[(1, 0.84953654), (7, 0.107346386)]",1
东北 大米 没法 宣软 主播 夸张 一分钱 一分货 便宜 大米,"[(6, 0.6132848), (10, 0.31229866)]",6
期望 期望 感觉 味道 差点,"[(0, 0.015154527), (1, 0.015154871), (2, 0.015154536), (3, 0.8484534), (4, 0.015154515), (5, 0.0151553), (6, 0.015154669), (7, 0.015154595), (8, 0.015154601), (9, 0.01515435), (10, 0.015154653)]",3
大米 口感 咋样 一点 不软 性价比,"[(0, 0.012989626), (1, 0.012989761), (2, 0.012990172), (3, 0.012989268), (4, 0.0129903825), (5, 0.3852953), (6, 0.0129900025), (7, 0.49779716), (8, 0.012989282), (9, 0.012989316), (10, 0.012989683)]",7
上当,"[(0, 0.045456976), (1, 0.54542667), (2, 0.045456976), (3, 0.045457304), (4, 0.04545731), (5, 0.045456976), (6, 0.045456976), (7, 0.045456976), (8, 0.045456976), (9, 0.045456976), (10, 0.04545993)]",1
大米 便宜,"[(0, 0.030309645), (1, 0.030304594), (2, 0.030304842), (3, 0.03030553), (4, 0.6969389), (5, 0.030305285), (6, 0.030304646), (7, 0.030303946), (8, 0.030304288), (9, 0.030310206), (10, 0.030308185)]",4
收到 口感 不太好 好看,"[(0, 0.01818349), (1, 0.3674458), (2, 0.018184988), (3, 0.018183792), (4, 0.018184384), (5, 0.018183554), (6, 0.018184016), (7, 0.46890014), (8, 0.018182602), (9, 0.01818359), (10, 0.018183632)]",7
满意 店家 店家 生意兴隆 光顾,"[(0, 0.015163526), (1, 0.015164152), (2, 0.015163612), (3, 0.015163906), (4, 0.015164445), (5, 0.848361), (6, 0.015163519), (7, 0.015163476), (8, 0.015164303), (9, 0.015164417), (10, 0.0151635995)]",5
优级 产品 十分满意,"[(0, 0.022783289), (1, 0.5270646), (2, 0.022783596), (3, 0.022783227), (4, 0.26788568), (5, 0.022783227), (6, 0.022783227), (7, 0.022783227), (8, 0.022783317), (9, 0.02278323), (10, 0.02278332)]",1
直播 五常 大米 没想到 珍珠米 成功 一斤 珍珠米 买到,"[(2, 0.71390456), (5, 0.20423944)]",2
大米 收到 包装 完好 快递 服务 商家 服务 口感 追评,"[(4, 0.55564415), (8, 0.36996603)]",4
特别,"[(0, 0.0454577), (1, 0.04546055), (2, 0.5454287), (3, 0.045455083), (4, 0.045455474), (5, 0.045460105), (6, 0.045461074), (7, 0.045455467), (8, 0.0454551), (9, 0.04545511), (10, 0.045455586)]",2
大米 评论 评价,"[(0, 0.022730196), (1, 0.022731842), (2, 0.02273262), (3, 0.022728866), (4, 0.022736043), (5, 0.19183406), (6, 0.022731064), (7, 0.60358745), (8, 0.022730447), (9, 0.022728689), (10, 0.02272874)]",7
