时间,fenci,主题概率,主题类型
2024-07-03,主持人 旅客 污水 猎奇 视频,"[(0, 0.02794911), (1, 0.028052986), (2, 0.027835619), (3, 0.8603821), (4, 0.02796338), (5, 0.027816847)]",3
2024-06-17,拒绝 取消 禁令 下令 报复 制裁 拒绝 取消 水产品 禁令 报复 借口 方向 提供 军民 两用 物资 借口 制裁 企业 电视台 报道 打算 制裁 名单 包括 军民 两用 材料 公司 纳入 包括 水产品 转移 打算 峰会 说服 取消 海产品 禁令 失败 劝阻 执意 关键所在 声称 排放 经得起 障眼法 污水 选择 峰会 实施 制裁 原因 名状 阵营 收起,"[(2, 0.98553705)]",2
2024-04-29,县议员 接受 采访 规划 废水处理 方案 废水 便宜 方式 废水 支出 超计划 青蜂 青蜂 视频 收起,"[(0, 0.9507544)]",0
2024-03-15,早安 超话 早安 废水 排入 人类 生态 危害 时报 解答 大众 关切 疑问 时报,"[(0, 0.9440652), (1, 0.011237823), (2, 0.011183715), (3, 0.01115955), (4, 0.011186581), (5, 0.01116711)]",0
2024-03-23,拒绝 地球 草莓 影视 视频,"[(0, 0.028146507), (1, 0.24366476), (2, 0.028033664), (3, 0.64414454), (4, 0.02794981), (5, 0.028060727)]",3
2024-06-22,废水 洗脸,"[(0, 0.056902513), (1, 0.056339514), (2, 0.7185932), (3, 0.05598164), (4, 0.056203585), (5, 0.055979557)]",2
2024-06-13,朋友 点菜 想到 排放 废水 样子 机会 买得起 房子,"[(0, 0.016811445), (1, 0.016793426), (2, 0.016739301), (3, 0.016718656), (4, 0.016775707), (5, 0.9161615)]",5
2024-04-01,废水,"[(0, 0.5799234), (1, 0.08438647), (2, 0.08382587), (3, 0.08378685), (4, 0.08418871), (5, 0.08388869)]",0
2024-05-31,鱼油 评论 姐妹 奶茶 鱼油 必备 补剂 鱼油 天花板 口碑 超好 品牌 牌子 鱼油 购买 出错 鱼油 鱼油 改善 很大 鱼油 年头 皮肤 稳定 睡眠 心情 有变 鱼油 稳定 情况 现代人 作息 鱼油 预防 鱼油 作用 鱼油 功效 熬夜 外卖 健康 饮食 身体 炎症 高发 导致 皮肤 变差 鱼油 减少 闭口 痘痘 生成 浓度 鱼油 泛红 减少 养好 皮肤 有用 头发 眼睛 鱼油 发质 有变 动物 鱼油 光亮 减少 视网膜 脑部 补充 润泽 眼睛 增加 眼睛 视物 能力 儿童 养护 眼睛 大脑 很大 用处 成人 补充 记忆力 心血管 血脂 降低 血脂 预防 心血管 疾病 记忆力 提高 备考 学习 补充 原料 取自 渔场 洋流 废水 认证 健康 放心 选品 小金 颗粒 下单 赠送 机制 小红帽 颗粒 儿童 详情 图文 介绍 支持 收起,"[(0, 0.99312264)]",0
2024-04-15,重视 体检 体检 医生 建议 癌症 癌症 项目 癌症 癌症 措施 有效性 特异性 发现 病变 副作用 简便 经济 负面效应 重视 辐射 危害 阳性 过度 诊断 过度 治疗 癌症 有用 收藏 收起,"[(0, 0.4172064), (3, 0.5618741)]",3
2024-05-28,大会 熟悉 剧情 上演 当局 谋求 参会 就职 拓展 国际 空间 奈何 使出 世卫 大会 连续 炒作 世卫 大会 涉台 拉拢 政客 帮腔 站台 鼓吹 支持 观察员 参加 世卫 大会 倚靠 势力 谋取 入场券 炒作 碰壁 炒作 决议 明确指出 代表 身份 理由 参加 世卫 大会 小动作 打着 旗号 世卫 大会 自诩 模范生 抹黑 参会 大陆 炒作 国际 体系 缺口 可谓 加码 大会 就职 拓展 国际 空间 突破口 卫生 部长 办事处 人员 举办 研讨会 社交 平台 发文 呼吁 世卫 大会 接纳 势力 求援 怂恿 邦交国 大会 交涉 提案 可惜 打错 算盘 求援 无人 理睬 闹剧 政治 作秀 欺骗 国际 社会 挤入 世卫 大会 纯属 下场 民众 健康 参加 世卫 大会 事实 暗地 拒绝 新冠 疫苗 污水 揭露 关心 民众 政治 私利 民众 看清 虚伪 嘴脸 关心 民众 健康 说辞 障眼法 原则 前途 历史 倒车 绝无 出路 世卫 大会 连续 拒绝 邀请 观察员 身份 参加 世卫 大会 提案 列入 大会 议程 国际 社会 原则 格局 撼动 蓄意 世卫 大会 滋事 做法 成功 当局 世卫 大会 谋取 政治 私利 秀场 闹腾 世卫 大会 入场券 卫谋 图谋 注定 失败 告终 作者 日光 收起,"[(3, 0.99531156)]",3
2024-04-08,粉丝 带上 女朋友 废水 来到 时间,"[(0, 0.023990149), (1, 0.024081573), (2, 0.02431441), (3, 0.024047187), (4, 0.87934774), (5, 0.02421894)]",4
2024-03-15,废水 排入 人类 生态 危害 时报 解答 大众 关切 疑问 时报,"[(0, 0.9299918), (1, 0.014082211), (2, 0.013998229), (3, 0.013961544), (4, 0.0140086515), (5, 0.013957594)]",0
2024-05-29,废水 美食 电影 视频,"[(0, 0.8323847), (1, 0.03358085), (2, 0.033441644), (3, 0.03364513), (4, 0.03345756), (5, 0.03349011)]",0
2024-03-12,相岸 声称 水产品 禁令 认同 敦促 撤销 措施,"[(0, 0.018662114), (1, 0.545835), (2, 0.01870559), (3, 0.37938905), (4, 0.01884224), (5, 0.018565932)]",1
2024-04-24,神仙 撤柜 感慨 办事 同事 记忆 废水 原因 国货 壮大 大牌 市场 缩水 精细化工 争抢 赛道 文章 水平 推荐 品牌 关键 技术 性价比 特高 工厂 规模 国际 大牌 人用 大牌 国人 用得 补充剂 赛道 水平 价格 美好 补充剂 地方 特色 海狗 海狗 海狗 国产 概念 原委 本子 太坏 功夫 学学 回头 开贴 护肤品 保健品 人脑 感叹 冤枉钱 收起,"[(3, 0.98575145)]",3
2024-05-28,餐桌 废水 探娱 视频,"[(0, 0.8325154), (1, 0.033548005), (2, 0.03343085), (3, 0.033594407), (4, 0.03346027), (5, 0.033451084)]",0
2024-04-12,记得 核污染 宏观 模拟 结果表明 核污染 排放 到达 海域 到达,"[(0, 0.015313501), (1, 0.9237499), (2, 0.015171318), (3, 0.015305216), (4, 0.015275541), (5, 0.0151845105)]",1
2024-07-08,贫道 爆款 视频 看过 核辐射 标准 定在 贫道 主持人 警报器 哔哔 哔的 吓人 朋友 核辐射 检测器 核辐射 贫道 标准 妥妥 超标 文章 官方 资料 世界 平均值 辐射 收起,"[(0, 0.97093725)]",0
2024-05-09,事件 起因 超市 拍到 奶茶 被套 印有 抵制 废水 字样 全网 奶茶 销量 股价 发现 奶茶 产品 抵制 废水 字样 推上 舆论 风波 股价 大跌 涉嫌 商业 玩弄 国人 情绪 超市 不到 抵制 废水 同款 饮料 摆拍 目的 煽动 民族情绪 方式 赚钱 无耻 奶茶 辩护 无罪 典型 确实 无罪 欺骗 消费者 两件事 消费者 挡箭牌 奶茶 日文 标注 抵制 废水 字样 面想 典型 投机 主义 国人 警惕 奸商 收割 韭菜 企业 抵制 负责 虚假 商业 市场 毒瘤 企业 效仿 产品 不靠 产品 产品 性价比 质量 价值 说话 虚头 炒作 低劣 消费者 理性 思考 能力 消费者 购买 产品 产品 质量 过硬 产品 虚假 概念 收起,"[(5, 0.9919252)]",5
2024-05-04,支持 奶茶 废水 事实,"[(0, 0.033666354), (1, 0.033740386), (2, 0.033456985), (3, 0.03365054), (4, 0.033673435), (5, 0.83181226)]",5
2024-05-06,发下 事件 疑似 炒作 希望 理性 看待 网友 爆料 事件 商场 面向 华人 货架 标签 日文 标注 压根 杯套 摆拍 摆拍 大众 视野 废水 热度 商业行为 恶意 消费者 商家 效仿 涨价 受伤 消费者 直播间 卖麻 连续 消费者 同志 实在 收起,"[(2, 0.97958726)]",2
2024-06-28,时间 电力公司 发布 消息 核电站 核污染 排海 排放 总量 发现 国家 报道 污水 排放 定下 公关 项目 拿出 舆论压力 降到 最低 公关 排放 污水 国运 政权 包装 无毒 无害 消除 负面 信息 举动 撕下 假面具 失信 国际 社会 政治 僵死 资源 市场 经济 楼阁 失信 全世界 抛弃 骨牌效应 信誉 下降 导致 经济 导致 社会 稳定 以致于 政权 下令 国家 民族 命运 连任 执政 时间 后果 好下场 伊势 神宫 祭拜 爆炸 危险 演讲 下令 排污 仇人 政敌 核污染 中止 渔业 捕捞 渔民 仿造 性命 判断 渔民 愤怒 枪口 袭击 逃不过 国际 司法 追究 缉拿 排放 污水 罪孽 形容 命运 下场 可悲 收起,"[(1, 0.9022704), (3, 0.09112462)]",1
2024-04-29,医生 不顾 辐射 危害 病人 手术 手术 直播间 小鱼 渡劫 视频,"[(0, 0.9302034), (1, 0.01397996), (2, 0.013980468), (3, 0.013957038), (4, 0.013924293), (5, 0.013954868)]",0
2024-05-08,事件 反转 媒体报道 包装 产品 售卖 疑似 炒作 摆拍 网友 商店 发现 店里 讽刺 废水 事件 产品 老板 业务员 摆拍 下架 收走 国货 标签 销量 倍增 股价 猛涨 曝出 自导自演 富贵 短暂 股价 跌下去 品牌 利用 消费者 情怀 欺骗 消费者 闹成 出面 大众 交代 收起,"[(2, 0.9817448)]",2
2024-04-20,报道 电力 核电站 放射性物质 污水 储罐 发现 腐蚀 迹象 腐蚀 局部 储罐 强度 安装 储罐 负责人 老化 维护 污水 发现 储罐 腐蚀 迹象 涂层 剥落 年度 拆解 储罐 检查和 修补 储罐 用于 污水 螺栓 固定 钢板 储罐 水槽 净化 污水 接连 发生 泄漏 改成 不易 漏水 焊接式 储罐 焊接式 储罐 报道 污水 储罐 巡视 外观 确认 机器人 安装 采用 超声波 铁板 厚度 储罐 强度 收起,"[(4, 0.9873477)]",4
2024-05-06,员工 消息 全网 热议 举动 彰显 坚定 立场 态度 体现 国人 维护 国家 尊严 坚定 决心 旗下 产品 印有 嘲讽 污水 标语 污水 回应 污水 排入 引发 全球 担忧 质疑 构成威胁 人类 健康 标语 幽默 方式 表达 关切 唤起 环境保护 重视 发文 员工 举动 展现 企业 员工 支持 爱护 面对 引发 争议 事件 选择 员工 给予 鼓励 态度 员工 提供 坚实 后盾 外界 传递 信息 企业 坚守 价值观 社会 责任 国人 态度 总裁 直播间 给予 员工 奖金 举动 员工 国人 坚定 立场 鼓舞 肯定 激励 面对 涉及 国家 利益 尊严 勇于 发声 坚守 底线 维护 国家 尊严 利益 公民 责任 提醒 企业 国家 民族 热爱 忠诚 坚定 捍卫 立场 实际行动 表达 国家 支持 呼吁 重视 环境保护 污水 排入 关注 担忧 全球性 国际 社会 解决 推动 保护 地球 家园 社会 热点 引发 讨论 思考 维护 国家 利益 社会 道路 孤单 网友 点赞 支持 做法 国人 正义 尊严 追求 榜样 坚定 立场 实际行动 守护 国家 尊严 利益 期待 企业 社会 责任 美好 世界 贡献 力量 收起,"[(1, 0.9949101)]",1
2024-06-13,价格 理由 废水 牛肉 价格 去逛 早市 发现 牛肉 价格 很好 肋条 老板 不吃 牛肉 废水 不吃 牛肉 收入 职位 消失 岗位 分给 行不行 不行 市场 牛肉 传递 事情 压根 行业 消失 收起,"[(0, 0.8952765), (1, 0.08487999)]",0
2024-06-27,污水 累计 排放 距离 核电站 排放 核污染 核电站 核污染 水排 排放 污水 污水 结束 核电站 电力 官网 计划 财度 排出 核污染 核电站 污水 核电站 储罐 储存 核污染 总量 财年 排放 计划 累计 排放 污水 污水 储存量 不到 排污 体现 水产 发布 财年 海产 数据 水产品 禁令 导致 财年 海产 出口额 下降 海产 总额 下降 官方 民间 机构 努力 推广 海产品 增长额 不足以 弥补 市场 核污染 水排 累计 排放 海产品 锐减 收起,"[(0, 0.46536252), (4, 0.52533096)]",4
2024-07-04,物产 侵华 战争 时期 坏事 财团 鬼子 控制 公司 公司 投资人 日本鬼子 集团 白虾 有没有 污水 成分 海产品 有没有 日本产 污水 甄选 报警 事儿 白对虾 交钱 贡献 曲线救国 提前 下好 玩意儿 日本鬼子 白对虾 海产品 混进 日本产 污水 海产品 有没有 不吃 事儿 对虾 内心 国家 长存 贡献 资助 敌国 日本鬼子 收起,"[(0, 0.14357908), (2, 0.843163)]",2
2024-03-14,核电站 废水 含量 污水 本质区别 烟云 视频,"[(0, 0.021193545), (1, 0.89505756), (2, 0.020896222), (3, 0.020957677), (4, 0.021012925), (5, 0.020882104)]",1
2024-07-02,敦促 弹劾 总统 国民 请愿 参与者 剧增 国民 动议 请愿 网站 留言板 连接 延迟 现象 民族 日报 报道 名为 发起 请愿 发布 截止 国民 动议 请愿 网站 显示 网民 弹劾 小时 显示 联署 报道 民众 发现 登录 国会 网站 登录 人数 等待 连接 提示 国会 请愿 网站 瘫痪 等待 人员 超过 等待时间 超过 小时 网站 拥堵 议长 社交 媒体 国民 参与 请愿 国会 数字化 硬件 设施 需求 国会 事务处 措施 解决 新闻 请愿 提出 弹劾 理由 包括 上等兵 殉职 施压 争议 收受 名牌 涉嫌 操纵 股价 高速公路 改道 涉嫌 助长 战争 危机 强行 财团 赔偿 强征 污水 请愿 登记 联署 提交 国会 法制 司法 委员会 支持 请愿 动议 人数 暴涨 日报 报道 前国 会议 公开 回忆录 踩踏 事件 发生 见面 建议 行政 长官 辞职 回忆录 写道 事件 怀疑 态度 做出 罢免 排除 事故 势力 操纵 可能性 舆论 发酵 社交 媒体 上为 辩护 称为 踩踏 事件 总统 情况 总统 否认 提及 踩踏 事件 操纵 说法 总统 日报 报道 相关 总统 负责人 出席 国会 委员会 会议 在野党 提出 丑闻 总统 相关 人士 解释 报道 国家 队员 施压 嫌疑 会议 发怒 在野党 声称 会议 得知 调查团 调查结果 愤怒 事情 处罚 师团 担任 师团 收受 名牌 嫌疑 牧师 父亲 有意 接近 卑劣 拍摄 事件 电视台 报道 在野党 议员 委员会 会议 相关 请愿 人数 形势 涨到 议员 客气 情况 总统 秘书室 日报 国会 弹劾 请愿 观望 态度 强硬派 议员 暗示 弹劾 发言 领导层 担心 政治 风波 反噬 效果 弹劾 法律 政客 民心 推进 弹劾 新闻 发表 社论 物价 富人 减税 导致 民众 总统 支持率 卷入 弹劾 风波 关键 收起,"[(0, 0.49085358), (2, 0.5065128)]",2
2024-03-06,废水 事件 压垮 骆驼 稻草 品牌 赢得 消费者 信任 措施 消除 消费者 疑虑 手段 包括 产品 提高 透明度 转移 原料 产地 平台 渗透 品牌形象 用户 心智 遇冷 品牌 突围 收起,"[(2, 0.9729578)]",2
2024-04-08,问问 打算 防晒 耐晒 粉金 废水 想用,"[(0, 0.89506525), (1, 0.020902593), (2, 0.020989582), (3, 0.021018837), (4, 0.020879732), (5, 0.021144008)]",0
2024-05-06,串珠 死活 废水 淡水 价格 火箭 飞升 低于 圆润 关泽度 表皮 硬伤 顶级 性价比 圆润 点位 串珠 光泽感 黄金 点位 适合 佩戴 内敛 低调 拿走 价格比 团价 回去 加到 出货 班车 收起,"[(4, 0.9746146)]",4
2024-03-25,彩礼 彩礼 真会 省事 对立 矛盾 坐在 话题 流量 污水 媒体 没看 报纸 现场 做做,"[(0, 0.0106349485), (1, 0.010455533), (2, 0.010458142), (3, 0.94750625), (4, 0.01048051), (5, 0.01046464)]",3
2024-03-12,日本首相 敦促 撤销 水产品 禁令 例行 记者会 核污染 水排 事关 全人类 健康 全球 国际 公共利益 包括 防范 应对 措施 正当合理 见习 记者 记者 敦促 撤销 水产品 禁令 回应 收起,"[(4, 0.97199744)]",4
2024-03-10,食品药品 糖果 产品 放射性物质 导致 进口商 取消 相关 计划 产品 发现 痕迹 食品 慎重 朋友 事儿 转包 水产品 包装 国家 产品 污水 排放 收起,"[(2, 0.17551713), (4, 0.79749817)]",4
2024-04-30,废水 不到 本土 不好意思 词条 欣慰,"[(0, 0.024003997), (1, 0.023950143), (2, 0.023858465), (3, 0.023918223), (4, 0.88034445), (5, 0.023924723)]",4
2024-03-06,蛋白 肥料 农业 兴起 疑似 废水 死鱼 方式 食物 危险,"[(0, 0.015281595), (1, 0.015324691), (2, 0.015422892), (3, 0.015207459), (4, 0.015254758), (5, 0.9235086)]",5
2024-03-15,早安 超话 早安 废水 排入 人类 生态 危害 时报 解答 大众 关切 疑问 时报,"[(0, 0.94405884), (1, 0.011244175), (2, 0.011183725), (3, 0.011159557), (4, 0.01118659), (5, 0.011167117)]",0
2024-03-20,发现 事情 拚命 废水 确实 国际 资本 包括 老板 节目 股票 买房子 理论 排核 废水 环境 适合 居住 排核 废水 收起,"[(0, 0.17552845), (2, 0.7938931)]",2
2024-05-15,消息 电力公司 核电站 排出 计划 财年 核污染 水排 排放 总量 财年,"[(0, 0.014054705), (1, 0.9301508), (2, 0.013915978), (3, 0.013932975), (4, 0.01402757), (5, 0.0139179975)]",1
2024-07-12,公开 秘密 公开 区别 危害 废水 能量 记者 脏水 爆出 负面 负面 危害 深重 势力 勾结 搞乱 经济 祖国 抹黑 讽刺 资格 特供 煤油 食用油 炒菜 孩子 牛奶 配得 收起,"[(5, 0.9729455)]",5
2024-03-18,污水 危害 关注 污水 排放 历时 排放量 排放量 当代人 感受 不到 污水 破坏力 肉眼 伤害 温水 青蛙 污水 地球 伤害 持久 核污染 有害 几代人 健康 生物 公众 健康 物种 基因 损害 世界 漠视 付出 沉重 代价 历史 人类 付出 惨痛 代价 收起,"[(4, 0.98044634)]",4
2024-07-12,消息 县议员 接受 记者 采访 废水 便宜 方式 废水 支出 用于 洗白 超话 古诗 视频,"[(0, 0.6154678), (1, 0.3424279), (2, 0.010489492), (3, 0.010566509), (4, 0.010535784), (5, 0.010512543)]",0
2024-05-04,商品 上贴 标语 废水 废水 危害 孩子 核污染 水排 海是,"[(0, 0.9234641), (1, 0.015241506), (2, 0.015289212), (3, 0.015301693), (4, 0.015419954), (5, 0.015283504)]",0
2024-06-28,发生 事故 核电站 运营商 排放 净化 废水 公司 简报 披露 排放 废水 含量 文件 指出 排放 筹备 作业 提取 样本 证实 废水 参数 符合 排放 电力公司 用于 冷却 反应堆 放射性物质 排放 污水 系统 系统 清除 水体 带有 放射性 机体 危险 储存 发电厂 水箱 容量 装满 核电站 核污染 计划 财年 结束 排放 核污染 水所 总量 报道 电力公司 财年 排放 核污染 电力公司 当局 宣称 排放物 环境 人类 构成威胁 国家 海产品 食品 动植物 卫生 监督局 鱼类 产品 收起,"[(4, 0.9889493)]",4
2024-03-30,团队 废水 海岸线 泛滥 洋流 作祟 流向 汇聚 流入 担心 专家 告诉 海水 到达 交界 赤潮 回归 海域 再循 逆时针 路线 周游世界 收起,"[(1, 0.96508026)]",1
2024-05-07,果汁 商店 久保 产品 杯套 印有 日文 内容 包括 无耻 土地 嘲讽 废水 标语 网民 支持 做法 评论 支持 公司 网民 批评 炒作 手段 情绪 包装 排海 直播间 销售额 暴增 收起,"[(0, 0.5837537), (2, 0.14035344), (4, 0.2601246)]",0
2024-03-22,算法 废水 抵达 海域,"[(0, 0.03362241), (1, 0.033611745), (2, 0.033584457), (3, 0.03357624), (4, 0.8321684), (5, 0.033436798)]",4
2024-07-23,外长 抽空 会见 总务 会长 森山 阐明 原则立场 关切,"[(0, 0.016703615), (1, 0.016729204), (2, 0.016743083), (3, 0.9164281), (4, 0.016700746), (5, 0.016695198)]",3
