,电影语言,上映时间,电影类型,热门主演,电影导演,电影持续时间,想看人数,总票房（单位万）
387,0,2,2,0,0,88,0,9.6
394,0,0,2,0,0,97,2923,2269.7
395,0,0,0,0,0,90,5087,484.8
403,0,0,4,0,0,113,240303,81300.00000000001
409,0,0,2,1,0,114,1273,214.7
410,0,0,0,0,0,150,673,16.3
411,1,0,4,0,0,86,8164,1959.1
426,0,0,2,0,0,93,986,381.7
433,0,0,0,0,0,86,9997,186.8
446,1,0,1,1,0,104,280645,64000.0
449,0,2,2,0,0,100,43,0.203
451,0,1,0,0,0,92,13818,135.9
455,1,2,3,0,0,161,296086,10600.0
465,0,1,0,0,0,95,552,1.0
469,1,0,2,0,0,119,11057,6764.4
472,0,1,2,0,0,96,231,3.3
476,1,0,2,0,0,108,15777,1455.3
480,0,2,4,0,0,99,390157,59500.0
493,0,2,2,0,0,105,1459,136.9
495,0,0,4,0,0,97,22847,2458.4
498,0,2,4,0,0,119,250058,194100.0
504,0,0,0,0,0,90,5555,584.0
513,0,1,6,0,0,90,12973,473.3
525,0,0,2,0,0,104,1337,94.9
530,1,2,2,0,0,114,1173,26.0
534,0,0,0,0,0,97,35322,17000.0
545,0,0,2,0,0,124,22802,795.8
546,0,0,2,0,0,83,36317,401.5
548,0,0,0,0,0,101,121601,43.1
549,0,0,3,0,0,116,132758,15100.0
553,1,0,0,0,0,115,7248,260.5
561,0,0,0,0,0,94,543,34.3
568,0,0,7,0,0,144,74313,6421.7
570,1,0,4,0,0,91,3136,7439.7
581,0,1,2,0,0,105,143463,21300.0
585,0,0,8,0,0,90,1138,4.5
587,1,2,2,0,0,110,15031,534.6
590,0,0,7,0,0,106,229970,5220.3
594,0,0,2,0,0,158,299052,147700.0
605,1,0,3,0,1,135,34600,10600.0
607,0,0,0,0,0,74,15309,1254.7
620,0,2,4,0,0,80,1844,266.0
626,0,2,3,0,0,120,143,53900.0
629,1,0,0,1,0,90,104643,17300.0
633,0,2,3,1,0,109,44650,4199.6
636,1,1,4,0,0,95,132089,44600.0
638,1,2,3,0,0,107,11076,438.4
639,1,2,0,0,0,102,13841,4400.6
648,0,0,4,1,0,100,4815,78.6
650,0,0,0,0,0,79,6090,741.1
661,1,2,2,0,0,125,3525,401.3
665,1,0,2,0,0,163,34306,7695.9
676,0,0,2,1,0,112,55455,133300.0
680,0,0,0,0,0,94,3887,82.5
685,0,0,2,0,0,88,249,1.9
688,1,0,2,0,0,128,10294,3632.4
692,0,0,2,0,1,105,780,32.2
693,0,0,2,0,0,95,1606,10.3
695,0,1,7,0,0,131,168,70200.0
707,0,0,2,0,0,90,2552,14.2
708,0,2,2,0,0,109,3479,75.6
723,0,1,2,0,0,116,5548,7513.9
726,0,0,2,0,0,90,1751,5.1
734,0,1,2,0,0,100,14489,6489.9
742,0,0,2,0,0,114,14605,1803.1
744,1,0,3,1,0,114,58,9779.3
745,1,0,0,0,0,100,3404,23.9
747,0,2,0,0,0,90,0,1.4
752,0,0,7,0,0,103,8756,19200.0
759,0,0,2,0,0,97,2586,18.6
765,1,2,2,0,0,103,32460,1209.7
780,0,0,2,0,0,123,247997,42900.0
789,0,0,2,0,0,104,637,41.9
794,1,0,3,1,0,98,11977,8262.1
810,0,0,2,0,0,111,47570,35500.0
817,0,1,0,0,0,87,1431,2.0
837,0,1,0,0,0,75,31783,7280.7
839,1,0,3,0,0,143,250996,201300.0
843,0,1,2,0,0,96,818,16.4
852,0,2,7,0,0,109,13,0.142
853,0,2,4,0,0,102,124183,12500.0
859,0,2,3,0,0,147,176373,8575.5
860,0,2,2,0,0,90,4,0.2723
868,1,0,3,1,0,113,49931,10600.0
875,0,1,0,0,1,100,516,191.3
881,0,0,0,0,0,80,1462,1847.6
883,1,1,2,0,0,119,9868,1716.8
884,0,0,6,0,0,84,1390,18.5
893,0,1,2,0,0,93,0,4.1
900,0,0,7,0,1,95,1719,619.1
907,0,0,0,0,0,84,1536,522.6
911,0,0,2,0,0,108,2095,9.1
918,0,1,3,0,0,94,277346,18100.0
922,0,0,0,0,0,90,1552,2178.7
926,1,0,2,0,0,127,5732,903.8
932,0,0,2,0,0,90,574,20.3
936,0,0,2,0,0,88,36761,494.5
942,0,0,0,0,0,89,1951,516.6
955,0,2,0,0,0,86,390,0.0721
956,1,0,4,0,0,98,122,8986.0
959,1,0,3,1,0,130,1741,9715.4
967,1,2,3,0,0,104,30140,1686.0
969,0,1,2,0,0,110,13977,117.5
973,1,0,2,0,0,130,40833,47800.0
979,0,0,0,0,0,86,7761,97.2
980,0,0,3,0,0,90,9971,1625.7
982,1,1,3,0,0,128,621367,169500.0
984,0,2,8,0,0,95,853008,62800.0
987,0,1,2,0,0,105,196302,27500.0
989,0,2,2,0,0,118,36757,1692.4
993,1,0,3,0,1,124,1,8250.0
999,1,0,3,0,0,92,3446,85.1
1002,0,1,2,0,0,92,163,2.9
1014,0,2,2,0,0,87,2212,28.3
1015,0,2,2,0,1,136,163381,142200.0
1027,0,0,0,0,0,107,86387,6732.8
1043,0,2,2,0,0,124,311950,22400.000000000004
1058,1,2,2,0,0,105,16694,10100.0
1062,0,0,2,0,0,91,2548,19.9
1063,0,2,8,0,0,93,6227,976.7
1065,0,0,2,0,0,115,630,9.2
1078,1,1,3,1,0,127,502087,141700.0
1079,1,0,2,0,0,132,8574,1796.2
1089,0,0,0,0,0,81,7407,644.4
1091,0,0,0,0,0,91,2158,1.1
1093,0,0,2,0,0,105,2998,176.9
1095,0,2,4,0,0,87,43,20299.999999999996
1113,1,0,2,0,0,102,875,26.2
1118,1,0,0,1,0,120,118442,10700.0
1120,1,1,8,0,0,120,7764,815.0
1122,0,0,7,0,0,116,408113,5630.9
1131,0,0,2,0,0,124,77325,6499.8
1134,1,0,2,0,0,98,11799,175.1
1141,1,0,3,0,1,146,7275,17100.0
1144,1,1,3,0,0,93,147973,9132.2
1146,1,2,2,0,0,111,2457,330.8
1147,0,0,3,1,0,134,20294,75400.0
1148,0,0,0,0,0,102,905,35.9
1153,1,1,0,0,0,89,13,14.5
1154,1,0,3,0,0,97,86374,11399.999999999998
1163,0,2,0,0,0,117,16022,10800.0
1164,0,0,0,0,0,85,3090,507.3
1168,0,2,7,0,0,90,6983,502.4
1172,0,1,3,0,0,87,514,21.5
1176,0,2,2,1,0,107,40581,13100.0
1177,0,0,3,0,0,85,1023,69.9
1183,0,1,2,0,0,90,3428,133.4
1197,0,2,2,0,0,92,102,5.0
1202,0,1,4,0,0,91,179,7489.8
1214,0,2,4,1,0,99,49370,4509.8
1221,1,0,2,0,0,100,14703,3434.9
1224,0,0,2,0,0,125,321,5578.3
1225,0,0,0,0,0,90,39948,3814.7
1244,0,0,2,1,0,99,1523,9.1
1245,0,1,0,0,0,83,19452,5625.3
1247,0,0,4,0,0,88,2036,29.6
1250,1,1,4,1,0,107,2,5152.0
1260,0,0,2,0,0,104,455,904.0
1262,0,0,0,0,0,88,341,113.5
1266,1,1,3,1,0,144,559919,80000.0
1267,0,2,2,1,0,90,1477,636.8
1271,0,1,2,0,0,103,402518,13000.0
1280,0,0,2,0,0,98,11771,902.2
1283,0,0,2,0,0,106,1017,121.5
1285,0,1,2,1,1,119,58479,16700.0
1286,0,0,2,1,0,90,2517,32.6
1299,1,2,3,0,0,105,41731,9586.0
1309,0,0,4,0,0,102,9601,363.1
1314,0,0,2,0,0,111,149219,6912.8
1331,1,0,2,0,0,108,52846,19700.0
1342,0,1,4,0,0,93,1157,1.6
1348,0,0,0,0,0,105,217494,24200.0
1349,0,1,0,1,1,100,386945,8065.9
1355,0,0,2,0,0,89,1845,4.1
1368,1,1,0,0,0,96,31351,8875.4
1371,0,1,4,0,0,93,478,1009.5
1372,0,0,9,0,0,106,18094,8.5
1375,1,1,2,0,0,119,25040,6908.0
1376,1,0,3,0,0,138,252328,242300.0
1384,0,1,4,0,0,100,4994,94.6
1387,0,0,4,0,0,101,132123,90299.99999999999
1399,0,0,0,0,0,85,3666,4691.3
1400,0,0,7,0,0,90,1930,28.8
1403,1,0,2,1,1,131,130981,8143.6
1407,0,1,0,0,0,87,382,3.3
1408,0,0,2,0,0,0,11,25.2
1419,1,2,3,0,0,127,19527,5053.0
1423,0,1,8,1,0,103,137664,30900.0
1426,0,0,4,0,0,90,1430,711.8
1429,0,0,2,0,0,104,31081,633.1
1432,0,0,2,0,0,92,277,0.5652
1443,0,1,7,0,0,94,66127,1446.7
1448,1,0,3,0,0,113,19039,15000.0
1450,1,1,0,0,0,93,51,2825.7
1457,1,1,0,0,0,90,20544,990.0
1461,0,0,3,1,0,175,250471,16300.0
1466,1,0,0,0,0,82,3368,360.4
1470,1,0,0,1,0,107,8329,532.0
1471,1,1,2,0,0,136,17882,818.1
1491,0,1,2,0,0,90,163,29.4
1499,0,1,0,0,0,86,22443,2057.8
1500,0,2,0,0,0,95,32733,2430.4
1504,0,0,2,0,0,80,535,1.2
1527,0,1,2,0,0,117,176656,42699.99999999999
1531,0,1,0,0,0,124,639197,91300.00000000001
1538,0,1,0,0,0,100,27604,535.5
1552,0,0,0,0,0,94,363,29.6
1560,1,0,3,0,0,88,18399,1421.7
1566,0,0,0,1,0,108,222207,5655.9
1570,1,0,2,1,0,130,17760,41100.00000000001
1572,0,0,0,0,0,90,7534,1186.5
1573,0,0,4,1,0,109,109868,12900.0
1575,0,0,8,0,0,112,88618,40500.0
1576,0,2,4,0,0,90,12299,4019.8
1583,0,1,0,0,0,121,13153,2076.4
1593,0,2,3,0,0,108,89920,174800.0
1602,0,2,4,0,0,100,244850,46200.0
1605,1,0,6,0,0,102,4925,140.9
1612,0,0,4,0,0,92,37157,3792.5
1621,0,1,2,0,0,110,307,4.8
1626,0,0,0,0,0,90,180,13.4
1631,0,0,7,1,0,84,1323,22.1
1634,0,1,2,0,0,91,2174,2712.6
1646,0,1,8,0,1,108,122324,2925.2
1648,0,0,2,0,0,100,27,7047.9
1654,1,0,4,0,0,111,66424,2842.9
1667,0,0,2,0,0,82,270,162.8
1671,0,0,0,0,0,88,1009,15.5
1679,1,0,3,1,0,136,154543,68600.0
1685,0,1,2,0,0,100,3296,156.7
1694,0,1,2,0,0,98,22080,124.8
1705,0,0,2,0,0,124,179782,28600.0
1706,0,1,2,0,0,90,54,17.9
1713,1,0,2,0,0,130,6226,2108.8
1718,0,2,0,0,0,86,4732,6760.8
1736,0,1,0,0,0,98,3255,18.2
1741,0,0,4,0,0,105,9073,1277.7
1764,0,0,0,0,0,95,903,171.2
1765,0,1,2,0,0,92,3680,76.4
1782,0,0,0,0,0,92,1239,74.9
1789,0,0,2,0,0,99,1737,73.7
1790,1,0,9,1,0,141,321146,146100.0
1812,0,1,0,0,0,88,5,1300.0
1815,0,0,2,0,0,99,71469,11100.000000000002
1821,0,1,7,0,0,102,77936,1652.9
1824,1,1,0,0,0,94,8182,1858.8
1848,0,1,4,0,0,110,5105,248.3
1849,0,1,0,0,0,79,3802,30.4
1856,0,0,2,0,0,105,77689,35700.0
1857,0,0,2,0,0,96,3016,41.1
1860,0,0,0,0,0,90,1415,41.4
1866,0,2,0,0,0,105,17876,130.8
1877,1,1,0,0,0,104,3947,253.5
1889,0,1,0,0,0,80,4759,245.2
1904,0,0,0,0,0,98,11014,422.1
1906,0,0,0,0,0,85,13077,152.4
1909,0,1,2,0,0,88,256,0.0256
1915,0,0,2,0,0,117,0,3.7
1920,0,0,2,0,0,105,14951,474.6
1923,0,2,2,0,0,92,278,2.5
1924,0,0,4,0,0,114,138825,25099.999999999996
1930,0,0,2,0,0,95,65170,36900.0
1940,0,1,1,0,0,90,10661,68.8
1941,0,0,2,0,1,145,3826,37100.0
1947,0,2,0,0,0,90,8335,558.6
1952,0,2,2,0,0,119,246956,76200.0
1961,0,0,2,0,0,131,56010,6622.7
1965,0,0,4,0,0,82,1632,1132.5
1973,1,0,3,0,0,106,18,14200.0
1982,0,1,0,0,0,99,9496,46.7
1990,0,0,2,0,1,95,93777,18600.0
1996,0,1,2,0,0,113,47377,633.0
1997,0,2,4,0,0,93,1379,5826.8
2002,0,0,7,0,0,96,482,9.5
2003,0,0,6,0,0,122,4299,23500.0
2008,0,1,2,0,0,90,539,158.2
2009,0,0,4,0,0,91,13784,2750.5
2028,0,1,7,0,0,110,2116,137.3
2032,0,0,0,0,0,120,3650,790.8
2034,0,2,2,0,0,95,3039,24.3
2036,0,0,5,0,0,80,66270,3542.3
2040,1,2,4,0,0,87,9336,1727.6
2042,1,0,2,1,0,110,33615,16400.0
2045,0,2,0,0,0,79,21224,1002.5
2047,0,2,0,0,0,102,11328,4674.8
2049,0,1,3,0,0,78,7405,176.8
2052,1,0,7,1,0,90,122693,7866.5
2053,0,0,4,0,0,112,36026,21900.0
2060,0,0,2,0,0,104,29943,3682.3
2066,0,0,0,0,0,139,20655,12400.0
2070,0,0,3,0,0,110,236121,76900.0
2078,0,0,2,0,0,99,29,293.7
2080,0,0,8,0,0,94,103406,10000.0
2083,0,1,0,0,0,90,13072,240.8
2084,1,0,2,0,0,137,7784,1411.8
2086,0,2,0,0,0,90,2250,84.6
2096,0,1,2,0,0,86,420,62.8
2098,0,0,4,0,0,102,4168,775.0
2099,0,0,0,0,0,111,29675,695.2
2111,0,0,0,0,0,90,10456,3318.1
2120,0,1,0,0,0,96,3232,32.0
2129,0,1,3,0,0,154,63692,2392.1
2130,0,0,6,0,0,88,40149,7720.2
2132,0,2,2,0,0,110,5780,52.4
2137,0,0,0,0,0,90,7426,393.2
2155,0,1,2,0,0,88,157,46.2
2156,0,0,0,0,0,124,1155183,66000.0
2161,0,0,7,0,0,88,7,1123.4
2167,0,1,7,0,0,109,811385,53499.99999999999
2179,1,0,4,0,0,98,11241,39400.0
2191,0,0,2,0,0,97,167,2.6
2196,0,1,4,0,0,89,5741,81.5
2199,0,0,2,0,0,89,43,3.0
2202,0,0,7,0,0,90,1570,6.6
2205,0,1,4,0,0,87,291,18.2
2211,1,0,2,0,0,97,8913,7009.4
2221,0,0,2,0,0,113,20194,2614.3
2222,1,1,2,0,0,150,0,42.4
2226,0,0,4,0,0,98,85867,2486.2
2229,0,0,0,0,0,86,13454,1340.0
2236,0,2,2,0,0,143,7307,1913.8
2240,0,0,2,0,0,100,1819,83.6
2242,0,0,2,0,0,91,5514,140.6
2243,0,1,3,0,0,126,13,8120.0
2249,1,0,4,1,0,87,43448,11100.000000000002
2250,0,0,2,0,0,87,753,28.2
2254,0,0,2,0,0,96,3114,98.3
2255,1,1,0,1,0,91,128978,679.1
2259,0,0,3,0,0,96,448,18.4
2262,0,0,2,0,0,102,506,1.7
2269,0,1,3,0,0,90,543,0.3097
2270,1,0,0,0,0,90,16,1.2
2276,1,0,3,0,1,127,27058,5707.2
2287,0,0,0,0,0,83,26561,874.0
2289,0,0,0,0,0,88,77152,13800.0
2290,0,1,0,0,0,80,12726,6651.6
2295,0,2,4,0,0,105,1406,30.9
2302,0,1,0,1,0,92,19752,3954.0
2306,0,2,2,0,0,118,6563,1236.9
2315,0,2,4,0,0,90,3275,245.6
2318,1,2,4,1,0,98,18701,32300.0
2322,0,0,7,1,0,99,23706,529.9
2327,0,0,0,0,0,89,13300,719.9
2328,0,1,3,0,0,128,621611,65500.0
2330,0,2,2,0,0,105,5681,374.7
2348,1,0,0,0,0,102,357,14.8
2356,1,2,2,1,0,120,56296,3168.4
2361,0,1,2,0,0,91,532,38.0
2369,0,0,2,0,0,110,2294,72.7
2371,0,0,2,1,0,114,4041,1272.0
2376,0,2,3,1,0,138,13,21300.0
2377,1,0,2,0,0,121,14459,1941.3
2381,0,1,0,1,0,97,33118,1608.4
2387,0,2,2,0,0,96,7388,313.6
2398,0,1,7,0,0,101,31581,632.9
2400,0,0,2,0,0,123,7382,322.7
2401,1,1,3,1,0,114,97656,61200.0
2407,1,1,6,0,0,99,355,21600.0
2409,0,1,4,0,0,115,12242,5402.6
2415,0,0,8,0,0,98,10,5.7
2422,0,0,0,0,0,92,17409,1575.3
2429,0,0,3,0,1,114,15,29100.0
2430,0,0,2,0,0,100,18058,501.1
2435,0,2,4,0,0,83,2925,1007.9
2437,0,0,0,0,0,85,2888,31.1
2441,0,0,2,0,0,90,888,69.1
2451,0,0,0,0,0,82,5465,370.3
2458,0,1,4,0,0,92,15448,1759.9
2459,0,0,2,0,0,135,514537,83600.0
2464,0,1,2,0,0,100,55449,4706.8
2468,0,2,4,0,0,95,252307,32200.0
2469,0,0,2,0,0,108,703,160.7
2472,0,2,4,0,0,97,3271,34.0
2475,0,1,0,0,0,91,7,1.0
2479,0,0,0,0,0,103,13304,164.5
2482,1,0,2,0,0,103,3042,940.2
2499,0,2,3,0,0,90,6605,835.4
2506,0,1,2,0,0,90,121,2.9
2532,0,0,3,0,0,94,13,3.6
2554,1,1,3,1,0,115,65386,62800.0
2555,0,2,0,0,0,90,0,2.9
2556,0,2,2,0,0,97,189,22.9
2559,0,0,2,0,0,99,187403,27100.0
2560,0,1,2,0,0,93,600,6.1
2580,0,0,9,0,0,114,2556,76.5
2581,0,1,4,1,0,102,14583,7086.7
2582,0,2,6,0,0,88,1267,17.7
2602,0,2,4,0,0,81,66960,12500.0
2606,1,0,1,0,0,156,125627,37600.0
2607,1,2,5,0,0,161,7,5222.0
2610,0,0,2,0,1,128,280795,66400.0
2615,1,0,4,0,0,96,45125,35300.0
2618,0,2,2,0,0,140,76069,51300.0
2621,0,0,3,0,0,93,37428,654.3
2636,0,0,5,0,0,92,10854,3822.3
2638,1,2,3,0,0,152,103435,26700.0
2639,0,2,2,0,0,94,200,6.0
2642,1,0,3,0,0,149,7118,8146.6
2645,0,0,0,0,0,85,33359,2133.9
2660,1,1,0,0,0,99,24792,88.8
2662,0,0,2,0,0,100,37001,15500.0
2665,0,1,8,0,0,130,1139726,384799.99999999994
2674,0,0,2,0,1,90,407,0.9631
2676,0,2,2,0,0,92,5456,1553.7
2677,1,1,7,0,0,109,64263,10800.0
2683,0,2,2,0,0,124,638347,93600.0
2684,0,1,7,0,0,100,228631,15300.0
2688,0,0,0,0,0,85,6485,1500.1
2689,0,2,0,0,0,91,2015,77.2
2705,0,1,5,0,0,136,190471,22300.0
2706,0,0,4,0,0,99,30889,723.0
2720,0,0,3,0,0,135,2310,7.5
2728,1,0,3,0,0,108,17234,2950.9
2729,0,1,6,0,0,93,11157,91.3
2735,0,1,3,1,0,108,109761,23700.0
2738,0,2,3,0,0,116,6,17500.0
2739,0,0,6,0,0,81,1401,1.0
2740,1,2,3,1,0,136,17,1700.1
2745,0,1,0,1,0,89,3134,4771.1
2748,1,1,3,0,0,109,32,2832.0
2750,0,0,4,0,0,82,6954,1121.0
2752,0,0,2,0,0,121,34057,1455.1
2754,1,2,2,0,0,137,3478,16900.0
2756,0,0,0,0,0,83,53344,7932.2
2767,1,0,3,0,0,119,39671,7594.7
2772,0,2,4,0,0,98,382360,172800.0
2773,0,1,4,0,1,109,40914,4478.8
2775,0,0,0,0,0,91,630,0.9621
2783,1,1,3,0,0,113,410197,105299.99999999999
2785,0,0,2,0,0,137,145017,11299.999999999998
2788,0,0,2,0,0,96,10651,1123.2
2798,1,0,4,1,0,129,26000,48300.0
2803,1,0,0,0,1,124,13311,452.2
2811,0,0,0,0,0,85,64107,5404.6
2814,0,2,2,0,0,107,3460,864.2
2815,0,0,0,0,0,123,196962,92600.0
2822,1,2,7,1,0,116,56852,10700.0
2827,1,0,2,0,0,119,66630,5222.5
2835,0,1,4,1,0,94,9501,817.0
2840,0,0,0,0,0,85,14030,216.2
2841,0,0,3,0,0,93,416,4.4
2842,0,1,6,0,0,74,4749,289.8
2854,0,0,0,0,0,82,2198,1942.3
2858,0,1,0,0,0,87,31020,816.8
2866,1,2,0,0,0,116,19975,5978.7
2867,1,2,3,0,0,119,101214,49100.0
2877,0,1,0,0,0,145,6,32100.0
2878,0,2,0,0,0,91,877,1912.1
2889,0,1,0,0,0,76,2685,13.9
2890,0,0,2,0,0,92,402,7.5
2895,1,1,2,1,1,165,1611,33800.0
2896,1,1,3,1,0,169,523,12600.0
2898,0,1,2,0,0,94,1798,1.0
2901,0,1,2,0,0,90,2267,445.3
2909,0,0,0,0,0,90,9782,218.1
2921,0,0,2,0,0,95,79,2458.4
2927,0,1,0,0,0,101,184885,52200.0
2932,1,0,3,1,0,110,4079,0.424
2936,0,1,2,0,0,92,27997,2788.7
2942,0,0,2,0,0,93,2255,58.2
2945,1,2,4,0,0,106,15741,17200.0
2950,0,0,2,0,0,92,4004,4428.0
2956,1,0,0,1,0,109,11,2684.1
2957,0,1,0,0,0,87,3234,101.5
2958,0,2,7,0,0,95,366086,11000.000000000002
2960,0,0,0,0,0,97,2556,411.7
2964,0,0,2,0,1,111,11930,29100.0
2965,0,1,2,0,0,98,7921,2655.1
2969,0,0,0,0,0,90,76137,3161.4
2978,0,0,3,0,0,130,125425,127300.0
2982,0,2,7,0,0,109,68970,6442.2
2986,1,0,2,1,1,201,55666,12000.0
2987,0,0,4,0,0,93,2895,75.7
3004,0,0,2,1,0,111,11879,1361.1
3006,0,0,0,0,0,80,652,233.5
3011,0,0,6,0,0,106,21942,2644.0
3014,1,0,9,0,0,139,18601,15300.0
3022,1,0,4,0,0,120,25961,1853.6
3023,0,1,2,0,0,121,86332,13600.0
3026,0,2,2,0,0,115,22593,45.0
3027,0,2,0,0,0,90,2255,1042.4
3029,0,2,2,0,0,93,9053,38.4
3033,0,0,7,0,0,100,8658,151.2
3044,0,1,0,0,0,91,12788,402.9
3050,0,1,2,0,0,110,6263,669.6
3054,0,2,7,0,0,105,27701,502.9
3057,0,0,4,0,0,95,9672,2861.8
3068,0,2,2,0,0,101,250,147.8
3069,0,1,0,1,0,81,293,5.6
3072,0,1,0,0,0,89,12607,1023.5
3076,0,0,7,1,0,95,189635,6795.7
3083,0,2,2,0,0,92,4816,2447.7
3086,0,0,2,0,0,90,1143,40.8
3092,1,2,3,1,0,133,100271,47699.99999999999
3102,0,1,4,0,0,80,8547,316.1
3105,0,0,2,0,0,99,5349,195.7
3109,0,2,3,0,0,104,7831,186.3
3110,1,0,9,0,0,91,8743,43499.99999999999
3112,0,0,2,0,0,110,12084,10300.0
3114,0,0,4,0,0,120,463427,339700.0
3129,0,0,2,0,0,112,81681,11299.999999999998
3134,0,0,2,0,0,100,10660,788.4
3143,1,0,3,0,0,95,7288,11000.000000000002
3151,0,1,2,0,0,90,1345,28.6
3163,0,1,0,0,0,90,232,14.4
3173,0,0,2,0,0,98,256,100.2
3175,1,1,5,0,0,125,45620,1678.4
3181,0,2,4,0,1,118,16741,71300.0
3182,0,0,4,0,0,100,10852,85.4
3184,1,0,3,0,0,116,76047,16000.0
3187,0,1,9,0,0,64,437,445.1
3190,0,2,5,0,0,83,1574,6895.1
3196,0,0,2,0,0,107,3111,13200.0
3198,1,1,2,1,0,106,54894,13600.0
3202,0,1,2,0,0,101,1106,51.6
3224,1,2,2,0,0,97,45,79.5
3228,1,2,0,0,0,131,2924,569.7
3229,0,0,2,0,0,107,773,3.0
3233,0,0,0,0,0,93,591,17.4
3235,0,0,0,0,0,85,1690,5.8
3236,0,0,2,0,0,47,20,1.3
3238,0,0,2,0,0,97,755,5.1
3241,0,2,3,0,0,85,6778,5.2
3244,0,1,2,0,0,88,2171,20.6
3258,0,2,1,0,0,101,45585,1577.1
3262,1,0,2,0,0,146,52392,11200.000000000002
3264,0,0,2,0,0,115,1834,27.9
3266,0,1,0,0,0,78,5784,203.8
3276,0,1,5,0,0,81,10437,509.7
3278,1,1,0,0,0,86,27731,2356.4
3284,0,0,2,0,0,85,255640,8382.9
3293,1,0,4,1,0,89,94378,17200.0
3295,0,0,2,0,0,127,6102,57200.0
3296,0,1,0,0,0,148,397435,263400.0
3300,0,0,0,0,0,121,31689,5182.4
3301,1,0,2,0,0,124,2079,47.4
3314,0,0,0,0,0,87,30282,6098.1
3324,0,0,7,0,0,101,227754,2637.0
3333,0,1,2,0,0,97,65195,6410.2
3339,0,1,2,0,0,90,10174,550.9
3344,0,0,2,0,0,112,96194,40100.0
3349,0,1,2,0,0,106,265284,12100.0
3351,0,0,7,0,0,108,355457,16500.0
3355,1,0,0,0,0,95,1305,6.9
3365,0,0,7,0,0,98,19013,438.9
3369,0,1,3,0,1,165,113801,197600.00000000003
3370,0,0,4,0,0,93,1167,15.3
3376,0,1,2,0,0,106,17,1413.0
3392,0,2,2,0,0,104,181,12.2
3394,0,2,7,0,0,96,213,36.9
3414,1,1,3,0,0,125,159647,141800.0
3415,0,0,2,0,0,106,45,4.5
3418,0,0,4,1,0,118,11628,912.5
3424,0,2,0,0,0,81,3229,100.6
3428,0,0,2,0,0,103,1665,49.4
3440,0,2,2,0,0,96,13684,61.1
3442,0,0,0,0,0,80,16481,2696.4
3445,0,0,2,0,0,87,969,27.6
3452,0,2,3,0,1,96,11,25000.0
3457,0,0,5,0,0,99,11000,46.3
3481,0,0,2,0,0,120,12949,15600.0
3486,1,0,2,0,0,91,95871,208.6
3488,0,0,2,0,0,97,593,22.5
3494,0,0,2,0,0,90,1308,1246.0
3498,1,1,2,0,0,108,25842,1388.1
3499,0,1,0,0,0,110,4140,659.3
3500,0,0,0,0,0,80,40557,645.0
3506,0,0,2,0,0,114,171495,43800.0
3516,0,1,4,0,0,98,25088,1354.2
3525,0,0,2,0,0,97,862,104.4
3537,1,0,1,0,0,130,35428,11800.0
