内容,主题概率,主题类型
朋友 介绍 值得 东西 真的 划算,"[(0, 0.050202046), (1, 0.8978208), (2, 0.051977202)]",1
生意兴隆 她家 宝贝 品牌 相比 支持 不错,"[(0, 0.3295792), (1, 0.6200561), (2, 0.05036469)]",1
宝贝 很快 商品 质量 不错 质量,"[(0, 0.05325051), (1, 0.89133394), (2, 0.055415597)]",1
喜欢 店主 推荐 实惠 真的 逛商场 时间,"[(0, 0.050585467), (1, 0.8948462), (2, 0.05456834)]",1
周到 谢谢 亲爱 店家 了有 不错 东西,"[(0, 0.044051982), (1, 0.5021679), (2, 0.45378008)]",1
物所值 包装 用心 快递 宝贝 真的,"[(0, 0.05018335), (1, 0.89170814), (2, 0.058108542)]",1
严实 物流 公司 服务态度 宝贝 一万个,"[(0, 0.8777208), (1, 0.0708451), (2, 0.051434122)]",0
愉快 购物 行物 所值 快递 很快 店家 不错 质量,"[(0, 0.036202878), (1, 0.92449284), (2, 0.039304312)]",1
包装 仔细 值得 购买 喜欢 回来,"[(0, 0.071537115), (1, 0.8754496), (2, 0.053013306)]",1
喜欢 想要 那种 谢谢 开心 购物 特别 商家,"[(0, 0.040030617), (1, 0.91712683), (2, 0.042842608)]",1
价位 算是 物有所值 网购 喜欢 喜欢,"[(0, 0.051237382), (1, 0.07920549), (2, 0.8695571)]",2
价格 真的 物美价廉 支持 购物,"[(0, 0.06600423), (1, 0.86087507), (2, 0.07312073)]",1
太值 值得 客服 服务态度,"[(0, 0.07629424), (1, 0.5150217), (2, 0.40868407)]",1
价位 算是 物有所值 网购 朋友 宝贝 很棒,"[(0, 0.046472877), (1, 0.42245033), (2, 0.5310768)]",2
值得 信任 喜欢,"[(0, 0.09086098), (1, 0.097896025), (2, 0.811243)]",2
值得 推荐 没想到 便宜 着么 不错 喜欢,"[(0, 0.0457786), (1, 0.90653706), (2, 0.047684375)]",1
发货 速度 挺快 卖家 描述 完全一致 实惠,"[(0, 0.06609047), (1, 0.886729), (2, 0.047180533)]",1
下次 推荐 朋友 介绍 朋友 来能 质量 不错,"[(0, 0.04835602), (1, 0.91024125), (2, 0.04140273)]",1
喜欢 亲们 下手 总体 价位 买值,"[(0, 0.05335028), (1, 0.06677907), (2, 0.87987065)]",2
她家 宝贝 品牌 相比 性价比 收到,"[(0, 0.33074448), (1, 0.6084814), (2, 0.060774125)]",1
一分 朋友 介绍 光顾 贵店,"[(0, 0.05961967), (1, 0.62205344), (2, 0.31832686)]",1
物流 很快 几天 店家 客服 服务 速度 很快 尺码 上后 合适 床上 那种 纯白 感觉 两件 感觉,"[(0, 0.17160392), (1, 0.8059502), (2, 0.022445897)]",1
好吃 可口 孩子 脏斑 材质 做工 超出 预期 超值 好看 卖家 发货 预计 提早 后悔 五分,"[(0, 0.7140174), (1, 0.02164185), (2, 0.26434082)]",0
这件 衣服 太棒了 舒适 合身 时尚 感觉 自信 面料 质地 极好 细腻 柔软 非常适合 皮肤 接触 颜色 很漂亮 搭配 完美 强烈推荐 这件 衣服,"[(0, 0.90539175), (1, 0.07730076), (2, 0.01730755)]",0
面料 类型 没加 一款 杠杠 衣服 品质 没得说 面料 质感 面料 质感 手感 好看,"[(0, 0.9405258), (1, 0.02680282), (2, 0.032671314)]",0
很漂亮 做工 精细 很漂亮 尺码 合适 料子 推荐 购买 面料 类型 合适 身高体重 复合 尺码,"[(0, 0.95254815), (1, 0.024483789), (2, 0.022968013)]",0
尺码 大小 身上 大小 刚刚 面料 质感 透气性 试穿 效果 身高体重 身高 体重,"[(0, 0.94951177), (1, 0.02492025), (2, 0.025567938)]",0
宝贝 收到 真的 很棒 质量 没话说 满意 开心 开心 东西 满意哦 美观 时尚 大气 客服 超级 耐心 服务 细致 贴心 品牌,"[(0, 0.01654275), (1, 0.87415683), (2, 0.1093004)]",1
购物 体验 总体 衣服 合身 舒适 面料 感觉 不错 真材实料 喜欢 这件 衣服,"[(0, 0.9324461), (1, 0.031814333), (2, 0.035739563)]",0
购物 一种 享受 每次 找到 商品 价格 实惠 购买 商品 包装 严密 细节 体现 商家 专业 用心 满意,"[(0, 0.01925732), (1, 0.2191976), (2, 0.76154506)]",2
真心 推荐 购买 第二件 真的 质量 特别 价格便宜 质量 起球 掉色 手感 特别 回购 真的 好几件,"[(0, 0.19383566), (1, 0.7822124), (2, 0.023951948)]",1
这款 衣服 满意 无论是 舒适度 款式 质量 性价比 无懈可击 推荐 购买 衣服 喜欢,"[(0, 0.9261751), (1, 0.032345306), (2, 0.041479632)]",0
款式 很大 质量 价钱 宝贝 收到 惊喜 质量 满意 购物 我会 回购 店家 值得 信赖 质量 实体店 颜色 喜欢,"[(0, 0.018681986), (1, 0.96211964), (2, 0.019198319)]",1
真的 包装 精美 宝贝 做工 精细 商家 特别 及时处理 确实 满意 网购 再来,"[(0, 0.025025373), (1, 0.94995505), (2, 0.02501958)]",1
满意 材质 做工 手感 很棒 实用性 物美价廉 物流 值得 回购,"[(0, 0.7145), (1, 0.25010106), (2, 0.03539895)]",0
这款 衣服 满意 无论是 舒适度 款式 质量 性价比 无懈可击 推荐 购买 衣服 喜欢,"[(0, 0.9262712), (1, 0.032361444), (2, 0.041367367)]",0
满意 购物 商家 服务 发货 神速 物流 宝贝 收到 喜欢 放心 安心 实物 描述 质量 卖家 态度 有问必答 发货 速度 杠杠 值得 购买 品质 不错 性价比 高的 商品 喜欢 下手 犹豫,"[(0, 0.011472611), (1, 0.97545964), (2, 0.013067734)]",1
宝贝 收到 真的 很棒 质量 没话说 满意 开心 开心 真的 材料 做工 特别 精致 做工 真的 觉着 推荐 朋友,"[(0, 0.018306457), (1, 0.8851552), (2, 0.09653832)]",1
质量 卖家 描述 完全一致 满意 真的 喜欢 超出 期望值 发货 速度 包装 仔细 严实 物流 公司 服务态度 满意 购物 希望 更多 朋友 信赖,"[(0, 0.69118524), (1, 0.293314), (2, 0.015500775)]",0
材质 做工 超出 预期 超值 好看 卖家 发货 预计 提早 后悔 五分,"[(0, 0.9449123), (1, 0.028210685), (2, 0.026877003)]",0
衣服 收到 孩子 很久 性价比 穿着 合适 孩子 喜欢 颜色 喜欢,"[(0, 0.35566792), (1, 0.03323913), (2, 0.6110929)]",2
身高体重 尺码 大小 一点点 面料 类型 柔软 舒服 面料 质感 光滑 起球 透气性 透气性 试穿 效果,"[(0, 0.95862365), (1, 0.02039729), (2, 0.020979084)]",0
感觉 很好 很好 建议 购买 特别 喜欢 大小 合适 大小 刚刚 感觉 建议,"[(0, 0.41044003), (1, 0.5635661), (2, 0.025993897)]",1
店主 服务态度 耐心 质量 超乎 想象 物有所值 过后 评价 真得 值得 推广 希贵店 推出 更多 新品种 优惠 谢谢,"[(0, 0.019641407), (1, 0.42907763), (2, 0.5512809)]",2
真的 超级 喜欢 支持 质量 卖家 描述 满息 真的 喜欢 超出 期望值 发货 速度 包装 仔细 严实 客服 小姐姐 服务态度 运送 速度 很快 满意 购物,"[(0, 0.43909284), (1, 0.54687726), (2, 0.014029867)]",1
发货 很快 收到 商品 描述 质量 关键 价格 合适 放心 好评,"[(0, 0.03882299), (1, 0.9291215), (2, 0.03205556)]",1
喜欢 款式 不错 推荐 购买 喜欢 宝贝 真的 好看 做工 颜值 超高 真的 好看 尺码 合适 好看 好看 好看 近期 满意 购物 快递,"[(0, 0.01851482), (1, 0.96590996), (2, 0.015575232)]",1
面料 舒服 大小 合适 好评 五星 好评 东西 不错 优惠 放心 省钱 购买 犹豫 产品包装 精致 美观 大气 不错 真实 评价 希望 集美 大小 合适 做工 精良 出口 品质 满意 喜欢 下次,"[(0, 0.01610086), (1, 0.97239685), (2, 0.011502255)]",1
收到 身高 体重 见意 面料 质感 商家 服务态度 物流 强力 推荐 购买,"[(0, 0.9308386), (1, 0.039253164), (2, 0.029908283)]",0
尺码 大小 尺码 合适 市面上 标的 尺码 面料 质感 舒服 毛绒绒 保暖 试穿 效果 穿着 看着 不错,"[(0, 0.9610639), (1, 0.019359605), (2, 0.01957643)]",0
休闲 衬衫 质量 面料 舒适 透气 做工 精细 细节 到位 尺码 标准 穿着 舒适 颜色 很正 网站 展示 图片 相符,"[(0, 0.8002728), (1, 0.1822026), (2, 0.017524567)]",0
特别 惊喜 穿着 帅气 质感 做工 挺不错 迫不及待 试穿 特别 搭有 颜色 很正 做工 细致 瑕疵 穿着 暖和 厚实 特别 质量 价格,"[(0, 0.017042328), (1, 0.27941814), (2, 0.7035395)]",2
身高体重 面料 类型 面料 质感 面料 舒服 柔软 冬天 暖和 试穿 效果 稍微 一码 冬天 保暖 内衣 北方 天气 白色 完美,"[(0, 0.9671613), (1, 0.01584774), (2, 0.016990943)]",0
面料 类型 面料 细腻 顺滑 舒适 效果 值得 种草 感觉 轻轻松松 保暖 面料 舒适 感觉 透气性 透气性 一点 不闷 试穿 效果 试穿 颜色 合适 面料 质感 面料 质感 总体 不错,"[(0, 0.9756954), (1, 0.012005322), (2, 0.012299278)]",0
粉色 特别 款式 好看 不错 金豆 评价 喜欢 特别 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看 好看,"[(0, 0.012389376), (1, 0.9763516), (2, 0.0112590045)]",1
身高体重 尺码 大小 面料 类型 舒服 屋里 一件 面料 质感 不错,"[(0, 0.9404599), (1, 0.029778084), (2, 0.029761974)]",0
收到 拆开 质量 东西 官网 区别 很好 购物 体验 服务周到 物流 快速 配送 周到 态度 物有所值 果断 好评 描述 很显 高档 物美价廉 要买 朋友 下单,"[(0, 0.014441862), (1, 0.7512021), (2, 0.23435603)]",1
满意 这件 衣服 质量 设计 面料 舒适 身上 感觉 柔软 透气 设计 时尚 独特 一眼 尺码 准确 尺码 选择 合适 尺码 完全符合 身材 推荐 这件 衣服,"[(0, 0.76255965), (1, 0.015680779), (2, 0.22175959)]",0
价格 美丽 东西 不错 回购 五分 奈斯 奈斯 品质 一级 包装 不错 物流 很快 价格合理 实惠 喜欢,"[(0, 0.022316143), (1, 0.9568449), (2, 0.02083899)]",1
满意 购买 质量 面料 柔软 舒适 做工 精细 细节 到位 感到 自在 舒适 衣服 设计 时尚 颜色 搭配 和谐 精神 自信 日常生活 场合 穿着 实用 卖家 服务态度 回复 耐心 解答 疑问 感到 温暖 重视 购物 体验 满意 强烈推荐 机会 购买 产品,"[(1, 0.98133)]",1
儿子 一件 白色 卫衣 一款 喜欢 下单 买回来 开心 高中生 喜欢 款式 衣服 效果 不错 住校 明天 回来,"[(0, 0.9283687), (1, 0.051490545), (2, 0.020140773)]",0
产品 真的 物超所值 质量上乘 设计 精美 价格 性价比 满意 购物 强烈推荐,"[(0, 0.030539187), (1, 0.9353851), (2, 0.03407572)]",1
衣服 颜色 质量 做工 版型 不错 修身 款式 大方 时尚 面料 柔软 舒服 美美 满意 购物 值得 推荐 谢谢 老板 下次 喜欢 回购,"[(0, 0.36109275), (1, 0.62313366), (2, 0.015773611)]",1
卖家 描述 喜欢 发货 速度 包装 仔细 物流 公司 服务态度 运输 速度 满意 购物,"[(0, 0.78847504), (1, 0.030071966), (2, 0.18145305)]",0
终于 收到 喜欢 做工 精致 漂亮 真的 开心 他家 忠实 粉丝 买买,"[(0, 0.028109431), (1, 0.94532925), (2, 0.026561322)]",1
面料 舒服 大小 合适 好评 五星 好评 东西 不错 优惠 放心 省钱 购买 犹豫 产品包装 精致 美观 大气 不错 真实 评价 希望 集美 大小 合适 做工 精良 出口 品质 满意 喜欢 下次,"[(0, 0.01606685), (1, 0.9724309), (2, 0.011502303)]",1
掌柜 态度 专业 热情 有问必答 回复 很快 回答 掌柜 由衷 敬意 掌柜 可不 宝贝 收到 包装 完整 打开 惊喜 宝贝 想象 竖起 大拇指,"[(0, 0.5468586), (1, 0.43829617), (2, 0.014845252)]",0
真的 超级 喜欢 支持 质量 卖家 描述 完全一致 满意 真的 喜欢 超出 期望值 发货 速度 包装 仔细 严实 物流 公司 服务态度 运送 速度 很快 满意 购物,"[(0, 0.71533096), (1, 0.27101418), (2, 0.013654858)]",0
圆领 设计 简约 大方 适合 日常 搭配 柔软 舒适 面料 质地 适合 春秋季 穿着 展现 活力 清新 橘色 温暖 阳光 感觉 增添 亮点 打底 展现 时尚,"[(0, 0.26759532), (1, 0.6462791), (2, 0.08612562)]",1
孩子 挑选 卫衣 整体 不错 加绒 颜色 显白 青少年 孩子 喜欢 宽松 孩子 合适,"[(0, 0.6277442), (1, 0.024955783), (2, 0.34730002)]",0
产品 舒服 质地 柔软 透气性 穿着 舒适 设计 简洁 大方 颜色 搭配 时尚 一款 值得 购买 产品,"[(0, 0.6599025), (1, 0.3138416), (2, 0.026255812)]",0
贵店 衣服 舒服 经济 实惠,"[(0, 0.06220389), (1, 0.059344586), (2, 0.87845147)]",2
唯一 缺点 袖子 有个 口子,"[(0, 0.0568982), (1, 0.056416526), (2, 0.8866853)]",2
身高体重 宝妈 一枚 尺码 合适 尺码 刚刚 很棒 合身 实穿 感受 很丝 哈哈哈哈 柔软 柔软 款式 类型 短款 很棒 材质 类型 棉质 好像 掺杂 薄厚 程度,"[(0, 0.973893), (1, 0.012911559), (2, 0.013195492)]",0
白色 衣服 打折 一件 面料 身高体重 厘米 宽松 一点 实穿 感受 面料 确实 白色 很百,"[(0, 0.9503782), (1, 0.024304613), (2, 0.025317179)]",0
身高体重 尺码 合适 尺码 码数 合适 差别 实穿 感受 面料 柔软 舒适 细腻 光滑 穿着 透气 亲肤 舒适 款式 类型 款式 宽松 休闲 颜色 漂亮 材质 类型 面料 柔软光滑 细腻 薄厚 程度 厚度 适中,"[(0, 0.9796309), (1, 0.010626557)]",0
颜色 好看 宽松 穿着 随意,"[(0, 0.6317542), (1, 0.30683392), (2, 0.061411817)]",0
舒服 颜色 好看 喜欢,"[(0, 0.83588076), (1, 0.08302504), (2, 0.08109421)]",0
喜欢 露露 衣服 大小 合适 喜欢 颜色 价格便宜,"[(0, 0.9134612), (1, 0.04522569), (2, 0.04131316)]",0
颜色 温柔 洋气 版型 京东 平台 活动 价格 合适,"[(0, 0.5140179), (1, 0.039478652), (2, 0.4465035)]",0
好看 尺码 合适,"[(0, 0.82247585), (1, 0.091067545), (2, 0.08645659)]",0
犹豫 颜色 纯白色 干净 那种 上身 好看,"[(0, 0.27523297), (1, 0.67222726), (2, 0.052539736)]",1
这件 颜色 好看 灰调 蓝紫色 平台 优惠券 叠加 划算 手感 买大 宽松,"[(0, 0.029416092), (1, 0.028975802), (2, 0.94160813)]",2
材质 大小 特别 合适 喜欢 这件 衣服 比好 材质 那种 软软 白色 很正 气色 搭配 最新 沙漠 特别 漂亮,"[(0, 0.3770654), (1, 0.6040163), (2, 0.018918341)]",1
颜色 好看 显白 留下 哈哈哈 不错 合适,"[(0, 0.10997987), (1, 0.83334774), (2, 0.056672364)]",1
颜色 一套 实在,"[(0, 0.08947239), (1, 0.10989483), (2, 0.8006328)]",2
乍一看 第一眼 感觉 袖口 两处 三叶草 色彩 设计 真的 超帅 面料 舒服 穿着 透气 一件 卫衣,"[(0, 0.95316994), (1, 0.024274532), (2, 0.022555463)]",0
挺不错 一共 两件 尺码 合适 包装 想象 颜色 儿子 鸳鸯 设计 喜欢 阿迪达斯 品牌 不错,"[(0, 0.9437577), (1, 0.026075568), (2, 0.030166706)]",0
店家 服务态度 发货 很快 商品质量 不错 喜欢 谢谢 宝贝 质量 舒服 喜欢 谢谢 掌柜 兄弟 冲冲,"[(0, 0.02279616), (1, 0.95535356), (2, 0.021850288)]",1
店铺 购买 价格 划算 活动 卖家 服务态度 发货 速度 很快 包装 收到 打开 商品 完好无损 后期 购买 希望 卖家 优惠活动,"[(0, 0.017766304), (1, 0.9641683), (2, 0.018065372)]",1
质量 卖家 描述 完全一致 真的 喜欢 超出 期望值 发货 包装 仔细 严实 京东 物流 公司 服务态度 运送 速度 很快 满意 购物 质量 希望 更多 朋友 信赖 京东 客服 态度 我会 光顾 发货 态度 满意 很好 很好 下次 机会 客服 东东 不错 淘到 心意 宝贝 一件 开心,"[(0, 0.14145851), (1, 0.85084456)]",1
阿迪达斯 三叶草 品牌 信任 每次 买好 多件 尺码 全棉 手感 柔软 细腻 舒适 袖口 正好 个色 不错,"[(0, 0.678532), (1, 0.027370607), (2, 0.29409742)]",0
这款 卫衣 好看 同款 同款 含金量 懂得 耐穿 好看 黑色 主流 配色 配色 好看 系列,"[(0, 0.024648957), (1, 0.023267923), (2, 0.9520831)]",2
不错 包装 仔细 价格 公道 买买 特别 特别 货比三家 店主人 回答 耐心 详细 再来,"[(0, 0.023693798), (1, 0.95295113), (2, 0.023355046)]",1
东西 想象 完美 值得 入手 真的 很好 商品 满意 无限 回购 推荐 优惠 赶紧 入手 正品 包装 破损 质量 没得说,"[(0, 0.017883742), (1, 0.34945115), (2, 0.6326651)]",2
东西 收到 发货 很快 满意 真的 超级 店主 解答 疑问 不厌其烦 细致 关键 东西 货物 发得 超快 包装 仔细 值得 信赖,"[(0, 0.016340729), (1, 0.9675062), (2, 0.016153071)]",1
东西 质量 卖家 描述 完全一致 满意 东西 质量 卖家 描述 完全一致 满意 东西 质量 卖家 描述 完全一致 满意 价格 适中 质量 看着 不错 东西 质量 卖家 描述 完全一致 满意,"[(0, 0.42480728), (1, 0.5632577), (2, 0.0119350385)]",1
啊家 上身 效果 实在 太好了 标志 好看 事儿 喜欢 这件 实体店 便宜 好多 活动 赶紧 买买,"[(0, 0.03383087), (1, 0.67587256), (2, 0.29029664)]",1
好看 保暖 尺码 正好 对了 一件 衣服 放心 巴伦 牌子 吊太 真的 保暖,"[(0, 0.94480026), (1, 0.028677361), (2, 0.026522394)]",0
质量 过关 品质 保障 不错 选择 好多 朋友 推荐 价格 实惠 质量 杠杠 购物 下次,"[(0, 0.023474054), (1, 0.35232875), (2, 0.6241972)]",2
发货 很快 收到 商品 描述 质量 关键 价格 合适 放心 好评,"[(0, 0.03882684), (1, 0.9291176), (2, 0.03205557)]",1
尺码 合适 合适 款式 类型 不错 薄厚 程度 超级 那种,"[(0, 0.9325283), (1, 0.034098048), (2, 0.033373628)]",0
王嘉尔 同款 厚实 衣服,"[(0, 0.096510634), (1, 0.07070537), (2, 0.83278394)]",2
很酷 衣服 喜欢 发货,"[(0, 0.08236572), (1, 0.08025631), (2, 0.8373779)]",2
特别 好看 特别 好看 好看 特别,"[(0, 0.05201165), (1, 0.89737654), (2, 0.05061183)]",1
卫衣 厚实,"[(0, 0.1433716), (1, 0.11615773), (2, 0.74047065)]",2
身高体重 身高 体重 千克 尺码 合适 尺码 贴身 合适 实穿 感受 穿着 舒适版 宽松 款式 类型 款式 宽松 材质 类型 材质 舒服 质感 薄厚 程度 稍微 偏厚 秋冬 穿着,"[(0, 0.9769101), (1, 0.011462747), (2, 0.0116271395)]",0
卫衣 质量 舒服 款式 好看 做工 精细,"[(0, 0.56993127), (1, 0.38293254), (2, 0.0471362)]",0
真的 材料 做工 特别 精致 做工 真的 觉着 推荐 朋友,"[(0, 0.03242269), (1, 0.9353443), (2, 0.032233052)]",1
质量 真的 包装 物流 不错 真心 喜欢 入手 后悔,"[(0, 0.37171313), (1, 0.5884949), (2, 0.039791957)]",1
宝贝 收到 想要 手感 质量 客服 很快 解决 态度 好评,"[(0, 0.03309727), (1, 0.9350173), (2, 0.03188547)]",1
身高体重 尺码 合适 合适 实穿 感受 款式 类型 宽松 版型,"[(0, 0.93796486), (1, 0.031263687), (2, 0.030771455)]",0
身高体重 尺码 合适 合适 实穿 感受 款式 类型 不错,"[(0, 0.9314419), (1, 0.034597166), (2, 0.03396093)]",0
品牌 值得 信赖 效果 超级 有贵 道理 很棒 商品,"[(0, 0.042255025), (1, 0.037300367), (2, 0.92044467)]",2
东西 满意哦 美观 时尚 大气 客服 超级 耐心 服务 细致 贴心 品牌,"[(0, 0.027539572), (1, 0.94298935), (2, 0.02947113)]",1
款式 年轻 上身 效果 正码,"[(0, 0.876533), (1, 0.06610373), (2, 0.05736327)]",0
衣服 好看 舒服,"[(0, 0.8099479), (1, 0.093786694), (2, 0.09626537)]",0
实穿 感受 不错 夸大 效果 穿着 适合 舒适,"[(0, 0.9219754), (1, 0.038896736), (2, 0.039127875)]",0
衣服 质量 很好,"[(0, 0.10472818), (1, 0.79896164), (2, 0.096310176)]",1
宝贝 真的 不错 特别 喜欢 加油,"[(0, 0.05104606), (1, 0.89796257), (2, 0.05099138)]",1
穿上 很大 值得 购买,"[(0, 0.069739096), (1, 0.852338), (2, 0.07792288)]",1
舒服,"[(0, 0.610239), (1, 0.17565255), (2, 0.21410845)]",0
哈哈哈 真的 不错,"[(0, 0.09446611), (1, 0.37619692), (2, 0.529337)]",2
性价比 超高 上身 无敌,"[(0, 0.2482187), (1, 0.076139614), (2, 0.6756417)]",2
物流 很快 价格 实惠 好评,"[(0, 0.06182398), (1, 0.8665402), (2, 0.071635865)]",1
性价比 一款 商品,"[(0, 0.09334994), (1, 0.09346295), (2, 0.8131871)]",2
好好 好好 真的 不错,"[(0, 0.0707362), (1, 0.85327303), (2, 0.07599075)]",1
下次 回购 满意,"[(0, 0.095154084), (1, 0.8157825), (2, 0.08906343)]",1
孩子 喜欢 喜欢,"[(0, 0.09373097), (1, 0.0982522), (2, 0.8080168)]",2
衣服 特别 特别 喜欢 宽松,"[(0, 0.20439659), (1, 0.7313279), (2, 0.06427549)]",1
喜欢 希望 京东 多一点 活动 喜欢 京东 购物,"[(0, 0.04003373), (1, 0.043347377), (2, 0.9166189)]",2
版型 宽松 好看 不错,"[(0, 0.85031116), (1, 0.07714927), (2, 0.07253957)]",0
好好 好好 真的 不错,"[(0, 0.07073594), (1, 0.85328746), (2, 0.07597663)]",1
衣服 厚实 穿着 舒服,"[(0, 0.57254773), (1, 0.070125155), (2, 0.35732713)]",0
上身 效果 特别 特别 满意,"[(0, 0.42644498), (1, 0.51391554), (2, 0.059639502)]",1
舒服 下次 购买,"[(0, 0.27508196), (1, 0.6230162), (2, 0.10190186)]",1
用户 未填写 评价 内容,"[(0, 0.06682452), (1, 0.8660894), (2, 0.06708605)]",1
用户 未填写 评价 内容,"[(0, 0.066824526), (1, 0.8660895), (2, 0.06708596)]",1
用户 未填写 评价 内容,"[(0, 0.06682452), (1, 0.8660895), (2, 0.067085996)]",1
衣服 做工 整体 材料 没想到 全棉 很好 很好 试穿 了下 码数 平时 选小 一码 产地 柬埔寨 苏州 生产,"[(0, 0.12554564), (1, 0.8514167), (2, 0.023037672)]",1
好评 模板 大佬 不想 产品 好评 特地 写下 模板 评论 积分 好评 重要性 妥妥 每条 评论 积分 下次 现金 评论 积分 东西 复制粘贴 凑够 字数 第次 网上 东西 东西 便宜 质量 物美 价康 放心 开心 感觉 上瘾 买买 停不下来 东西 品种 特别 划算 实惠 包装 损坏 支持 服务 超级 好评,"[(1, 0.98663557)]",1
收到 包裹 吓了一跳 货真价实 上后 效果 不错 适合 风格 稍微 买大 一点 不换 老板 下次 优惠,"[(0, 0.025512962), (1, 0.8185288), (2, 0.15595824)]",1
穿着 舒服 暖和 柔顺 不错,"[(0, 0.8752889), (1, 0.059500583), (2, 0.06521052)]",0
不错 没穿 喜欢 毛毛,"[(0, 0.07521197), (1, 0.09108031), (2, 0.8337077)]",2
不错 面料 舒服,"[(0, 0.8147366), (1, 0.090549424), (2, 0.09471397)]",0
物流 很快 质量 不错,"[(0, 0.078517325), (1, 0.8449467), (2, 0.07653598)]",1
质量 喜欢 建议 购买,"[(0, 0.07831495), (1, 0.84722215), (2, 0.074462906)]",1
质量 不错 购买 便宜,"[(0, 0.07501448), (1, 0.8481266), (2, 0.076859)]",1
购买 值得 推荐,"[(0, 0.09539715), (1, 0.8070828), (2, 0.09752008)]",1
阿迪达斯 男装 圆领 套头衫 纯棉 面料 穿着 舒服 衣服 偏肥 一号 醒目 低调 奢华 拉链 存放 物件 物流 速度 很快 快递 小哥 服务态度,"[(0, 0.85037714), (1, 0.13121705), (2, 0.018405782)]",0
身高体重 身高 体重 千克 适合 感觉 材质 不错 穿着 贴合 舒服 码数 建议 推荐 蛮好 不错 不错,"[(0, 0.95952004), (1, 0.020362722), (2, 0.020117264)]",0
衣服 质量 绒款 线圈 舒服 黑色 洗完 掉色 冬天 打底 合适 图案,"[(0, 0.9404273), (1, 0.028984237), (2, 0.030588489)]",0
衣服 收到 质量 不错 毛茸茸 舒服 穿着 暖和 打底 穿着 宽松 整体 感觉 特别 真的 保暖 舒服,"[(0, 0.9495508), (1, 0.028785756), (2, 0.021663465)]",0
尺码 选小 一码 衣服 合身 款式 不错 送货 很快 活动 购入 价格 合适 京东 平台 保证 退换货 购买,"[(0, 0.56688136), (1, 0.021214223), (2, 0.4119044)]",0
衣服 挺不错 质量 发货 很快 尺码 合适 尺码 适中 实穿 感受 穿着 不错 贴身 身高体重 身高 体重 公斤 材质 类型 材质 薄厚 程度 春装 适合 春天,"[(0, 0.97370464), (1, 0.013177898), (2, 0.013117444)]",0
宝贝 确实 很棒 喜欢 朋友 说好 推荐 购买 真的 包装 精美 宝贝 做工 精细 商家 特别 及时处理 确实 满意 网购 再来,"[(0, 0.01632997), (1, 0.96749663), (2, 0.016173363)]",1
一口气 三件 活动 版型 好看 质量 穿起 帅气 起球 不缩水 做工 剪裁 优良 特别 喜欢 家里 弟弟 喜欢,"[(0, 0.022949042), (1, 0.020877816), (2, 0.9561731)]",2
卫衣 质量 两件 一件 买大 一件 一件 正好,"[(0, 0.39194742), (1, 0.041728504), (2, 0.56632406)]",2
好看 大小 合适,"[(0, 0.8220393), (1, 0.09056511), (2, 0.08739562)]",0
