Source,Target,Type,Weight
焦虑,环境,Undirected,29
焦虑,现在,Undirected,54
焦虑,一年,Undirected,14
焦虑,每天,Undirected,33
焦虑,抑郁,Undirected,12
焦虑,工作,Undirected,63
焦虑,人生,Undirected,28
焦虑,有时候,Undirected,10
焦虑,生活,Undirected,48
焦虑,状态,Undirected,25
焦虑,不敢,Undirected,22
焦虑,说话,Undirected,12
焦虑,紧张,Undirected,17
焦虑,想要,Undirected,23
焦虑,感到,Undirected,22
焦虑,考试,Undirected,11
焦虑,晚上,Undirected,10
焦虑,睡觉,Undirected,10
焦虑,身体,Undirected,20
焦虑,朋友,Undirected,34
焦虑,不行,Undirected,14
焦虑,烦恼,Undirected,11
焦虑,困难,Undirected,13
焦虑,放松,Undirected,11
焦虑,担心,Undirected,29
焦虑,陷入,Undirected,11
焦虑,情绪,Undirected,25
焦虑,结果,Undirected,30
焦虑,经常,Undirected,22
焦虑,担忧,Undirected,11
焦虑,总是,Undirected,25
焦虑,不能,Undirected,35
焦虑,缓解,Undirected,14
焦虑,准备,Undirected,12
焦虑,吃饭,Undirected,10
焦虑,领导,Undirected,20
焦虑,公司,Undirected,23
焦虑,怎么办,Undirected,15
焦虑,能力,Undirected,31
焦虑,持续,Undirected,11
焦虑,完成,Undirected,11
焦虑,难以,Undirected,10
焦虑,面对,Undirected,26
焦虑,目前,Undirected,15
焦虑,未来,Undirected,24
焦虑,决定,Undirected,14
焦虑,失眠,Undirected,11
焦虑,不想,Undirected,21
焦虑,如何,Undirected,26
焦虑,比较,Undirected,30
焦虑,办法,Undirected,24
焦虑,地方,Undirected,19
焦虑,收入,Undirected,11
焦虑,同事,Undirected,15
焦虑,有点,Undirected,19
焦虑,工资,Undirected,16
焦虑,内心,Undirected,17
焦虑,房子,Undirected,10
焦虑,长期,Undirected,12
焦虑,烦躁,Undirected,15
焦虑,经历,Undirected,25
焦虑,疫情,Undirected,19
焦虑,安排,Undirected,10
焦虑,面试,Undirected,16
焦虑,上班,Undirected,14
焦虑,在家,Undirected,18
焦虑,父母,Undirected,25
焦虑,老师,Undirected,18
焦虑,稳定,Undirected,13
焦虑,严重,Undirected,22
焦虑,解决,Undirected,23
焦虑,关系,Undirected,14
焦虑,害怕,Undirected,19
焦虑,失去,Undirected,13
焦虑,心情,Undirected,10
焦虑,影响,Undirected,26
焦虑,合适,Undirected,12
焦虑,表现,Undirected,11
焦虑,今年,Undirected,17
焦虑,失业,Undirected,11
焦虑,睡眠,Undirected,10
一直,身边,Undirected,17
一直,成功,Undirected,12
一直,同学,Undirected,16
一直,事情,Undirected,36
一直,社会,Undirected,13
一直,毕业,Undirected,16
一直,别人,Undirected,35
一直,大学,Undirected,16
一直,觉得,Undirected,38
一直,失败,Undirected,12
一直,没有,Undirected,65
一直,家里,Undirected,23
一直,专业,Undirected,11
一直,无法,Undirected,19
一直,需要,Undirected,25
一直,学生,Undirected,12
一直,家庭,Undirected,13
一直,学校,Undirected,20
一直,压力,Undirected,24
一直,喜欢,Undirected,29
一直,最近,Undirected,21
一直,学习,Undirected,22
一直,问题,Undirected,32
一直,选择,Undirected,21
一直,改变,Undirected,20
一直,以后,Undirected,15
一直,环境,Undirected,16
一直,现在,Undirected,54
一直,一年,Undirected,15
一直,每天,Undirected,22
一直,抑郁,Undirected,10
一直,工作,Undirected,52
一直,人生,Undirected,20
一直,生活,Undirected,39
一直,状态,Undirected,24
一直,不敢,Undirected,22
一直,说话,Undirected,17
一直,想要,Undirected,20
一直,感到,Undirected,16
一直,妈妈,Undirected,12
一直,晚上,Undirected,11
一直,睡觉,Undirected,12
一直,身体,Undirected,14
一直,朋友,Undirected,33
一直,不行,Undirected,13
一直,困难,Undirected,11
一直,担心,Undirected,18
一直,情绪,Undirected,21
一直,结果,Undirected,32
一直,经常,Undirected,22
一直,总是,Undirected,22
一直,不能,Undirected,33
一直,准备,Undirected,12
一直,吃饭,Undirected,10
一直,领导,Undirected,14
一直,公司,Undirected,18
一直,回家,Undirected,11
一直,怎么办,Undirected,12
一直,能力,Undirected,24
一直,面对,Undirected,19
一直,目前,Undirected,11
一直,未来,Undirected,23
一直,决定,Undirected,15
一直,失眠,Undirected,12
一直,不想,Undirected,22
一直,家人,Undirected,10
一直,如何,Undirected,15
一直,比较,Undirected,20
一直,办法,Undirected,25
一直,地方,Undirected,11
一直,同事,Undirected,12
一直,有点,Undirected,19
一直,工资,Undirected,10
一直,内心,Undirected,11
一直,经历,Undirected,22
一直,疫情,Undirected,15
一直,上班,Undirected,10
一直,在家,Undirected,16
一直,父母,Undirected,22
一直,老师,Undirected,18
一直,严重,Undirected,13
一直,解决,Undirected,16
一直,关系,Undirected,14
一直,害怕,Undirected,22
一直,失去,Undirected,11
一直,心情,Undirected,13
一直,影响,Undirected,19
一直,怀疑,Undirected,13
一直,表现,Undirected,10
一直,今年,Undirected,13
身边,事情,Undirected,24
身边,别人,Undirected,23
身边,觉得,Undirected,27
身边,没有,Undirected,36
身边,需要,Undirected,15
身边,学校,Undirected,10
身边,压力,Undirected,12
身边,喜欢,Undirected,17
身边,最近,Undirected,12
身边,学习,Undirected,11
身边,问题,Undirected,20
身边,选择,Undirected,12
身边,现在,Undirected,24
身边,每天,Undirected,15
身边,工作,Undirected,24
身边,人生,Undirected,15
身边,生活,Undirected,25
身边,状态,Undirected,11
身边,不敢,Undirected,14
身边,想要,Undirected,12
身边,朋友,Undirected,20
身边,担心,Undirected,10
身边,情绪,Undirected,11
身边,结果,Undirected,14
身边,经常,Undirected,14
身边,总是,Undirected,11
身边,不能,Undirected,18
身边,公司,Undirected,10
身边,能力,Undirected,12
身边,面对,Undirected,10
身边,未来,Undirected,14
身边,不想,Undirected,12
身边,比较,Undirected,11
身边,办法,Undirected,14
身边,经历,Undirected,12
身边,父母,Undirected,14
身边,严重,Undirected,10
身边,解决,Undirected,10
身边,影响,Undirected,12
成功,事情,Undirected,16
成功,社会,Undirected,11
成功,别人,Undirected,17
成功,觉得,Undirected,19
成功,失败,Undirected,11
成功,没有,Undirected,20
成功,需要,Undirected,12
成功,压力,Undirected,13
成功,喜欢,Undirected,11
成功,学习,Undirected,10
成功,问题,Undirected,15
成功,选择,Undirected,10
成功,改变,Undirected,10
成功,环境,Undirected,11
成功,现在,Undirected,17
成功,工作,Undirected,17
成功,人生,Undirected,13
成功,生活,Undirected,16
成功,感到,Undirected,10
成功,朋友,Undirected,13
成功,担心,Undirected,11
成功,情绪,Undirected,12
成功,结果,Undirected,10
成功,经常,Undirected,12
成功,总是,Undirected,10
成功,不能,Undirected,14
成功,能力,Undirected,11
成功,未来,Undirected,12
成功,如何,Undirected,11
成功,比较,Undirected,11
成功,经历,Undirected,14
成功,影响,Undirected,11
同学,事情,Undirected,14
同学,毕业,Undirected,11
同学,别人,Undirected,17
同学,大学,Undirected,15
同学,觉得,Undirected,19
同学,没有,Undirected,28
同学,无法,Undirected,10
同学,需要,Undirected,12
同学,学校,Undirected,14
同学,压力,Undirected,13
同学,喜欢,Undirected,16
同学,学习,Undirected,15
同学,问题,Undirected,17
同学,选择,Undirected,16
同学,现在,Undirected,23
同学,工作,Undirected,23
同学,生活,Undirected,11
同学,状态,Undirected,11
同学,说话,Undirected,12
同学,晚上,Undirected,11
同学,朋友,Undirected,12
同学,结果,Undirected,11
同学,经常,Undirected,12
同学,不能,Undirected,12
同学,未来,Undirected,10
同学,不想,Undirected,10
同学,比较,Undirected,14
同学,有点,Undirected,10
同学,老师,Undirected,15
同学,关系,Undirected,10
事情,社会,Undirected,13
事情,毕业,Undirected,11
事情,别人,Undirected,40
事情,大学,Undirected,14
事情,觉得,Undirected,49
事情,失败,Undirected,14
事情,没有,Undirected,63
事情,家里,Undirected,20
事情,专业,Undirected,11
事情,无法,Undirected,27
事情,需要,Undirected,33
事情,学生,Undirected,13
事情,家庭,Undirected,19
事情,学校,Undirected,14
事情,压力,Undirected,25
事情,喜欢,Undirected,32
事情,最近,Undirected,20
事情,学习,Undirected,29
事情,问题,Undirected,43
事情,选择,Undirected,25
事情,改变,Undirected,22
事情,以后,Undirected,17
事情,环境,Undirected,23
事情,现在,Undirected,48
事情,一年,Undirected,12
事情,每天,Undirected,26
事情,抑郁,Undirected,10
事情,工作,Undirected,57
事情,人生,Undirected,24
事情,有时候,Undirected,16
事情,生活,Undirected,51
事情,状态,Undirected,28
事情,不敢,Undirected,20
事情,说话,Undirected,17
事情,紧张,Undirected,13
事情,想要,Undirected,22
事情,感到,Undirected,19
事情,考试,Undirected,11
事情,妈妈,Undirected,11
事情,睡觉,Undirected,12
事情,身体,Undirected,22
事情,朋友,Undirected,35
事情,烦恼,Undirected,10
事情,困难,Undirected,14
事情,担心,Undirected,24
事情,情绪,Undirected,25
事情,结果,Undirected,30
事情,经常,Undirected,24
事情,担忧,Undirected,12
事情,总是,Undirected,31
事情,不能,Undirected,36
事情,准备,Undirected,12
事情,吃饭,Undirected,11
事情,领导,Undirected,11
事情,公司,Undirected,19
事情,怎么办,Undirected,14
事情,能力,Undirected,26
事情,面对,Undirected,27
事情,未来,Undirected,23
事情,决定,Undirected,16
事情,失眠,Undirected,14
事情,不想,Undirected,27
事情,如何,Undirected,22
事情,比较,Undirected,25
事情,办法,Undirected,23
事情,地方,Undirected,14
事情,同事,Undirected,13
事情,有点,Undirected,14
事情,工资,Undirected,10
事情,内心,Undirected,15
事情,长期,Undirected,11
事情,烦躁,Undirected,13
事情,经历,Undirected,24
事情,疫情,Undirected,10
事情,上班,Undirected,14
事情,在家,Undirected,12
事情,父母,Undirected,21
事情,老师,Undirected,16
事情,稳定,Undirected,10
事情,严重,Undirected,17
事情,解决,Undirected,24
事情,关系,Undirected,14
事情,害怕,Undirected,22
事情,失去,Undirected,16
事情,心情,Undirected,15
事情,影响,Undirected,27
事情,表现,Undirected,12
事情,今年,Undirected,11
社会,毕业,Undirected,10
社会,别人,Undirected,16
社会,大学,Undirected,10
社会,觉得,Undirected,18
社会,没有,Undirected,21
社会,家里,Undirected,10
社会,无法,Undirected,11
社会,需要,Undirected,14
社会,家庭,Undirected,10
社会,学校,Undirected,11
社会,压力,Undirected,18
社会,喜欢,Undirected,10
社会,学习,Undirected,12
社会,问题,Undirected,20
社会,选择,Undirected,14
社会,环境,Undirected,14
社会,现在,Undirected,17
社会,每天,Undirected,14
社会,工作,Undirected,21
社会,生活,Undirected,15
社会,状态,Undirected,11
社会,不敢,Undirected,11
社会,感到,Undirected,14
社会,担心,Undirected,13
社会,情绪,Undirected,11
社会,结果,Undirected,10
社会,不能,Undirected,19
社会,能力,Undirected,13
社会,面对,Undirected,12
社会,如何,Undirected,14
社会,比较,Undirected,12
社会,父母,Undirected,10
社会,解决,Undirected,10
难过,别人,Undirected,11
难过,觉得,Undirected,11
难过,没有,Undirected,14
难过,生活,Undirected,10
高中,别人,Undirected,10
高中,大学,Undirected,10
高中,没有,Undirected,13
毕业,别人,Undirected,15
毕业,大学,Undirected,13
毕业,觉得,Undirected,21
毕业,没有,Undirected,28
毕业,家里,Undirected,11
毕业,需要,Undirected,15
毕业,学校,Undirected,15
毕业,压力,Undirected,14
毕业,喜欢,Undirected,15
毕业,学习,Undirected,11
毕业,问题,Undirected,16
毕业,选择,Undirected,15
毕业,以后,Undirected,10
毕业,环境,Undirected,11
毕业,现在,Undirected,25
