时间,博主,内容,点赞,转发,评论,分词
"
                        2022年06月01日 20:28
                        ",白菜活动分享大V,"
 【京东】宝贝下29-150 蒙牛 八喜 和路雪 钟薛高 中街冰点 哈根达斯 4件85折区，凑30付【105】 部分款有95折更低 ​ ",赞, , 评论,京东 宝贝 蒙牛 八喜 和路雪 钟薛高 中街 冰点 哈根达斯 折区
"
                        2022年06月01日 20:21
                        ",是我买买买,"
 快来抄作业🤩 【174】兰芝 雪纱隔离霜30*2支 【96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下⚡算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 ​ ",1, , 2,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常
"
                        2022年06月01日 20:18
                        ",好心天天分享,"
 【京东】宝贝下29-150 蒙牛 八喜 和路雪 钟薛高 中街冰点 4件85折区，凑30付【105】 部分款有95折更低 ​ ",7, , 7,京东 宝贝 蒙牛 八喜 和路雪 钟薛高 中街 冰点 折区
"
                        2022年06月01日 20:12
                        ",吃个汉堡睡觉吧,"
 钟薛高 你凭什么卖这么贵！让我来一尝究竟，不好吃的话你给我等着 ​ ",赞, , 1,钟薛高 一尝 好吃
"
                        2022年06月01日 20:06
                        ",-野生33,"
 大人当久了，想当一天小孩 🎈 六一快乐🧸 ​ ",3, , 评论,大人 当久 小孩 六一 快乐
"
                        2022年06月01日 19:56
                        ",大可拱白菜,"
 凑单作业直接抄啊！ 【💥174】兰芝 雪纱隔离霜30*2支 【💥96】钟薛高 雪糕*1片 一起加车拍下，叠加20-15的卷👉 ，分别到手就是这个价！钟薛高才折8/支，便利店一支要20的呀！ ​ ",27, , 2,凑单 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 加车 叠加 到手 钟薛高 便利店 一支
"
                        2022年06月01日 19:56
                        ",桃良樱笋时,"
 学校里终于卖雪糕了！钟薛高的这个味道 我的评价是：好吃 ​ ",3, , 1,学校 终于 雪糕 钟薛高 味道 评价 好吃
"
                        2022年06月01日 19:54
                        ",Kathy_0206,"
 钟薛高 冰淇淋 10支 131 你要坚信，只要心中有梦想，你就会与众不同 ​ ",赞, , 1,钟薛高 冰淇淋 坚信 心中 梦想 与众不同
"
                        2022年06月01日 19:48
                        ",大牌买买,"
 钟薛高线下真的贵 这💰直接冲！ 【83】钟薛高 雪糕*10片+随机送1片 需叠加20-15券，到手1片，折才7/片！线下都卖到20左右真的好贵 纯牛乳制作，入口全是奶香，一定要尝！ ​ ",8, , 5,钟薛高 线下 真的 钟薛高 雪糕 随机 叠加 到手 折才 线下 卖到 真的 牛乳 制作 入口 全是 奶香
"
                        2022年06月01日 19:38
                        ",白菜挖,"
 今夏最低！这💰直接冲！ 【83】钟薛高 雪糕*10片+随机送1片 需叠加20-15券，到手1片，折才7/片！线下都卖到20左右真的好贵 冷链直邮到家放心拍！ ​ ",3, , 7,今夏 最低 钟薛高 雪糕 随机 叠加 到手 折才 线下 卖到 真的 冷链 邮到 放心
"
                        2022年06月01日 19:36
                        ",薅羊毛,"
 钟薛高这价直接冲！ 【￥83】钟薛高 雪糕*10片+随机送1片 叠加20-15券，到手1支，折才7/支，线下都卖到20左右真的好贵 冷链直邮到家放心拍 ​ ",4, , 6,钟薛高 钟薛高 雪糕 随机 叠加 到手 折才 线下 卖到 真的 冷链 邮到 放心
"
                        2022年06月01日 19:35
                        ",最全红包口令分享,"
 钟薛高这价直接冲！ 【￥83】钟薛高 雪糕*10片+随机送1片 叠加20-15券，到手1支，折才7/支，线下都卖到20左右真的好贵 冷链直邮到家放心拍 ​ ",10, , 7,钟薛高 钟薛高 雪糕 随机 叠加 到手 折才 线下 卖到 真的 冷链 邮到 放心
"
                        2022年06月01日 19:27
                        ",把心动藏藏藏好,"
 六一吃到了最好吃的钟薛高 ​ ",2, , 3,六一 吃到 好吃 钟薛高
"
                        2022年06月01日 19:04
                        ",不可爱茶耶,"
 抄作业啦 【174】兰芝 雪纱隔离霜30*2支 【96】钟薛高 雪糕*1片 领取标题处20-15卷！再和雪糕一起拍下⚡算下来一瓶只要87 ​ ",1, , 3,作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶
"
                        2022年06月01日 18:48
                        ",摆烂指北,"
 钟薛高在六一儿童节对我这么说 我会努力的 ​ ",1, , 评论,钟薛高 六一 儿童节 我会 努力
"
                        2022年06月01日 18:44
                        ",老王爱吃海鲜,"
 烤肉 哆啦梦 钟薛高 海苔小贝 钙 今日找车位很顺利 ​ ",1, , 2,烤肉 哆啦 钟薛高 海苔 小贝 今日 车位 顺利
"
                        2022年06月01日 18:24
                        ",taot9527,"
 钟薛高 静地待在小卖部的冰箱里 给我这个随手拿雪糕的人一记重击 ​ ",赞, , 7,钟薛高 静地 小卖部 冰箱 随手 雪糕 一记 重击
"
                        2022年06月01日 18:17
                        ",最美白菜姐,"
 【174】兰芝 雪纱隔离霜30*2支 【96】钟薛高 雪糕*1片 领兰芝页面20-15卷 兰芝有紫色和绿色两种，钟薛高平时也是卖得很贵的，这次一把子全部拿下 ​ ",赞, , 2,兰芝 雪纱 隔离霜 钟薛高 雪糕 兰芝 页面 兰芝 紫色 绿色 两种 钟薛高 平时 很贵 一把子 拿下
"
                        2022年06月01日 17:55
                        ",I八九I,"
 钟薛高·清竹若叶 ​18💰 ​狠避雷，没啥香味，像是在吃一种很甜很腻的草，不如2💰的绿色心情好吃 ​ ",5, , 13,钟薛高 避雷 香味 像是 一种 很甜 很腻 绿色 心情 好吃
"
                        2022年06月01日 17:50
                        ",省钱安利社,"
 来抄作业！ 【174】兰芝 雪纱隔离霜30*2支 【96】钟薛高 雪糕*1片 叠加20-15券，一起结算，分别就是这个价 钟薛高才折8/支，线下都卖到20左右了，雪糕界爱马仕，纯牛乳制作，入口全是奶香，一定要尝 ​ ",3, , 3,作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 叠加 结算 钟薛高 线下 卖到 雪糕 爱马仕 牛乳 制作 入口 全是 奶香
"
                        2022年06月01日 17:36
                        ",各种支付宝红包口令,"
 快来抄作业 【 174】兰芝 雪纱隔离霜30*2支 【 96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下 算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 618天猫红苞 ​ ",赞, , 评论,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常 天猫
"
                        2022年06月01日 17:36
                        ",终极无敌托马斯回旋踢,"
 钟薛高 冰淇淋 10支 131 不要迷失在别人的评价里，用心倾听自己内心的声音，做好真实的自己 ​ ",赞, , 1,钟薛高 冰淇淋 迷失 评价 用心 倾听 内心 声音 做好 真实
"
                        2022年06月01日 17:35
                        ",好物君,"
 快来抄作业? 【￥174】兰芝 雪纱隔离霜30*2支 【￥96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下⚡算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 ​ ",赞, , 1,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常
"
                        2022年06月01日 17:33
                        ",红包君,"
 快来抄作业? 【￥174】兰芝 雪纱隔离霜30*2支 【￥96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下⚡算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 ​ ",7, , 3,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常
"
                        2022年06月01日 17:30
                        ",好物种草星球,"
 快来抄作业🤩 【¥174】兰芝 雪纱隔离霜30*2支 【¥96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下⚡算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 ​ ",赞, , 1,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常
"
                        2022年06月01日 17:30
                        ",热剧萌主,"
 快来抄作业🤩 【¥174】兰芝 雪纱隔离霜30*2支 【¥96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下⚡算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 ​ ",赞, , 1,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常
"
                        2022年06月01日 17:10
                        ",知勋馬麻,"
 钟薛高 冰淇淋 10支 131 人生不是靠心境活着，而是靠心态活着，人生是一次艰辛的跋涉，在人生的路途上，有阳光雨露 ​ ",1, , 3,钟薛高 冰淇淋 人生 心境 活着 心态 活着 人生 艰辛 跋涉 人生 路途 阳光雨露
"
                        2022年06月01日 16:39
                        ",爱笑的Qimi,"
 🍦钟薛高7一支，我冲啦！价格好，而且配料表超好，是雪糕届的天花板！我和超爱的！ 领20-10全品 ， ①钟薛高 钟意你系列雪糕 10片装，送1片 ②钟薛高 少年系列 雪糕低糖、低脂10片装，送1片 ③汉堡 ​ ",赞, , 评论,钟薛高 一支 价格 配料表 超好 雪糕 天花板 超爱 全品 钟薛高 钟意 系列 雪糕 钟薛高 少年 系列 雪糕 低糖 汉堡
"
                        2022年06月01日 16:39
                        ",大可拱白菜,"
 凑单作业直接抄啊！ 【💥174】兰芝 雪纱隔离霜30*2支 【💥96】钟薛高 雪糕*1片 一起加车拍下，叠加20-15的卷👉 ，分别到手就是这个价！钟薛高才折8/支，便利店一支要20的呀！ ​ ",28, , 4,凑单 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 加车 叠加 到手 钟薛高 便利店 一支
"
                        2022年06月01日 16:29
                        ",欧气酱,"
 快来抄作业? 【174】兰芝 雪纱隔离霜30*2支 【96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下⚡算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 ​ ",赞, , 1,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常
"
                        2022年06月01日 16:28
                        ",学长,"
 快来抄作业? 【174】兰芝 雪纱隔离霜30*2支 【96】钟薛高 雪糕*1片 领取标题处20-15劵，再和雪糕一起拍下⚡算下来一瓶只要87！而且绿色/紫色的都有，雪糕日常也要10+的 ​ ",赞, , 评论,快来 作业 兰芝 雪纱 隔离霜 钟薛高 雪糕 领取 标题 雪糕 算下来 一瓶 绿色 紫色 雪糕 日常
"
                        2022年06月01日 16:21
                        ",PeiZzzzzzzH,"
 隔壁公司送来的下午茶和大粽子还有自己公司的钟薛高以及我自己买的～ ​ ",4, , 评论,隔壁 公司 送来 下午茶 粽子 公司 钟薛高
"
                        2022年06月01日 16:14
                        ",红包白菜分享老师,"
 【9】钟薛高 钟意你系列 特牛乳*4 丝绒可*4 半巧*2 冰淇淋生鲜雪糕 10片装 ​ ",赞, , 1,钟薛高 钟意 系列 牛乳 丝绒 半巧 冰淇淋 生鲜 雪糕
"
                        2022年06月01日 15:55
                        ",木葵S,"
 钟薛高·半巧主义 ​ ",赞, , 2,钟薛高 半巧 主义
"
                        2022年06月01日 15:42
                        ",Just漂亮女孩,"
 好喜欢这句话哦！ 钟薛高还得是丝绒可 ​ ",11, , 4,喜欢 钟薛高 丝绒
"
                        2022年06月01日 15:36
                        ",谁的时光不及你的眉眼纤长,"
 钟薛高 冰淇淋 10支 131 将心情放开，将烦恼放走，将身体放松，将快乐放入，将睡眠放沉。 ​ ",赞, , 1,钟薛高 冰淇淋 心情 放开 烦恼 放走 身体 放松 快乐 放入 睡眠 放沉
"
                        2022年06月01日 15:33
                        ",小糖逗201811,"
 有史以来吃过最贵的雪糕 ​ ",赞, , 评论,有史以来 最贵 雪糕
"
                        2022年06月01日 15:12
                        ",tiadstar,"
 好棒哦 梦龙＋钟薛高 ",赞, , 评论,梦龙 钟薛高
"
                        2022年06月01日 13:39
                        ",giaogiao在上_,"
 钟薛高 冰淇淋 10支 131 每个人都有自己的功课要做，小孩子有，大人也有。如果今天的作业没做完的话，明天很有可能会不及格。 ​ ",赞, , 3,钟薛高 冰淇淋 功课 小孩子 大人 作业 明天 不及格
"
                        2022年06月01日 13:21
                        ",这里购物,"
 先领105-5全品券 钟薛高 少年系列 五大新口味雪低糖、低脂、含有蛋白质 10片+赠1片 绵密丝滑的口感，浓郁好奶~在嘴里融化后奶味更浓郁，没有很甜，也不腻，超级喜欢海盐椰和玫瑰牛乳味 ​！配色也是很夏天呢 ​ ",赞, , 评论,先领 全品券 钟薛高 少年 系列 五大 口味 低糖 含有 蛋白质 绵密 丝滑 口感 浓郁 嘴里 融化 奶味 浓郁 很甜 不腻 超级 喜欢 海盐 玫瑰 牛乳 配色 夏天
"
                        2022年06月01日 13:15
                        ",_GGee,"
 钟薛高虽贵 可是好吃啊😭 这个粽子叶味道的等我有钱了我一定囤一箱在我的冰箱里 里面还有糯米😭 永远喜欢清沁的东西‼️ ​ ",1, , 评论,钟薛高 好吃 粽子 味道 的等 有钱 一箱 冰箱 糯米 永远 喜欢 清沁 东西
"
                        2022年06月01日 13:11
                        ",小汤圆同学,"
 钟薛高7/支，小熊豪华版10/盒 兑20-10全品 商品下方领9-10，一起180 1件，钟薛高组合送一片，共1支， 9件，小熊驾到意面豪华版， ​ ",6, , 7,钟薛高 小熊 豪华版 全品 商品 下方 钟薛高 组合 小熊 驾到 豪华版
"
                        2022年06月01日 13:03
                        ",钟薛高,"
 今日未成年。 —钟薛高·少年 ​ ",141, , 31,今日 未成年 钟薛高 少年
"
                        2022年06月01日 12:59
                        ",苏珊小屋2013,"
 钟薛高7/支，小熊豪华版10/盒 京享随手领， 钟薛高10圈，意面页面领9-10，叠加20-10全品，叠加29-50满减 以下组合180 1件，钟薛高组合1支， 9件，小熊驾到意面豪华版， ​ ",8, , 1,钟薛高 小熊 豪华版 随手 钟薛高 页面 叠加 全品 叠加 满减 组合 钟薛高 组合 小熊 驾到 豪华版
"
                        2022年06月01日 12:20
                        ",壹個普通美女,"
 怎么街边非连锁小便利店的冰柜里，都是钟薛高和梦龙了 ​ ",赞, , 评论,街边 连锁 便利店 冰柜 钟薛高 和梦龙
"
                        2022年06月01日 11:08
                        ",苏珊小屋2013,"
 钟薛高1片87，都是好吃的口味！ 需要凑29-50，凑完可退可复美 京享领取， 1件，钟薛高组合10➕ 1片， 1件，凑可复美， ​ ",9, , 13,钟薛高 好吃 口味 凑完 可退 可复 领取 钟薛高 组合 可复
"
                        2022年06月01日 10:55
                        ",Krismile袁袁袁呀,"
 夏天的第一个冰淇淋—钟薛高！ 祝我的小宝贝们六一快乐！ ​ ",2, , 评论,夏天 第一个 冰淇淋 钟薛高 小宝贝 六一 快乐
"
                        2022年06月01日 10:48
                        ",妮妮白菜推荐,"
 —再探新低！— 先领105-5全品券 （京东-我的-会员-10元券礼包） 京东 钟薛高 钟意你系列 特牛乳*4 丝绒可*4 半巧*2 冰淇淋生鲜雪糕 10片装 仅需102元，才9元/片 ​ ",赞, , 评论,新低 先领 全品券 京东 会员 元券 礼包 京东 钟薛高 钟意 系列 牛乳 丝绒 半巧 冰淇淋 生鲜 雪糕
"
                        2022年06月01日 08:45
                        ",wx晓晓晓晓,"
 赶在了六一前，大哥让我提前实现了钟薛高自由 味道不错 ​ ",4, , 1,赶在 六一 大哥 提前 钟薛高 自由 味道 不错
"
                        2022年06月01日 08:44
                        ",小柒种草,"
 —再探新低！— 先领105-5全品券 钟薛高 钟意你系列雪糕1片 仅需102元，才9元/片 *比之前降了5元 抄底价了！ ​ ",赞, , 评论,新低 先领 全品券 钟薛高 钟意 系列 雪糕 底价
"
                        2022年06月01日 08:36
                        ",优惠,"
 -再探新低！- 先领105-5全品券 钟薛高 钟意你系列雪糕1片 仅需102亓，才9亓/片 *比之前降了5亓 抄底价了！ ​ ",赞, , 评论,新低 先领 全品券 钟薛高 钟意 系列 雪糕 底价
"
                        2022年06月01日 08:35
                        ",挖券大叔,"
 —再探新低！— 先领105-5全品券 钟薛高 钟意你系列雪糕1片 仅需102元，才9元/片 *比之前降了5元 抄底价了！ ​ ",赞, , 1,新低 先领 全品券 钟薛高 钟意 系列 雪糕 底价
"
                        2022年06月01日 08:31
                        ",每天哈哈笑x,"
 吃完饭回办公室一口气又炫了盒蓝莓🫐，前天怒刷20多块钱的购物卡买了好些吃的，念了几年的钟薛高也终于买了，18块钱啊！好贵！但是几口炫完，也没什么惊艳的嘛，没有梦龙好吃耶我觉得。昨晚又去跑了五公里，感觉还是饮食习惯问题，感觉自己瘦了点，但是体重却没怎么掉，要把饮食规划一下，才能快 ​ ",1, , 评论,吃完饭 办公室 一口气 蓝莓 前天 块钱 购物 好些 几年 钟薛高 终于 块钱 几口 炫完 没什么 惊艳 梦龙 好吃 昨晚 五公里 感觉 饮食习惯 感觉 体重 饮食 规划
"
                        2022年06月01日 08:27
                        ",糖糖2021暴富,"
 加油 / :匠的好朋友又开新店啦~ ，点燃这个夏天！何师黄金路传承店5月29日开烤！每满10送50！锁定 ，带话题卷发并@ 一位好友，6月6日揪1位匠粉送出【128元无门槛代金券（限成都468店使用）】 ",赞, , 评论,加油 朋友 新店 点燃 夏天 何师 黄金 传承 开烤 锁定 话题 卷发 一位 好友 位匠 粉送 门槛 代金券 成都
"
                        2022年06月01日 07:31
                        ",用户cx2jud9svs,"
 钟薛高 冰淇淋 10支 131 更需求一份不懈的努力。世俗的冗杂，无常的变换随时都会改动一个人的命运。 ​ ",赞, , 3,钟薛高 冰淇淋 需求 一份 不懈 努力 世俗 冗杂 无常 变换 改动 命运
"
                        2022年06月01日 06:18
                        ",o羊七七o,"
 钟薛高 冰淇淋 10支 131 青春的步伐，我们慷慨激昂，不服输的特性，若骑士，总想降服下一座城池。当阅历，在风云变幻中 ​ ",赞, , 3,钟薛高 冰淇淋 青春 步伐 慷慨激昂 不服输 特性 骑士 降服 一座 城池 阅历 风云变幻
"
                        2022年06月01日 06:00
                        ",种草小蛋,"
 钟薛高 冰淇淋 10支 131 经风雨长不成大树，失败乃成功之母，一份耕耘一份收获，尽自己最大的努力去争取最大的成功，相信自己一定行！ ​ ",赞, , 3,钟薛高 冰淇淋 经风雨 大树 失败 成功 一份 耕耘 一份 收获 努力 成功
"
                        2022年06月01日 00:23
                        ",深南大道老炮儿,"
 618前3小时，钟薛高继续蝉联第一！天猫生鲜大类项目销售第一，冰淇淋类目销售第一，冰淇淋单品销售第一！ ​ ",赞, , 评论,3小时 钟薛高 蝉联 第一 天猫 生鲜 项目 销售 第一 冰淇淋 类目 销售 第一 冰淇淋 单品 销售 第一
"
                        2022年06月01日 00:21
                        ",用户cx2jud9svs,"
 钟薛高 冰淇淋 10支 131 只需有梦，我就会不涣散的斗争下去；只需有点滴提高，我就会愈加的努力；只需我永不保持，成功的希望就会不断陪伴着我。 ​ ",赞, , 3,钟薛高 冰淇淋 需有 涣散 斗争 需有 点滴 提高 愈加 努力 永不 成功 希望 陪伴着
"
                        2022年06月01日 00:04
                        ",刘聪19966,"
 减肥第二十二天，看到钟薛高听说有点贵，心想在贵也贵不过和路雪，可爱多吧。结果一问16 放弃了 ​ ",赞, , 2,减肥 第二十二 钟薛高 听说 心想 和路雪 可爱多 放弃
"
                        2022年05月31日 23:53
                        ",叮当传送门,"
 钟薛高 复制到手机🍑首页搜索栏6₲​424)/ ​ ",赞, , 评论,钟薛高 复制到 手机 首页 搜索
"
                        2022年05月31日 22:47
                        ",少年锦时不是时,"
 五月再见。 ​ ",赞, , 1,五月 再见
"
                        2022年05月31日 22:18
                        ",爆炒一下陆景和,"
 谢你 钟薛高 但是我月考真的从来没这么差过。 ​ ",赞, , 评论,钟薛高 真的 差过
"
                        2022年05月31日 21:59
                        ",a战月战月,"
 / : 今日新品牌：钟薛高。 ",赞, , 评论,今日 品牌 钟薛高
"
                        2022年05月31日 20:29
                        ",烦躁星期天,"
 钟薛高吃完必拉，这就是所谓的山猪吃不了细糠 ​ ",赞, , 评论,钟薛高 山猪 细糠
"
                        2022年05月31日 20:04
                        ",知勋馬麻,"
 钟薛高 冰淇淋 10支 131 迂回的成功不可耻，但只需你还不忘当年的梦想，不让世界改动你，不变成本人厌恶的样子，你的坚持就没错。 ​ ",赞, , 3,钟薛高 冰淇淋 迂回 成功 可耻 当年 梦想 不让 世界 改动 厌恶 样子 没错
"
                        2022年05月31日 19:05
                        ",管理界刘春华,"
 钟薛高是一支神奇的雪糕，你会买吗？ ​ ",3, , 1,钟薛高 一支 神奇 雪糕
"
                        2022年05月31日 18:51
                        ",追海的八宝鸭,"
 又是爱吃雪糕的一天，真的价格亲民，比什么资本主义的味道好多了 ​ ",3, , 评论,雪糕 真的 价格 亲民 资本主义 味道 好多
"
                        2022年05月31日 18:23
                        ",什么值得买,"
 今日新品牌：钟薛高。 ",12, , 11,今日 品牌 钟薛高
