内容,主题概率,主题类型
垃圾 衣服 掉色 毛絮 商家 告诉,"[(0, 0.010989401), (1, 0.010989554), (2, 0.010989342), (3, 0.010989361), (4, 0.010989466), (5, 0.010989608), (6, 0.010989338), (7, 0.010989604), (8, 0.010989399), (9, 0.010989533), (10, 0.8681265), (11, 0.010989323), (12, 0.010989536)]",10
袖口 太大 太长 款式 不好 标签 没法 不想,"[(7, 0.89743125)]",7
退换货 的慢,"[(0, 0.025641946), (1, 0.025641946), (2, 0.025641946), (3, 0.025641946), (4, 0.025641946), (5, 0.025642077), (6, 0.025641946), (7, 0.025641946), (8, 0.025641946), (9, 0.6922965), (10, 0.025641946), (11, 0.025641946), (12, 0.025641946)]",9
垃圾 衣服 掉色 毛絮 商家 告诉,"[(0, 0.010989401), (1, 0.010989554), (2, 0.010989342), (3, 0.010989361), (4, 0.010989466), (5, 0.010989606), (6, 0.010989338), (7, 0.010989604), (8, 0.010989399), (9, 0.010989533), (10, 0.8681266), (11, 0.010989323), (12, 0.010989536)]",10
衣服,"[(0, 0.03846165), (1, 0.5384552), (2, 0.03846202), (3, 0.038461722), (4, 0.038461767), (5, 0.038462877), (6, 0.038461905), (7, 0.03846193), (8, 0.03846199), (9, 0.038462024), (10, 0.038461946), (11, 0.03846184), (12, 0.03846309)]",1
卫衣 明明 长袖,"[(0, 0.01923174), (1, 0.019231593), (2, 0.019231874), (3, 0.019231593), (4, 0.7692193), (5, 0.019231755), (6, 0.01923191), (7, 0.019231644), (8, 0.019231636), (9, 0.01923165), (10, 0.019231819), (11, 0.019231593), (12, 0.019231923)]",4
运费 推荐 体验 得去 网上,"[(0, 0.8461487), (1, 0.012820902), (2, 0.012821133), (3, 0.012820902), (4, 0.012820895), (5, 0.012820911), (6, 0.012820904), (7, 0.012820887), (8, 0.012820921), (9, 0.012820882), (10, 0.012820932), (11, 0.012820926), (12, 0.012821029)]",0
掉色 报废,"[(0, 0.025642328), (1, 0.025642328), (2, 0.025642328), (3, 0.025642328), (4, 0.025642738), (5, 0.69229007), (6, 0.025642328), (7, 0.025643405), (8, 0.025642458), (9, 0.025642496), (10, 0.025642492), (11, 0.025642328), (12, 0.025642328)]",5
服务态度 不好 客服 衣服 运费 衣服 寄过来 二手 包装袋 胶带 衣服 勾丝,"[(12, 0.9289922)]",12
不想 起毛,"[(0, 0.02564153), (1, 0.025641702), (2, 0.02564153), (3, 0.02564153), (4, 0.025641892), (5, 0.02564153), (6, 0.02564153), (7, 0.025641674), (8, 0.025641657), (9, 0.02564153), (10, 0.025641695), (11, 0.025641674), (12, 0.69230056)]",12
质量 做工 客服 态度 极差 解决问题,"[(0, 0.010989317), (1, 0.010989255), (2, 0.010989286), (3, 0.868128), (4, 0.010989389), (5, 0.010989339), (6, 0.010989358), (7, 0.010989435), (8, 0.010989298), (9, 0.010989317), (10, 0.010989343), (11, 0.01098936), (12, 0.010989347)]",3
一点 保暖,"[(0, 0.025642103), (1, 0.025642099), (2, 0.025641669), (3, 0.025642414), (4, 0.02564185), (5, 0.02564221), (6, 0.025641669), (7, 0.025641935), (8, 0.0256419), (9, 0.69229484), (10, 0.025642416), (11, 0.025641669), (12, 0.025643246)]",9
质量 二手 运费 退货 运费,"[(0, 0.012820719), (1, 0.012820711), (2, 0.012820711), (3, 0.012820731), (4, 0.0128207095), (5, 0.012820697), (6, 0.012820694), (7, 0.012820727), (8, 0.012820706), (9, 0.012820689), (10, 0.012820898), (11, 0.01282081), (12, 0.84615123)]",12
图片 实际上 第二件 一模一样 衣服 那件 差别 很大 估计 长袖 甄别,"[(5, 0.92307204)]",5
油笔 漂水 漂掉 衣服,"[(0, 0.015385037), (1, 0.015385244), (2, 0.015385107), (3, 0.01538505), (4, 0.01538506), (5, 0.01538527), (6, 0.015385085), (7, 0.01538509), (8, 0.015385102), (9, 0.8153786), (10, 0.015385094), (11, 0.015385073), (12, 0.015385238)]",9
倒霉 收到 估计 退换 右边 口袋 下方 一刀切 标签 指示 发给 买家,"[(4, 0.9289903)]",4
款式 十二 价格 白色 棉线 黑色 杂毛 感觉 辗转 多个 买家,"[(9, 0.9230748)]",9
垃圾 价格 随意 欺诈,"[(0, 0.015385284), (1, 0.015385281), (2, 0.015385052), (3, 0.81537783), (4, 0.0153851295), (5, 0.015385266), (6, 0.015385073), (7, 0.015385167), (8, 0.015385083), (9, 0.015385335), (10, 0.01538515), (11, 0.015385068), (12, 0.015385289)]",3
极差 购物 体验 客服 回复 真的 衣服 拉链 真的 智商 断网,"[(5, 0.92307335)]",5
支持 价格 保护 几天 降价 不退 差价,"[(3, 0.884612)]",3
售后 超级 京东 还好 会员 客服 解决 售后 退货 衣服 退款,"[(11, 0.92307466)]",11
半颗 不想 商场 层楼 一圈 一身 发货,"[(11, 0.8846105)]",11
买到 最差 商品 清洗 看不出来 模样 样子 拉链 突成 面料 缩小 原因 实在 差劲 希望 售后 维修,"[(11, 0.9487159)]",11
两天 降价 块钱 价保太,"[(0, 0.015385324), (1, 0.015385103), (2, 0.015385128), (3, 0.015385128), (4, 0.015385126), (5, 0.015385094), (6, 0.015385087), (7, 0.81537795), (8, 0.015385099), (9, 0.015385087), (10, 0.015385327), (11, 0.015385166), (12, 0.015385315)]",7
退货 快递费,"[(0, 0.025641574), (1, 0.025641574), (2, 0.025641574), (3, 0.025641626), (4, 0.025641605), (5, 0.025641574), (6, 0.025641574), (7, 0.025641574), (8, 0.025641574), (9, 0.025641574), (10, 0.69230074), (11, 0.025641767), (12, 0.02564167)]",10
价格比 平时 保价 搞笑 玩儿,"[(0, 0.17617314), (1, 0.012821255), (2, 0.012821255), (3, 0.012821255), (4, 0.6827929), (5, 0.012821255), (6, 0.012821255), (7, 0.012821255), (8, 0.012821255), (9, 0.012821255), (10, 0.012821255), (11, 0.012821352), (12, 0.0128213)]",4
起球 超级 不好 体验,"[(0, 0.81537694), (1, 0.015385046), (2, 0.015385154), (3, 0.015385284), (4, 0.0153855225), (5, 0.015386225), (6, 0.01538497), (7, 0.015384979), (8, 0.015385319), (9, 0.015385038), (10, 0.015385244), (11, 0.015385027), (12, 0.015385288)]",0
商家 京东 极差 株洲 南大门 因是 朋友 质量 真的 原价 双十,"[(6, 0.67321676), (8, 0.25626403)]",6
好意思 质量 要死,"[(0, 0.019231865), (1, 0.019231865), (2, 0.019231834), (3, 0.019232003), (4, 0.019231938), (5, 0.7692162), (6, 0.019231947), (7, 0.019232156), (8, 0.019232022), (9, 0.019232225), (10, 0.019231956), (11, 0.019231834), (12, 0.019232165)]",5
拿到 衣服 拆开 包装 很大 刺鼻,"[(0, 0.010989622), (1, 0.010989652), (2, 0.010989565), (3, 0.0109895365), (4, 0.01098977), (5, 0.86812484), (6, 0.010989565), (7, 0.010989635), (8, 0.01098956), (9, 0.010989545), (10, 0.010989543), (11, 0.010989558), (12, 0.010989626)]",5
给我发 的的 京东 自营 妥妥 失望,"[(0, 0.010989326), (1, 0.010989334), (2, 0.0109895), (3, 0.010989337), (4, 0.010989364), (5, 0.010989356), (6, 0.010989283), (7, 0.0109893335), (8, 0.010989508), (9, 0.0109893065), (10, 0.010989332), (11, 0.86812764), (12, 0.010989357)]",11
质量 价格 不符,"[(0, 0.019231094), (1, 0.019231323), (2, 0.019231057), (3, 0.019231442), (4, 0.01923124), (5, 0.019231273), (6, 0.019231245), (7, 0.019231668), (8, 0.019231396), (9, 0.7692241), (10, 0.01923131), (11, 0.019231228), (12, 0.019231638)]",9
自营 同一时间 东西 没法 开到 一张 发票 客服 态度恶劣 无理 拒绝 诉求,"[(12, 0.9289926)]",12
自营 同一时间 东西 没法 开到 一张 发票 客服 态度恶劣 无理 拒绝 诉求,"[(12, 0.9289926)]",12
垃圾 东西 胳膊 染成 黑色 垃级 收到 快递 打开 衣服 异味,"[(1, 0.9230746)]",1
店铺 客服 指鹿为马 混淆视听 特意 字母 客服 告知 李宁 买回来 客服 客服 客服 转售 售后 纳闷 客服 配置 荣耀 手机 搞笑,"[(11, 0.9580408)]",11
几次 袖子 位置 起球 价格 实惠,"[(0, 0.010989387), (1, 0.010989386), (2, 0.010989431), (3, 0.010989523), (4, 0.010989662), (5, 0.01098961), (6, 0.010989348), (7, 0.01098937), (8, 0.010989688), (9, 0.8681263), (10, 0.01098944), (11, 0.010989346), (12, 0.010989515)]",9
星期 长达 厘米 脱线,"[(0, 0.8153781), (1, 0.015385121), (2, 0.015385121), (3, 0.015385121), (4, 0.015385121), (5, 0.015385296), (6, 0.015385121), (7, 0.015385121), (8, 0.015385121), (9, 0.015385121), (10, 0.015385121), (11, 0.015385121), (12, 0.015385358)]",0
内里 东西 手机 摔坏,"[(0, 0.015385083), (1, 0.015385153), (2, 0.015385069), (3, 0.015385101), (4, 0.0153852245), (5, 0.015385091), (6, 0.015385069), (7, 0.015385083), (8, 0.015385069), (9, 0.015385101), (10, 0.81537867), (11, 0.015385143), (12, 0.015385128)]",10
衣服 只能,"[(0, 0.025641602), (1, 0.025642544), (2, 0.025642227), (3, 0.025641661), (4, 0.02564188), (5, 0.025642667), (6, 0.02564182), (7, 0.02564211), (8, 0.025642127), (9, 0.025641922), (10, 0.69229513), (11, 0.025641765), (12, 0.025642518)]",10
衣服 味道 太重 刺鼻,"[(0, 0.0153850075), (1, 0.8153793), (2, 0.0153850345), (3, 0.015385014), (4, 0.015385017), (5, 0.015385129), (6, 0.015385025), (7, 0.015385027), (8, 0.015385032), (9, 0.015385238), (10, 0.015385029), (11, 0.015385021), (12, 0.015385082)]",1
宣传 实物 面料 质量,"[(0, 0.0153849395), (1, 0.015385248), (2, 0.01538496), (3, 0.015385149), (4, 0.015385252), (5, 0.015385045), (6, 0.81537896), (7, 0.015385158), (8, 0.0153850615), (9, 0.01538497), (10, 0.015385143), (11, 0.015384995), (12, 0.015385148)]",6
味道 难闻 玩意儿,"[(0, 0.019231169), (1, 0.019231321), (2, 0.019231169), (3, 0.019231169), (4, 0.019231169), (5, 0.019231169), (6, 0.019231169), (7, 0.019231169), (8, 0.019231169), (9, 0.76922584), (10, 0.019231169), (11, 0.019231169), (12, 0.019231169)]",9
太垃 一点 不好,"[(0, 0.019231815), (1, 0.019231575), (2, 0.01923147), (3, 0.019231865), (4, 0.019231547), (5, 0.019231603), (6, 0.019231392), (7, 0.019231593), (8, 0.76921964), (9, 0.019231647), (10, 0.019231962), (11, 0.019231461), (12, 0.019232452)]",8
尺码 误差 辣鸡 李宁 没得 关注,"[(0, 0.010989542), (1, 0.01098959), (2, 0.010989611), (3, 0.010989829), (4, 0.010989522), (5, 0.010989805), (6, 0.010989791), (7, 0.010989796), (8, 0.86812395), (9, 0.010989686), (10, 0.010989679), (11, 0.010989535), (12, 0.010989665)]",8
扫码 显示 商品 貌似 假货,"[(0, 0.01282174), (1, 0.01282174), (2, 0.0128218075), (3, 0.01282174), (4, 0.01282174), (5, 0.012821769), (6, 0.01282174), (7, 0.01282174), (8, 0.42573136), (9, 0.01282174), (10, 0.43322933), (11, 0.0128218), (12, 0.012821789)]",10
李宁 冒牌 假货 白毛,"[(0, 0.015385237), (1, 0.015385281), (2, 0.0153853465), (3, 0.015385237), (4, 0.015385237), (5, 0.015385237), (6, 0.015385237), (7, 0.015385237), (8, 0.015385423), (9, 0.015385237), (10, 0.015385317), (11, 0.015385276), (12, 0.81537664)]",12
衣服 收到 图片 不好,"[(0, 0.0153851), (1, 0.01538517), (2, 0.81537837), (3, 0.015384922), (4, 0.015385082), (5, 0.01538553), (6, 0.015384907), (7, 0.015385107), (8, 0.015385222), (9, 0.01538511), (10, 0.015385123), (11, 0.015385145), (12, 0.015385224)]",2
几天 没洗,"[(0, 0.025641914), (1, 0.025641914), (2, 0.025641914), (3, 0.025642581), (4, 0.025642015), (5, 0.025642209), (6, 0.025641914), (7, 0.025642298), (8, 0.025642041), (9, 0.025641914), (10, 0.025641914), (11, 0.025641914), (12, 0.69229543)]",12
衣服 质量 不好 实穿 感受 不好,"[(0, 0.010989347), (1, 0.010989325), (2, 0.010989284), (3, 0.010989275), (4, 0.010989271), (5, 0.010989379), (6, 0.01098926), (7, 0.01098935), (8, 0.010989372), (9, 0.010989308), (10, 0.86812806), (11, 0.01098926), (12, 0.010989507)]",10
黑色 好看 不好,"[(0, 0.76922387), (1, 0.019231359), (2, 0.0192314), (3, 0.019231241), (4, 0.01923133), (5, 0.019231288), (6, 0.019231223), (7, 0.019231247), (8, 0.019231658), (9, 0.0192314), (10, 0.019231297), (11, 0.019231379), (12, 0.01923129)]",0
质量 掉色,"[(0, 0.025641171), (1, 0.025641171), (2, 0.025641141), (3, 0.025641298), (4, 0.02564138), (5, 0.025641358), (6, 0.025641246), (7, 0.6923047), (8, 0.02564135), (9, 0.025641257), (10, 0.0256413), (11, 0.025641141), (12, 0.025641544)]",7
耐磨 耐磨 办公椅 磨成 样子,"[(0, 0.012821063), (1, 0.012821063), (2, 0.012821063), (3, 0.012821063), (4, 0.84614676), (5, 0.012821063), (6, 0.012821063), (7, 0.0128213875), (8, 0.01282113), (9, 0.012821063), (10, 0.012821063), (11, 0.012821139), (12, 0.012821126)]",4
聚酯纤维 合成纤维 刚度 吸水 不透气 穿着 刺痒 标签 拆快 不好,"[(11, 0.9160805)]",11
衣服 超级 吸毛 家里 宠物 建议 吸毛,"[(5, 0.88460934)]",5
质量 不值 没多久 降价 客服 服务态度 原因 尺码 合适 尺码,"[(3, 0.91608167)]",3
看图,"[(0, 0.038463075), (1, 0.5384431), (2, 0.038463075), (3, 0.038463075), (4, 0.038463075), (5, 0.038463075), (6, 0.038463075), (7, 0.038463075), (8, 0.038463075), (9, 0.038463075), (10, 0.038463075), (11, 0.038463075), (12, 0.038463075)]",1
起球,"[(0, 0.03846194), (1, 0.038461935), (2, 0.038462173), (3, 0.038462423), (4, 0.038462963), (5, 0.5384542), (6, 0.038461767), (7, 0.03846181), (8, 0.038462482), (9, 0.038461927), (10, 0.038462173), (11, 0.038461767), (12, 0.03846243)]",5
宣传 图片 一等品 品质 词汇 咨询 客服 一等品 解释 客服 一等品 衣服 合格品 标签 合格品 一件 外套 合格品 宣传 一等品 品质 合格品 糊弄 消费者 宣传 客服 一等品 品质 误导 品质 品牌 轻薄 卫衣 不值 京豆 退货 表达 京造 营销 手段 误导 消费者,"[(4, 0.97853243)]",4
卫衣 理想 质感 喜欢 下次 一点 质感 一点 卫衣,"[(12, 0.90768975)]",12
年前 掉价 京东 东西 实在 不行,"[(0, 0.5727166), (1, 0.0109898), (2, 0.010989805), (3, 0.010989871), (4, 0.306395), (5, 0.010989909), (6, 0.010989737), (7, 0.010989841), (8, 0.01098996), (9, 0.010989843), (10, 0.010989797), (11, 0.010990014), (12, 0.01098982)]",0
褪色,"[(0, 0.03846257), (1, 0.03846257), (2, 0.03846257), (3, 0.03846257), (4, 0.5384491), (5, 0.03846257), (6, 0.03846257), (7, 0.03846257), (8, 0.03846257), (9, 0.03846257), (10, 0.03846257), (11, 0.03846257), (12, 0.03846257)]",4
第一次 发现 口袋 几个 质量,"[(0, 0.01282123), (1, 0.012820864), (2, 0.0128208585), (3, 0.012820957), (4, 0.012820936), (5, 0.012820943), (6, 0.012820876), (7, 0.01282091), (8, 0.012820911), (9, 0.012820872), (10, 0.012820879), (11, 0.0128208585), (12, 0.84614885)]",12
衣服 质量 衣服 发货 售后 更是 垃圾 京东 售后,"[(5, 0.9076899)]",5
京东,"[(0, 0.038462058), (1, 0.038461793), (2, 0.038462482), (3, 0.038462263), (4, 0.038462278), (5, 0.03846223), (6, 0.038461708), (7, 0.03846178), (8, 0.53845596), (9, 0.038461946), (10, 0.038461786), (11, 0.038462058), (12, 0.038461685)]",8
怀疑 假货 哗哗 两次 地摊货 京东 旗舰店 产品 失望,"[(2, 0.9076893)]",2
垃圾 阿迪 衣服 给换 尺码 明明 给换 申请 退款 垃圾 衣服 质量 合适 垃圾 产品,"[(12, 0.94230574)]",12
活动 期间 价格 变化 保价 权益 名存实亡 客服 差价,"[(0, 0.90768874)]",0
商品 图片 真的 差距,"[(0, 0.015385052), (1, 0.015385093), (2, 0.015385092), (3, 0.015385052), (4, 0.01538515), (5, 0.015385637), (6, 0.0153850755), (7, 0.01538525), (8, 0.8153781), (9, 0.015385092), (10, 0.015385113), (11, 0.015385195), (12, 0.015385061)]",8
虚空 签收 没收 到货 退款,"[(0, 0.012820953), (1, 0.012820953), (2, 0.012820953), (3, 0.012820953), (4, 0.012820953), (5, 0.012820953), (6, 0.012820953), (7, 0.012820953), (8, 0.012820953), (9, 0.8461483), (10, 0.012821109), (11, 0.012820998), (12, 0.01282099)]",9
材质,"[(0, 0.038461976), (1, 0.038461976), (2, 0.038462285), (3, 0.038462285), (4, 0.038462162), (5, 0.03846277), (6, 0.038462326), (7, 0.53845316), (8, 0.038462218), (9, 0.038462285), (10, 0.038462285), (11, 0.03846225), (12, 0.038461976)]",7
客服 推荐 尺码 穿不下 回复 消息 推诿,"[(2, 0.8846119)]",2
衣服 不好 照片 不符 淄博 疫情 退货,"[(10, 0.8846117)]",10
这家 衣服 偏人 太度 不好,"[(0, 0.012821056), (1, 0.012821116), (2, 0.012821018), (3, 0.012820917), (4, 0.0128209395), (5, 0.0128211565), (6, 0.012820935), (7, 0.012820972), (8, 0.012821056), (9, 0.012821019), (10, 0.012821037), (11, 0.84614754), (12, 0.012821196)]",11
好看 穿着 舒服 感觉 不值,"[(0, 0.012820966), (1, 0.012820898), (2, 0.8461489), (3, 0.012821162), (4, 0.012821009), (5, 0.0128209), (6, 0.012820846), (7, 0.012820973), (8, 0.012820938), (9, 0.012820858), (10, 0.012820789), (11, 0.012820942), (12, 0.012820789)]",2
每次 洗完,"[(0, 0.025642203), (1, 0.025642203), (2, 0.025642203), (3, 0.025642203), (4, 0.025642434), (5, 0.025642538), (6, 0.025642203), (7, 0.025642542), (8, 0.6922918), (9, 0.025642203), (10, 0.025642203), (11, 0.02564306), (12, 0.025642203)]",8
刚刚 衣服 拆完 快递,"[(0, 0.015384931), (1, 0.81538004), (2, 0.015384988), (3, 0.015384938), (4, 0.015384958), (5, 0.015385032), (6, 0.015385104), (7, 0.0153850205), (8, 0.01538498), (9, 0.015384988), (10, 0.015384982), (11, 0.015384945), (12, 0.015385028)]",1
几次 大片 起球,"[(0, 0.019231252), (1, 0.01923125), (2, 0.019231297), (3, 0.019231346), (4, 0.019231487), (5, 0.019231437), (6, 0.019231219), (7, 0.019231228), (8, 0.76922375), (9, 0.01923132), (10, 0.019231297), (11, 0.019231219), (12, 0.019231923)]",8
长袖 送来 却是 半截,"[(0, 0.015385148), (1, 0.015385148), (2, 0.815378), (3, 0.015385148), (4, 0.0153851975), (5, 0.015385184), (6, 0.015385239), (7, 0.015385148), (8, 0.015385148), (9, 0.015385148), (10, 0.015385148), (11, 0.015385148), (12, 0.015385148)]",2
不好 毛毛 起球,"[(0, 0.019231645), (1, 0.019231226), (2, 0.76922244), (3, 0.019231446), (4, 0.019231759), (5, 0.019231578), (6, 0.01923117), (7, 0.019231262), (8, 0.019231655), (9, 0.019231364), (10, 0.01923153), (11, 0.019231293), (12, 0.019231599)]",2
不好 毛毛 起球,"[(0, 0.019231936), (1, 0.019231308), (2, 0.39361924), (3, 0.019231487), (4, 0.39483368), (5, 0.01923154), (6, 0.019231275), (7, 0.019231394), (8, 0.019231774), (9, 0.01923151), (10, 0.01923168), (11, 0.019231452), (12, 0.019231703)]",4
衣服 几天 起球,"[(0, 0.019230962), (1, 0.01923108), (2, 0.01923103), (3, 0.01923122), (4, 0.019231144), (5, 0.76922673), (6, 0.01923097), (7, 0.01923115), (8, 0.019231126), (9, 0.019231), (10, 0.019231023), (11, 0.019230962), (12, 0.019231644)]",5
几天 个包 起球 质量 不行 不值,"[(0, 0.010989357), (1, 0.010989339), (2, 0.010989361), (3, 0.0109896), (4, 0.8681266), (5, 0.010989532), (6, 0.010989364), (7, 0.010989617), (8, 0.010989546), (9, 0.0109894015), (10, 0.01098938), (11, 0.010989331), (12, 0.010989602)]",4
胳膊 下班 开线 满意,"[(0, 0.015385164), (1, 0.015385164), (2, 0.01538527), (3, 0.015385089), (4, 0.015385176), (5, 0.015385089), (6, 0.8153784), (7, 0.015385089), (8, 0.015385089), (9, 0.015385161), (10, 0.015385089), (11, 0.015385089), (12, 0.015385089)]",6
慎重 告诉 质量 不行 衣服 下口,"[(0, 0.01098932), (1, 0.0109894145), (2, 0.01098934), (3, 0.010989364), (4, 0.010989383), (5, 0.010989478), (6, 0.010989352), (7, 0.010989529), (8, 0.8681272), (9, 0.0109893745), (10, 0.010989404), (11, 0.010989323), (12, 0.010989484)]",8
不想 京东 物流 质量,"[(0, 0.015385029), (1, 0.015385278), (2, 0.015385046), (3, 0.015385102), (4, 0.015385232), (5, 0.01538513), (6, 0.015385038), (7, 0.015385223), (8, 0.8153782), (9, 0.015385039), (10, 0.01538515), (11, 0.015385196), (12, 0.0153853325)]",8
收到 留意 一百多 一件 衣服,"[(0, 0.01282096), (1, 0.012821318), (2, 0.012821193), (3, 0.012820994), (4, 0.8461465), (5, 0.012821405), (6, 0.012821018), (7, 0.012821075), (8, 0.012821045), (9, 0.0128210895), (10, 0.012821031), (11, 0.012821016), (12, 0.0128213195)]",4
尺码 合适 合适,"[(0, 0.019230869), (1, 0.019230934), (2, 0.01923092), (3, 0.01923129), (4, 0.019230882), (5, 0.76922786), (6, 0.01923119), (7, 0.019231154), (8, 0.019230967), (9, 0.019231124), (10, 0.01923093), (11, 0.019230869), (12, 0.019230982)]",5
不好 发小 两个,"[(0, 0.019231737), (1, 0.019231444), (2, 0.019231537), (3, 0.019231481), (4, 0.019231502), (5, 0.019231461), (6, 0.019231444), (7, 0.019231496), (8, 0.01923161), (9, 0.01923154), (10, 0.019231595), (11, 0.019231528), (12, 0.7692216)]",12
京东 自营 客服,"[(0, 0.019231005), (1, 0.019230979), (2, 0.76922697), (3, 0.019231152), (4, 0.019231105), (5, 0.019231131), (6, 0.019231029), (7, 0.019230975), (8, 0.019231237), (9, 0.019230958), (10, 0.019231038), (11, 0.019231312), (12, 0.019231098)]",2
卫衣 值得,"[(0, 0.025642866), (1, 0.02564185), (2, 0.025642382), (3, 0.025641998), (4, 0.025644366), (5, 0.025642274), (6, 0.025642278), (7, 0.025642326), (8, 0.6922908), (9, 0.025642233), (10, 0.02564185), (11, 0.02564185), (12, 0.025642985)]",8
袖口 有个,"[(0, 0.025642654), (1, 0.025642648), (2, 0.025642207), (3, 0.025642207), (4, 0.025642207), (5, 0.025642207), (6, 0.025642207), (7, 0.025642553), (8, 0.6922923), (9, 0.025642207), (10, 0.025642207), (11, 0.025642207), (12, 0.025642207)]",8
一比 实体店 好些,"[(0, 0.019231416), (1, 0.76922303), (2, 0.019231416), (3, 0.019231416), (4, 0.019231416), (5, 0.019231416), (6, 0.019231416), (7, 0.019231416), (8, 0.019231416), (9, 0.019231416), (10, 0.019231416), (11, 0.019231416), (12, 0.019231416)]",1
正品 地摊货,"[(0, 0.02564131), (1, 0.02564131), (2, 0.692304), (3, 0.02564131), (4, 0.02564131), (5, 0.025641361), (6, 0.02564131), (7, 0.02564131), (8, 0.025641412), (9, 0.025641428), (10, 0.02564131), (11, 0.02564131), (12, 0.02564131)]",2
包装 一塌糊涂 内包装,"[(0, 0.019231368), (1, 0.019231368), (2, 0.019231688), (3, 0.019231368), (4, 0.019231368), (5, 0.01923159), (6, 0.76922274), (7, 0.019231478), (8, 0.019231465), (9, 0.019231368), (10, 0.019231368), (11, 0.019231478), (12, 0.019231368)]",6
几天 衣服 磨出 小洞,"[(0, 0.015385021), (1, 0.015385749), (2, 0.015385269), (3, 0.8153758), (4, 0.015385116), (5, 0.015385899), (6, 0.015385191), (7, 0.01538528), (8, 0.015385272), (9, 0.01538527), (10, 0.015385217), (11, 0.015385148), (12, 0.015385796)]",3
品控 真差 两件 同码 给我发 错码 一件,"[(0, 0.8846112)]",0
牛皮 衣服 商家 干嘛,"[(0, 0.015384933), (1, 0.81538004), (2, 0.01538496), (3, 0.015384968), (4, 0.015385017), (5, 0.015385033), (6, 0.015384968), (7, 0.0153849535), (8, 0.015384961), (9, 0.015385085), (10, 0.015385139), (11, 0.015384946), (12, 0.01538503)]",1
