内容,主题概率,主题类型
送货 速度 预约 安装 太慢 到货 几天 安装,"[(0, 0.042889576), (1, 0.9160687), (2, 0.041041758)]",1
空调 到货 很快 物流 双十 耽误 送货 空调 安装费 差评,"[(0, 0.039015416), (1, 0.9269695), (2, 0.034015104)]",1
冷暖 效果 效果 静音 效果 送货 安装 师傅 不错 好评,"[(0, 0.9218001), (1, 0.038112074), (2, 0.04008784)]",0
送货 安装 售后服务 没人来 安装 询问 客服 自动 回复,"[(0, 0.035680518), (1, 0.928651), (2, 0.035668526)]",1
特惠 送货 不准 后期 安装费 承担 实体店 活动,"[(0, 0.04936523), (1, 0.04508161), (2, 0.9055532)]",2
送货 安装 送到 十天 安装 客服 有人 白等 十天,"[(0, 0.03848576), (1, 0.92263484), (2, 0.038879342)]",1
双十 付定金 下单 收到 快递 速度 不错 货到 家后 很快 有人 安装 安装 师傅 态度 安装 漂亮 安装 付款 配件 价格 安装 完后 京东 客服 这款 空调 享受 国家 节能 减排 政策 介绍 活动 享受 国家 政策 国家 政策 背道而驰,"[(0, 0.011268416), (1, 0.011645257), (2, 0.9770863)]",2
一家 三台 空调 到货 商家 物流,"[(0, 0.057547074), (1, 0.8907817), (2, 0.051671207)]",1
送货 安装 安装 买家 安装 师傅 购买 安装 工具 提供 免费 安装,"[(0, 0.028226843), (1, 0.9443406), (2, 0.027432535)]",1
送货 安装 来到 星期 安装 怎么回事 一会 一会 明天 装到 过年,"[(0, 0.9371493), (1, 0.031606097), (2, 0.031244647)]",0
包装 师傅 送货 打开 观看 整体 效果 不错 到货 几天 师傅 安装 美的 品牌 期待 效果,"[(0, 0.022269802), (1, 0.95434994), (2, 0.02338032)]",1
物流 安装 喊人 安装 保修 安装,"[(0, 0.051145412), (1, 0.8986944), (2, 0.050160203)]",1
静音 效果 冷暖 效果 不错 送货 安装 满意 早上 下单 显示 送货 通知 北京 无货 外地 调货 之间 客服 沟通 几次 告知 不知 啥事 到货 我定 产品 定义 虚拟 产品 商品 送到 耽误 一周 糟心,"[(0, 0.010975672), (1, 0.9784678), (2, 0.010556531)]",1
安装 师傅 服务 送货 满意 时间 打电话 在家 白等,"[(0, 0.0380734), (1, 0.920329), (2, 0.041597612)]",1
质量 疫情 期间 送货 安装 客服 提前 安装 后期 沟通 一团糟 天气炎热 多花 好几百 安装,"[(0, 0.023783445), (1, 0.95299125), (2, 0.023225358)]",1
送货 很快 安装 师傅 第二天 上午 十点 安装 十点 打电话 下午 一点 一点 没来 打电话 第二天 安装 办法 客服 打电话 人来 安装 马虎 省事 窗户 多加 一米 管多花 一百块 美的 印象,"[(0, 0.0117291175), (1, 0.97709435), (2, 0.011176514)]",1
下单 去年 月份 库存 产品 空调 开机 一股 鸡蛋 味道 京东 自营 物流 送货 湘鹏 物流 送货 电器,"[(0, 0.01974493), (1, 0.021085294), (2, 0.9591698)]",2
物流 不错 送货 不错 安装 流程 极差 时间 请假 安装 下午 没来 明说 改天 接受 时间,"[(0, 0.021846432), (1, 0.025686147), (2, 0.95246744)]",2
送货到 安装 预约 时间 打电话 安装 师傅 电话 不接 糟糕 体验,"[(0, 0.64301395), (1, 0.32470113), (2, 0.032284934)]",0
物流 很快 推单 导致 师傅 安装 耽误 时间 浪费,"[(0, 0.03847471), (1, 0.25651303), (2, 0.7050123)]",2
商品 页面 春节 打烊 安装 送货 没法 安装 这不纯 扯淡 客服,"[(0, 0.030917976), (1, 0.9370382), (2, 0.032043878)]",1
东西 物流 确实 不行 预估 送达 几次 我点 提前 送达 送到 安装 高额 安装费 补贴 客服 沟通 几天 补贴 噱头 美的 服务 真心,"[(0, 0.015901461), (1, 0.020009758), (2, 0.9640888)]",2
快递 六天 师傅 不来 安装 推脱 夏天 结束 安装,"[(0, 0.92593735), (1, 0.039059974), (2, 0.035002645)]",0
快递 小哥 背上 安装 整麻 安装费 支架 高空作业 铜管 打洞费 空调 六百多 免费 安装,"[(0, 0.026408417), (1, 0.94970024), (2, 0.023891384)]",1
送货 客服 打电话 预约 安装时间 安装时间 预约 安装 客服 态度 不好 安装 当天 下午 没人来 打电话 一问 吓一跳 我家 地址 搞错 压根 预约 安装 没个 道歉 一句 安装 师傅 电话 气不气 安装 师傅 不错 晚上 安装 晚上 点半才 安好 用户 体验 不爽 望查 环节 该罚 惩就惩,"[(1, 0.9842926)]",1
家里 三台 美的 风酷 外机重 千克 手机 控制 晚上 还会 环境光 关闭 屏显 安装 师傅 还行 分钟 真空 第一台 半年 外机 声音 确实 更大 内机 一开 塑料件 吱响 安装 服务 安装 师傅 下单 绑定 安装 延误 几天 申请 只能 申请 五台 空调 五台 延误 送货 时间 只能 账号 账号 关系 玩不起 绑定 服务,"[(1, 0.98636985)]",1
这分 评给 物流 大件 物流 京东 委托 日顺 京东 日顺 管理 措施 反复 预约 确认 送货 时间 爽约 爽约 告知 想要 京东 客服 确认 只会 配送 师傅 主动 一概不知 建议 配送 时间 客户 选择 天猫 官方 店上 顺送 起码 适时 更新 物流 信息 准确,"[(2, 0.9829499)]",2
送货 安装 谈好 时间 守时 商家 给出 时间 达成 接受 地方 异常 给出 快捷 联系方式 评价 有人 安装,"[(0, 0.019262733), (1, 0.96194065), (2, 0.01879661)]",1
物流 星期 到家 四天 没人 安装 半个 答复 北方 夏天 空调 冬天 暖气 估计 安装 夏天,"[(0, 0.02097118), (1, 0.9580038), (2, 0.021024939)]",1
物流 差劲 送到 箱子,"[(0, 0.82915676), (1, 0.09614431), (2, 0.074698955)]",0
物流 商家 货不发,"[(0, 0.11537126), (1, 0.78942716), (2, 0.09520161)]",1
送货 安装 师傅 态度 真差,"[(0, 0.8623929), (1, 0.07306633), (2, 0.06454076)]",0
送货 安装 安装 垃圾 乱收费,"[(0, 0.87058896), (1, 0.0695503), (2, 0.059860762)]",0
物流 送货 态度 时效性 太慢,"[(0, 0.864735), (1, 0.070066616), (2, 0.0651984)]",0
物流 极差 安装 极差,"[(0, 0.0699595), (1, 0.8553766), (2, 0.074663945)]",1
送货 安装 安装 太慢 没法,"[(0, 0.06258505), (1, 0.8776812), (2, 0.05973379)]",1
服务态度 物流 态度恶劣 店大欺客,"[(0, 0.07542446), (1, 0.8543608), (2, 0.07021471)]",1
很差 送错 型号 下单 安装 补贴费 送错 型号 换回来 安装 补贴 申请 京东 服务 很差 下次 再也 打算 京东 物件 送货 安装 服务 一流,"[(0, 0.9704352), (1, 0.015180424), (2, 0.014384386)]",0
美的 售后服务 真的 很差 空调 送货 安装 美的 预约 安装 安装 空调 两天 无语 建议 空调 美的,"[(0, 0.021160545), (1, 0.95895666), (2, 0.019882822)]",1
物流 太慢 客服 时间 推迟 空调 噪音,"[(0, 0.20699376), (1, 0.7472017), (2, 0.0458046)]",1
收到 破损 外机 星期 下单 更换 预约 周六 送货 没送 星期天 点半前 送货 中午 送来 物流 差劲 诚信 商家 售后 更是 糟糕 售后,"[(0, 0.96732855), (1, 0.015934367), (2, 0.016737094)]",0
安装 送货 怀疑 配送 协调员 沟通 能力 办事 能力,"[(0, 0.92826456), (1, 0.03627256), (2, 0.035462856)]",0
物流 送货 很快 按装 环节 差劲 态度 差劲,"[(0, 0.91366315), (1, 0.044752236), (2, 0.041584644)]",0
送货 安装 售后 安装 告诉 安装 空调 墙体 没法 态度 恶劣 投诉 无人管,"[(0, 0.029202733), (1, 0.33842152), (2, 0.6323757)]",2
发货 安装 送货 半个 安装 半个 客服 解决问题 推卸责任 体验 极差,"[(0, 0.030971996), (1, 0.93892103), (2, 0.030106941)]",1
送货 安装 打电话 来回 推拖 客服 安装 客服 客服 像是 机器人 对不上 回答,"[(0, 0.025764959), (1, 0.9488638), (2, 0.025371293)]",1
没用 送货 要死 安装 下单 安装,"[(0, 0.063238636), (1, 0.8868148), (2, 0.049946576)]",1
送货 安装 垃圾 售后 没见 美的 差劲 安装 服务 安装 人员 私自 撕毁 保修卡,"[(0, 0.029878596), (1, 0.94648695), (2, 0.023634443)]",1
运行 噪音 睡眠 不好 慎重 购买 品牌 空调 一台 购买 一台 选择 京东 自营 想着 差点 买来 父母 京东 一记 耳光 送货 安装 一体 安装 收取 费用 包含 加长 铜管 支架 父亲 购买 合适 插头 京东 赠送 安装 补贴 特别 官方 总体 安装 收费 安装 师傅 出示 收费 标准 解释 办法 消费者 只能 笑默 承受 想不通 同个 品牌 特别强调 购买 利润 鬼话,"[(0, 0.98844635)]",0
物流 很快 安装 差劲 到货 几天 安装 有空 安装 夏天,"[(0, 0.033619575), (1, 0.93428993), (2, 0.032090463)]",1
客服 退款 送货员 约定 时间 送到 家人 白等 时间 安装 人员 体验 感受,"[(0, 0.027244313), (1, 0.03424455), (2, 0.93851113)]",2
体验 没收 到货 快递 第一天 好几个 电话 上门 安装 送货 两天 影子 客服 态度 不好 购买 格力,"[(0, 0.9497893), (1, 0.029104613), (2, 0.021106118)]",0
售后 送货 时原 推到 强烈要求 改为 送货 天内 给予 安装 预约 客服 电话 解决问题 给予 安装 予以 退货,"[(0, 0.020721305), (1, 0.023471985), (2, 0.95580673)]",2
商品 安装 唯独 送货 物流 超级 满意 配送 龟速 京东 投诉 客服 给予 诉求 解决 虚设 部门 不想 京东 购买 家电,"[(0, 0.01759797), (1, 0.018568372), (2, 0.9638337)]",2
送货 安装 空调 配送 安装 客服 三天 安装 客服 态度 解决问题 空调 慎重 售后 很差,"[(0, 0.026877455), (1, 0.950191), (2, 0.022931531)]",1
评价 差评 物流 京东 第一次 京东 物流 送货 人员 态度 站点 更差 站点 投诉率 下次 站点 东西 退货 连续 几单 全是 站点 送货员 全是 态度 不行,"[(0, 0.013976853), (1, 0.9719999), (2, 0.014023305)]",1
一星給 物流 拖拉 时间 严重破坏 京东 信誉 物流 包装 差劲,"[(0, 0.033316772), (1, 0.93412125), (2, 0.03256199)]",1
送货 安装 差评 物流 沟通 对接 工人 安装 消费者 安装,"[(0, 0.035710886), (1, 0.9321967), (2, 0.0320925)]",1
凌晨 物流 显示 配送 站点 签收 早上 打电话 询问 站点 站点 答复 下午 晚上 送货 日晚 快递 打电话 到货 单子 下京配 站点 小时 货物 到货 客户 看不见 物流 信息 诱导 客户 收到 情况 点击 签收 京东 多年 第一次 差评 安装 服务 满意,"[(1, 0.9829823)]",1
送货 速度 太慢 淘宝 购买 还慢 购买 安装 星期 空调 回收 走要 天货才 送到 高温 天气 受不了 客服 一点 效果 差劲,"[(0, 0.96619225), (1, 0.01742367), (2, 0.016384108)]",0
配送 延迟 安装 延迟 人工 客服 机器人 订单 一个多 星期 空调 安装 京东 物流 美的 客服 态度,"[(0, 0.021485271), (1, 0.32535163), (2, 0.6531631)]",2
体验 配送 快递 申请 退款 物流 服务态度 安装 人员 安装 无语,"[(0, 0.034307905), (1, 0.9262014), (2, 0.039490707)]",1
安装 师傅 服务态度 快递 送货 太慢 空调 速度 极快 送货 速度 极慢 东莞 三天 快递 服气 差评 快递 周转,"[(0, 0.96309465), (1, 0.019139763), (2, 0.017765542)]",0
送货 太慢 几天 到货 拖时间 没空 安装 谨慎 购买 格力 实体店,"[(0, 0.0308832), (1, 0.9387928), (2, 0.030323973)]",1
送货 太慢 网购 预约 安装 始终 变种 我店 商品 变质,"[(0, 0.034830432), (1, 0.9297284), (2, 0.035441224)]",1
配送 物流 安装 时间 京东 文字游戏 上当 极速 安装 延误 送到 时间 物流 下单 超过 小时 配送 满意,"[(0, 0.019743152), (1, 0.9601542), (2, 0.020102695)]",1
六月 一日 下单 店家 三号 送货 三号 打电话 五号 五号 七号 不乐意 搁着 说话 劲儿 往后 推是 同意 延期 依旧 七号 我想安 西墙 安东 提前 布好 插座 没用 卧室 布局 安装 事儿 我家 两台 空调 镇子 实体店 外机 支架 收费 外机 支架 额外收费 空调 价格 便宜 京东 价格 本来 京东 家电 更快 用券 便宜 快递 还足发 星期 恶心,"[(0, 0.9879246)]",0
物流 客服 超过 四分钟 通知 沟通 隔天 电话 不上 关机,"[(0, 0.032786917), (1, 0.9335009), (2, 0.033712152)]",1
客服 人员 态度 太差 电话 送货 网站 宣传 不服 虚假 宣传 小时 下回 星期 到货 就行 春节 打烊 小孩 上当受骗,"[(0, 0.017177137), (1, 0.9654192), (2, 0.017403657)]",1
商品 到货 时间 太长 八天 到货 安装 师傅 态度 不好 拆机 费用 符合实际 情况 物流 太慢 满意 购物,"[(0, 0.019558882), (1, 0.96145433), (2, 0.018986734)]",1
预约 安装时间 几次 安装 延迟 安装 补贴 商家 自送 快递 申请 补偿 单号 商家 京东 得不到 解决 服务 很大 只能 自认倒霉,"[(0, 0.020913482), (1, 0.019249985), (2, 0.95983654)]",2
商品 外包装 破损 快递 不用 安装 人员 外观 破损 折腾 服务 真差,"[(0, 0.034226593), (1, 0.935428), (2, 0.0303454)]",1
旧机 一个月 送货 安装 过分 补偿 欺诈 消费 太过分,"[(0, 0.03735894), (1, 0.038925722), (2, 0.92371535)]",2
物流 送货 很快 只能 美的 售后服务 太差 五天 没人 安装 系统 安装 师傅 电话 打错 客服 几次 耐心 等待 京东 客服 耐心 等待 京东 购物 体验 无语 垃圾,"[(0, 0.013068189), (1, 0.97444654), (2, 0.012485287)]",1
物流 很快 安装 七八天 人来 安装 几次 没用 谨慎 下单,"[(0, 0.03280234), (1, 0.93418497), (2, 0.033012684)]",1
一塌糊涂 散热片 磕碰 样子 送来 外包装 一层 怀疑 库存 外机 散热片 一层 管子 怀疑 一根 管子 外机 没什么 份量 空调 外机 搬得动 送货 忽悠 安装 开封 开封 验货 出声 招呼 跑掉 检查 忽悠,"[(0, 0.010925766), (1, 0.0104323), (2, 0.978642)]",2
送货 安装 协调 一堆 打电话 预约 客服 几天 没约 安排 安装 人员 客服 重复 安排 客户 提供 安装 人员 电话 核实 真够 乌龙,"[(0, 0.015756961), (1, 0.20059112), (2, 0.78365195)]",2
差评 服务 周一 送货到 预约 周四 安装 周四 安装 师傅 收到 推送 订单 客服 奇葩 一群,"[(0, 0.9572776), (1, 0.021901345), (2, 0.020821044)]",0
大件 小件 家电 京东 快递 配送 安装 满意 以旧换新 空调 上门 回收 收费 家里 老人 给钱 咨询 客服 费用 一周 回复 京东 服务 失望,"[(0, 0.124848075), (1, 0.8602313), (2, 0.014920633)]",1
同一个 地址 天下 单买 配送 日下 当天 电话 预约 配送 配送 家里 有事 预约 配送 早上 打电话 告诉 一台 配送 奇怪 提前 下单 本来 预留 多天 送货 当天 告诉 下单 现货 调仓 京东 自营 服气 两台 本来 约定 下雨 配送 外包装 淋雨 京东 物流,"[(0, 0.9836485)]",0
周一 三台 空调 送货到 预约 周四 上门 安装 师傅 收到 一台 推送 订单 十一点 两点 客服 推送 收到 失望 一群 客服 奇葩,"[(0, 0.9683068), (1, 0.016388725), (2, 0.015304496)]",0
送货 三天 师傅 安装 差评 客服 敷衍了事 一点 负责 美的,"[(0, 0.91972125), (1, 0.046640657), (2, 0.033638146)]",0
京东 快递 服务态度 真差 送到 小区 门口 扔下 送上门 物流 电话 没人接 失望,"[(0, 0.5764661), (1, 0.028514434), (2, 0.39501947)]",0
快递 要死 手机,"[(0, 0.8225269), (1, 0.090053126), (2, 0.08742)]",0
手机 商家 物流,"[(0, 0.80222964), (1, 0.10113334), (2, 0.096636996)]",0
京东 快递 暴力,"[(0, 0.11450098), (1, 0.77504), (2, 0.11045907)]",1
快递 箱子 保护,"[(0, 0.11542453), (1, 0.790216), (2, 0.09435945)]",1
快递 天有 城市,"[(0, 0.8240283), (1, 0.08873489), (2, 0.08723681)]",0
物流 纸盒 破损 手机 纸质 拉环 破损,"[(0, 0.045645844), (1, 0.9102044), (2, 0.044149715)]",1
收到 快递 拆开 边框,"[(0, 0.32320616), (1, 0.073464066), (2, 0.6033297)]",2
用电 特别 物流 几天 签收,"[(0, 0.057920985), (1, 0.8817073), (2, 0.060371682)]",1
快递 封口 快递 盒子 快递 掉包,"[(0, 0.898065), (1, 0.0504379), (2, 0.051497176)]",0
快递 未经 同意 手机 蜂巢,"[(0, 0.8851623), (1, 0.05706993), (2, 0.05776781)]",0
外观 缺口 物流 原因 几天 退货 电话 不通 没开,"[(0, 0.035016946), (1, 0.92940193), (2, 0.03558112)]",1
东西 没收 签收 快递 电话 永远 不通,"[(0, 0.05135262), (1, 0.902986), (2, 0.045661382)]",1
发货 送货 一个月 京东 客服,"[(0, 0.064154975), (1, 0.87366027), (2, 0.06218476)]",1
拆开 快递 摔成 暴力,"[(0, 0.07611082), (1, 0.07230742), (2, 0.8515818)]",2
物流 极慢 充版 配件 全到 缺少 充头,"[(0, 0.043370496), (1, 0.043095954), (2, 0.91353357)]",2
客服 快递 瞬间 保障,"[(0, 0.07603452), (1, 0.075298175), (2, 0.8486673)]",2
一言难尽 物流 送错 城市 盒子,"[(0, 0.07027549), (1, 0.86982894), (2, 0.05989558)]",1
一个月 换货 充电 收到 每次 运输,"[(0, 0.06759262), (1, 0.88088167), (2, 0.05152571)]",1
封条 撕开 一半 打开 手机 灰尘 京东 快递,"[(0, 0.91762555), (1, 0.041849516), (2, 0.040524956)]",0
充电 中途 运输 耗损,"[(0, 0.86019063), (1, 0.07159632), (2, 0.06821304)]",0
快递 服务态度 送货 速度慢 效率 低下,"[(0, 0.8921938), (1, 0.05221189), (2, 0.055594265)]",0
送货 手机 质量 耗电 极快 估计 水货,"[(0, 0.0481654), (1, 0.9083419), (2, 0.04349272)]",1
快递 员帮 签收 到手 注册,"[(0, 0.061676178), (1, 0.8595853), (2, 0.07873854)]",1
快递 没拿到 降价 忘记 服务,"[(0, 0.8831227), (1, 0.058221802), (2, 0.058655538)]",0
晚上 点才 送到 快递 拿到 手机 降价 申请 保价,"[(0, 0.26057497), (1, 0.038520377), (2, 0.70090467)]",2
手机 前置 快递 瘫痪 不上 客服 回购,"[(0, 0.05028795), (1, 0.047502078), (2, 0.90220994)]",2
充电 充电器 充电器 看不见 物流 信息,"[(0, 0.05393826), (1, 0.052390847), (2, 0.89367086)]",2
海欣 福州 肉燕 火锅 食材 福州 特产 小吃 速食 半成品 生鲜 添加 马蹄 收到 新鲜 肉燕加 一点 马蹄 脆爽 味道 很鲜 物流 五星 好评,"[(0, 0.014475155), (1, 0.96553564), (2, 0.019989228)]",1
描述 完全一致 满意 发货 速度 包装 仔细 严实 物流 公司 服务态度 运送 速度 很快 满意 购物 东买 东西 放心,"[(0, 0.017933058), (1, 0.9640203), (2, 0.018046571)]",1
京东 自营 自然 速度 自然 快递 小哥 服务态度 送到 楼下 保险箱 装着 鲜品 真的 生产日期 保质期 不错 自营 东西 家里 冰柜 活动,"[(0, 0.016423669), (1, 0.017169168), (2, 0.9664071)]",2
东西 店家 描述 货真价实 物流 下单 二三天 收到 确实 不错 描述 一模一样,"[(0, 0.027701639), (1, 0.9414649), (2, 0.03083345)]",1
货早 收到 好吃 特别 小孩 喜欢 物流 很快 京东 购物 真的 放心 质量 价格合理 快递,"[(0, 0.02295949), (1, 0.95346105), (2, 0.023579456)]",1
真心 不错 送货 好吃 不错 喜欢 京东 东西 失望 希望 京东 支持 京东,"[(0, 0.026531268), (1, 0.94185066), (2, 0.03161811)]",1
包装 结实 东西 保护 值得 好评 产品 真的 超级 下次 还会 越做越 购物 体验 理想 产品 质量 不错 物流 很快 值得 点赞,"[(0, 0.016348984), (1, 0.47681648), (2, 0.5068345)]",2
早上 下单 到货 物流 速度 超级 给力 小哥 递送 肉燕 新鲜 不错 购买 购买 点赞,"[(0, 0.025319017), (1, 0.32081383), (2, 0.6538671)]",2
海信 五福临门 组合 套餐 鱼丸 豆腐 解绑 丸子 组合 关东煮 火锅 食材 产品 描述 相符 套餐 味道 不错 香味扑鼻 产品 包装盒 结实 快递 很快,"[(0, 0.014432008), (1, 0.017004184), (2, 0.9685638)]",2
京东 自营 海欣 鱼丸 鱼丸 味道 口感 不错 面放 几个 做个 鱼丸 粉丝汤 好吃 火锅 不错 京东 快递 送货上门 方便快捷,"[(0, 0.016897172), (1, 0.017094953), (2, 0.9660079)]",2
生鲜 京东 不用 超市 提太 日期 新鲜 选择 京东 京东 送货 活动 期间 价格 超市 便宜 回购,"[(0, 0.94853365), (1, 0.025385264), (2, 0.026081102)]",0
满意 服务态度 下次 还会来 满意 购物 客服 态度 物流 很快 下次 还会 光顾 满意 购物 还会 光顾 好评,"[(0, 0.018999979), (1, 0.39862496), (2, 0.58237505)]",2
京东 商城 购买 商品 质量保证 物流 管理系统 到位 服务态度 购买 鱼丸 好吃 复购 买来 吃火锅 汤锅,"[(0, 0.02184208), (1, 0.9532396), (2, 0.024918264)]",1
过年 吃火锅 能少 丸子 东西 大包装 丸子 吃不完 幸好 这款 海欣 五福临门 丸子 多种 口味 正好 挺好吃 京东 商城 物流 速度 很快,"[(0, 0.015353928), (1, 0.015956955), (2, 0.96868914)]",2
豆腐 在家 火锅 绝配 京东 这款 豆腐 下单 潮州 撒尿 牛丸 福州 鱼丸 物流 超快 第二天 送达 豆腐 口感 特别 配上 辣锅 一口 美极了 享受,"[(0, 0.6977473), (1, 0.01539396), (2, 0.28685877)]",0
评价 好物 收到 日期 品尝 评价 送货 发货 速度 特别 品尝 感觉 感觉 好吃 样子 感觉 还会 回购,"[(0, 0.019166172), (1, 0.959167), (2, 0.021666823)]",1
过年 吃火锅 丸子 一类 东西 喜欢 海欣 火锅 丸子 一类 京东 上海 丸子 活动 赶紧 下单 买回来 物流 地快 包装 严密 价格 味道 不错 推荐 购买,"[(0, 0.01364028), (1, 0.014902472), (2, 0.97145724)]",2
京东 物流 很快 服务态度 日期 新鲜 优惠 力度 实惠 鱼丸 味道 不错 包装 推荐 购买 很赞 好评,"[(0, 0.02088361), (1, 0.37161842), (2, 0.607498)]",2
海欣鱼 豆腐 不错 口感 弹性 还会 购买 京东 快递 很快 第二天 到货 真的 不错,"[(0, 0.025028054), (1, 0.5371624), (2, 0.43780953)]",1
第一次 网上 购生 鲜品 实惠 收到 几个 面条 口感 不错 有劲 味道 香浓 个头 包装 收到 冰凉 新鲜 打开 弹性 鱼丸 鱼丸 米粉 汤头 鲜甜 赞不绝口 同类 商品 送货 快递 送来 冰都 没化 好吃 鱼丸 牛肉丸 鱼丸,"[(2, 0.9808115)]",2
包装 完好无损 干净 整洁 快递 服务态度 商品质量 信得过 保质保量,"[(0, 0.9295656), (1, 0.03556891), (2, 0.034865484)]",0
