评论内容,fenci,主题概率,主题类型
一开始有点小乌龙，但是很好的解决了，酒店住起来很舒服,很好 解决 酒店 舒服,"[(0, 0.014286181), (1, 0.014286204), (2, 0.37187204), (3, 0.01428626), (4, 0.014286199), (5, 0.014286256), (6, 0.014286182), (7, 0.45669356), (8, 0.014286154), (9, 0.0142861735), (10, 0.014286196), (11, 0.0142862005), (12, 0.014286197), (13, 0.014286204)]",7
服务态度好，环境优美，很开心，下次来长沙玩，还来！,服务态度 环境优美 开心,"[(0, 0.017857812), (1, 0.017858084), (2, 0.017857939), (3, 0.017857911), (4, 0.76784736), (5, 0.017857794), (6, 0.017857794), (7, 0.017857902), (8, 0.01785793), (9, 0.017857866), (10, 0.017858071), (11, 0.017857851), (12, 0.017857818), (13, 0.017857883)]",4
非常满意！,满意,"[(0, 0.035714645), (1, 0.03571457), (2, 0.035714604), (3, 0.03571461), (4, 0.5357101), (5, 0.0357145), (6, 0.035714522), (7, 0.03571456), (8, 0.03571459), (9, 0.035714533), (10, 0.035714693), (11, 0.035714544), (12, 0.035714593), (13, 0.035714976)]",4
酒店很干净 氛围也很好,酒店 干净 氛围,"[(0, 0.01785772), (1, 0.017857723), (2, 0.017857853), (3, 0.76784915), (4, 0.017857736), (5, 0.017857755), (6, 0.017857723), (7, 0.0178578), (8, 0.017857768), (9, 0.017857742), (10, 0.017857758), (11, 0.017857788), (12, 0.017857738), (13, 0.017857762)]",3
服务到位，干净整洁，还有饮品赠送。,服务到位 干净 整洁 饮品 赠送,"[(0, 0.01190642), (1, 0.011906464), (2, 0.011906528), (3, 0.84521616), (4, 0.011906409), (5, 0.011906398), (6, 0.011906457), (7, 0.011906462), (8, 0.01190641), (9, 0.011906456), (10, 0.01190641), (11, 0.011906442), (12, 0.011906533), (13, 0.011906454)]",3
民宿的小哥哥小姐姐很热情，装修风格复古有格调，也非常适合拍照！！我们住的是爱丽丝，绿色的房间很特别，推荐入住～,民宿 热情 装修 风格 格调 拍照 绿色 房间 推荐 入住,"[(4, 0.91558117)]",4
很棒，民宿很有风格，环境卫生都很好，服务也好！,很棒 民宿 风格 环境卫生,"[(0, 0.014286021), (1, 0.8142817), (2, 0.014286037), (3, 0.0142860105), (4, 0.014285989), (5, 0.014285996), (6, 0.014285997), (7, 0.01428604), (8, 0.014286009), (9, 0.014286053), (10, 0.014286011), (11, 0.014286083), (12, 0.014285992), (13, 0.014286033)]",1
位置很好。所有玩的地方基本上走路都能到。,位置 地方 走路,"[(0, 0.46171388), (1, 0.017857714), (2, 0.017857688), (3, 0.32399294), (4, 0.017857831), (5, 0.017857755), (6, 0.017857844), (7, 0.017857732), (8, 0.017857715), (9, 0.017857758), (10, 0.017857835), (11, 0.017857693), (12, 0.017857855), (13, 0.017857753)]",0
环境非常好，位置也不错，值得入住。,环境 位置 不错 值得 入住,"[(0, 0.011905005), (1, 0.01190503), (2, 0.011904972), (3, 0.011905031), (4, 0.011904953), (5, 0.011905002), (6, 0.011904997), (7, 0.011904986), (8, 0.011904997), (9, 0.01190502), (10, 0.011905001), (11, 0.011905009), (12, 0.011905006), (13, 0.845235)]",13
智能马桶和吹风机真的不擦,智能 马桶 吹风机,"[(0, 0.01786069), (1, 0.017860763), (2, 0.017860806), (3, 0.017860815), (4, 0.017860828), (5, 0.01786091), (6, 0.01786069), (7, 0.017860742), (8, 0.3708204), (9, 0.41485015), (10, 0.017860759), (11, 0.017860886), (12, 0.0178608), (13, 0.017860757)]",9
房间很漂亮 名宿很漂亮,房间 很漂亮 名宿 很漂亮,"[(0, 0.014286268), (1, 0.014286287), (2, 0.014286317), (3, 0.014286253), (4, 0.01428625), (5, 0.014286208), (6, 0.014286312), (7, 0.8142786), (8, 0.014286238), (9, 0.014286226), (10, 0.014286247), (11, 0.014286232), (12, 0.0142862545), (13, 0.014286267)]",7
这次去住了四天，换了三个房型，每次都体验不同房型的感觉，房东服务很好，每次换的时候都帮我们搬行李，最满意的房型是忘江南，然后是常乐，其次是南风憩，卫生也很干净，而且三个房型都有两个卫生间，入住和退房也很方便，省了不少时间，虽然有点偏，但是离地铁口很近，长沙的地铁比较方便，楼下还有商场和夜市，总体来说性价比高，值得入住,房型 体验 房型 感觉 房东 行李 满意 房型 常乐 卫生 干净 房型 卫生间 入住 退房 时间 地铁口 地铁 商场 夜市 总体 性价比 值得 入住,"[(12, 0.9628549)]",12
离地铁一号线马厂站只需走路几分钟，一号线有五一广场，坐五站就到，打车也方便，楼下就是商圈，茶颜悦色臭豆腐小龙虾都有，房间很干净，有一边的床还延伸了进去，感觉带孩子的话可以让娃进去睡，哈哈！洗澡干湿分离，空调凉爽，三台电梯也很快，很方便，总的来说很满意，就是房间没照几张，光留下了长沙美食的照片了！,地铁 一号线 马厂 走路 一号线 打车 商圈 臭豆腐 房间 干净 延伸 感觉 孩子 洗澡 干湿 分离 空调 凉爽 电梯 满意 房间 没照 留下 美食 照片,"[(8, 0.96428233)]",8
公寓挺舒服，入住时候挺干净的，有大投影，投屏很快，管家很耐心，会提前联系，开门用的密码锁，全程自己搞掂就好了，非常方便，下次来长沙还住这里，五星好评,公寓 入住 干净 有大 投影 投屏 管家 耐心 提前 开门 密码锁 全程 搞掂 好评,"[(9, 0.93808925)]",9
房间干净整洁，有家的感觉.服务非常到位.对于出游路线都提供了具体图片和标志牌.非常的热情,房间 干净 整洁 感觉 到位 路线 提供 图片 标志牌 热情,"[(7, 0.91557896)]",7
酒店很新，设施也很人性化，很多摆设都很有格调，很多硬件软件看得出房东是很有品味！而且管家也很快回复！不枉费我是看了两个小时民宿精挑细选才选出来的哈哈，家里人都赞不绝口 性价比非常高地理位置十分安全，不像是五一那边的旧城区 我首先就排除掉了！真心推荐 ！！感觉自己的宝藏被发现了,酒店 设施 人性化 摆设 格调 硬件 软件 看得出 房东 品味 管家 回复 枉费 小时 民宿 精挑细选 选出 性价比 地理位置 像是 排除 推荐 感觉 发现,"[(7, 0.96285194)]",7
卫生很不错，进来第一眼就很喜欢，老板人也很好，在这里住了三天，好评！,卫生 不错 喜欢 老板 好评,"[(0, 0.011905114), (1, 0.011905094), (2, 0.011905094), (3, 0.011905161), (4, 0.011905077), (5, 0.011905185), (6, 0.011905071), (7, 0.011905088), (8, 0.011905092), (9, 0.011905096), (10, 0.011905089), (11, 0.8452336), (12, 0.011905129), (13, 0.011905109)]",11
房间很大，整体的设计非常有年轻人的风元素入住很舒服，一进去就有超级的感觉，非常推荐入住，小姐姐也人很好。时间很晚，还在帮忙回复入住的细节信息。入住很满意，期待下一次来长沙，可以体验他们家其他风格的房间。,房间 很大 整体 年轻人 元素 入住 舒服 感觉 推荐 入住 时间 帮忙 回复 入住 细节 信息 入住 满意 期待 体验 风格 房间,"[(13, 0.9596246)]",13
地处不是非常热闹的地方，不过附近有广场，沃尔玛，盒马鲜生。 房间小朋友非常喜欢，因为有滑梯跟海洋球，楼下一张床，楼上两张床，楼上的两个房间是用一个窗帘隔开的，楼上还有麻将桌。 缺点就是两个卫生间的窗没有窗帘，虽然窗不大，房间又在9楼，但是光着身子对着大马路，总觉得不自在，建议店里装一下。,热闹 地方 广场 盒马 鲜生 房间 小朋友 喜欢 滑梯 两张床 房间 窗帘 隔开 麻将桌 缺点 卫生间 窗帘 房间 身子 建议 店里,"[(10, 0.957789)]",10
挺好，宽敞，适合出游,宽敞 适合,"[(0, 0.6904678), (1, 0.023810148), (2, 0.023810195), (3, 0.023810148), (4, 0.023810158), (5, 0.023810081), (6, 0.023810225), (7, 0.023810223), (8, 0.023810266), (9, 0.023810191), (10, 0.023810131), (11, 0.023810113), (12, 0.023810185), (13, 0.02381018)]",0
位置很好找，客服也有问必答，房间空间挺大的，一家三口住相当够，对比了同样房型的民宿，这家性价比非常高，采光也很好，楼下是商业街，吃喝玩乐都很方便,位置 好找 客服 房间 空间 挺大 房型 民宿 性价比 采光 商业街,"[(12, 0.9226112)]",12
房间很中式，很有特点，住进来很有古风的感觉。屋里很大，楼下就是商场美食街，离马厂地铁也很近，楼下就有停车场可以直通楼上很方便！,房间 中式 古风 感觉 很大 商场 马厂 地铁 停车场 直通,"[(5, 0.915578)]",5
房间很舒服，装修风格很喜欢，设施设备齐全，服务态度很好，布草和卫生都很干净，价格合理，强烈推荐大家入住，唯一小缺点就是退房不能延迟到两点,房间 舒服 装修 风格 喜欢 设施 服务态度 卫生 干净 价格合理 入住 缺点 退房 延迟,"[(2, 0.93809223)]",2
设施：很新很齐全 卫生：整洁干净，很有家的感觉 服务：管家贴心到位，很不错！ 总体评价：值得入住，冲冲冲！,设施 卫生 整洁 干净 感觉 管家 贴心 到位 不错 总体 评价 值得 入住,"[(12, 0.93367183)]",12
挺好的，房间干净整洁，管家服务热情周到。下次来长沙玩的话，一定还会再来,房间 干净 整洁 管家,"[(0, 0.014285937), (1, 0.014285923), (2, 0.014285935), (3, 0.81428283), (4, 0.014285932), (5, 0.014285913), (6, 0.014285903), (7, 0.014285977), (8, 0.01428591), (9, 0.014285982), (10, 0.014285944), (11, 0.014285941), (12, 0.014285965), (13, 0.01428591)]",3
新的房间，干净整洁，楼下就有盒马，离地铁口也挺近，几分钟就到了,房间 干净 整洁 地铁口,"[(0, 0.014286068), (1, 0.014286051), (2, 0.014286032), (3, 0.01428608), (4, 0.014286056), (5, 0.014286013), (6, 0.0142860385), (7, 0.014286034), (8, 0.014286083), (9, 0.014286069), (10, 0.014286076), (11, 0.8142813), (12, 0.014286071), (13, 0.014286046)]",11
设施：非常好 卫生：非常好 环境：非常好 服务：非常好,设施 卫生 环境,"[(0, 0.017857285), (1, 0.76785517), (2, 0.017857306), (3, 0.017857285), (4, 0.017857265), (5, 0.017857274), (6, 0.017857257), (7, 0.01785728), (8, 0.017857296), (9, 0.017857289), (10, 0.017857267), (11, 0.017857376), (12, 0.01785737), (13, 0.017857289)]",1
房间干净，4口入住的，很喜欢，下次还会光顾的,房间 干净 入住 喜欢 光顾,"[(0, 0.011905197), (1, 0.8452327), (2, 0.011905172), (3, 0.011905171), (4, 0.011905179), (5, 0.011905167), (6, 0.011905162), (7, 0.011905164), (8, 0.011905178), (9, 0.011905167), (10, 0.011905184), (11, 0.011905186), (12, 0.011905176), (13, 0.011905172)]",1
环境好，住得舒服！卫生：做的很干净,环境 舒服 卫生 干净,"[(0, 0.014285841), (1, 0.8142839), (2, 0.014285826), (3, 0.014285861), (4, 0.014285871), (5, 0.014285834), (6, 0.014285823), (7, 0.014285868), (8, 0.014285843), (9, 0.014285851), (10, 0.014285829), (11, 0.014285883), (12, 0.014285878), (13, 0.014285859)]",1
房间不错，在长沙订到的最满意的民宿了,房间 不错 订到 满意 民宿,"[(0, 0.011905217), (1, 0.011905192), (2, 0.011905207), (3, 0.0119052045), (4, 0.011905321), (5, 0.01190515), (6, 0.0119051635), (7, 0.011905192), (8, 0.011905201), (9, 0.011905174), (10, 0.011905253), (11, 0.84523225), (12, 0.011905191), (13, 0.011905301)]",11
房间非常好，我很满意,房间 满意,"[(0, 0.023809811), (1, 0.023809725), (2, 0.023809746), (3, 0.023809744), (4, 0.69047296), (5, 0.023809673), (6, 0.023809714), (7, 0.023809733), (8, 0.02380979), (9, 0.023809703), (10, 0.02380986), (11, 0.023809766), (12, 0.023809781), (13, 0.023809947)]",4
服务好 住得舒服,舒服,"[(0, 0.03571464), (1, 0.035714794), (2, 0.035714604), (3, 0.035714775), (4, 0.035715006), (5, 0.035714734), (6, 0.035714727), (7, 0.53570837), (8, 0.03571463), (9, 0.035714682), (10, 0.035714656), (11, 0.035714786), (12, 0.03571474), (13, 0.03571484)]",7
和图片一样，很好,图片,"[(0, 0.0357156), (1, 0.035715517), (2, 0.035715517), (3, 0.035715558), (4, 0.03571573), (5, 0.03571564), (6, 0.035715636), (7, 0.5356968), (8, 0.0357157), (9, 0.03571559), (10, 0.03571575), (11, 0.035715565), (12, 0.035715695), (13, 0.035715714)]",7
很喜欢她们的院子,喜欢 院子,"[(0, 0.023809988), (1, 0.02381003), (2, 0.023809986), (3, 0.023809943), (4, 0.023809945), (5, 0.023809966), (6, 0.023809949), (7, 0.023810016), (8, 0.023810025), (9, 0.023809899), (10, 0.023809973), (11, 0.02381013), (12, 0.6904702), (13, 0.023809941)]",12
非常满意啦！,满意,"[(0, 0.03571464), (1, 0.035714567), (2, 0.0357146), (3, 0.035714608), (4, 0.5357099), (5, 0.035714496), (6, 0.03571452), (7, 0.035714556), (8, 0.035714585), (9, 0.03571453), (10, 0.035714686), (11, 0.03571454), (12, 0.03571459), (13, 0.03571513)]",4
住的很舒服！,舒服,"[(0, 0.035714608), (1, 0.03571474), (2, 0.03571457), (3, 0.035714727), (4, 0.53570896), (5, 0.03571469), (6, 0.035714682), (7, 0.035714895), (8, 0.035714597), (9, 0.035714645), (10, 0.03571462), (11, 0.035714738), (12, 0.035714693), (13, 0.03571479)]",4
一家令人愉快的酒店，靠近购物广场和地铁站，购物和交通都很方便。这套阁楼公寓装修精美，不失精致，而且非常舒适。太棒了！,愉快 酒店 靠近 购物广场 地铁站 购物 交通 阁楼 公寓 装修 精美 不失 精致 舒适,"[(7, 0.9380857)]",7
地点离市中心很近，走路10分钟就到地铁站，交通方便。定的这个户型，房间楼下也有床，方便老人起夜。提前加微信沟通入住时间，发房间密码，自行入住即可。,地点 市中心 走路 地铁站 交通 户型 房间 老人 起夜 提前 沟通 入住 时间 房间 密码 入住,"[(4, 0.94537467)]",4
适合拍照，随便拍都很出片，本来心情很压抑才出来的 打开房门，很温馨，总的来说，还是很不错了，实惠，是一家自助民宿，老板很好，服务很周到，长沙挺好玩的，玩得地方狠多，,适合 拍照 心情 压抑 打开 房门 不错 自助 民宿 老板 周到 挺好玩 地方,"[(3, 0.93366605)]",3
酒店位置比较便利，周边交通以及用餐都很方便。但这种并不成熟，内部设施除了洗衣机和投影方便，其他都不如酒店。卫生间简直太小了，淋浴间没门，二楼除了床没有任何设施，内侧容易撞头。卫生状况也不太好，马桶不干净。,酒店 位置 便利 交通 用餐 成熟 设施 洗衣机 投影 酒店 卫生间 太小 淋浴间 没门 二楼 设施 撞头 卫生状况 不太好 马桶 干净,"[(11, 0.95778656)]",11
去湖南旅游住了4家民宿，这家最受孩子们喜欢。因为他家有投影，有吊椅。坐标：出地铁2号线芙蓉广场站，步行10分钟设施：坐落在公寓楼内，到位后微信联系，入住小程序押金100元后，发送开门密码。密码不会变化。开启盲盒房——进屋非常满意，一应俱全。1楼：投影，沙发，吊椅，4人餐桌，洗衣机（自备洗衣液），橱柜（无电磁炉或锅具），卫生间2楼：2个隔间分别有1米大床，有布帘可以隔开，但是拉上布帘后有一件房无空调会略热，有电扇可用。有入住须知写的每天20度电，超过从押金中扣，住了2天押金全额退，所以不用担心用电量热水器用电的，但是夏天每人洗澡很快，基本等个10分钟就继续洗澡，水温都是够的。：淋浴房没有门，洗完澡浴室里有些脏，介意的就自己用旁边的拖把擦一下吧,民宿 孩子 喜欢 投影 吊椅 坐标 地铁 号线 芙蓉 广场 步行 设施 坐落 公寓楼 到位 入住 程序 押金 发送 开门 密码 密码 开启 盲盒 进屋 满意 投影 吊椅 餐桌 洗衣机 自备 洗衣 橱柜 电磁炉 锅具 卫生间 隔间 大床 布帘 隔开 布帘 空调 会略 电扇 可用 入住 超过 押金 中扣 押金 全额 不用 担心 用电量 热水器 用电 洗澡 洗澡 水温 是够 淋浴房 洗完 浴室 介意,"[(4, 0.9857119)]",4
1.开盲盒的床型，进去是这个钢铁架的床。光坐上去就会咯吱响，晚上翻身都是声音。2.位置和长沙最热闹主要的黄兴/五一步行街不近。走过去要二十分钟多，酒店本身周边没有热闹的逛街的地方。3.卫生不合格，进去浴室地上一搓头发，真的有点恶心……浴帘底部发霉，洗衣机脏，洗衣液是水一样的那种用不了的。4.开关位置不合理。床头开关离床远很不方便。要下床关了灯再重新上床。以上，希望可以改进。,盲盒 床型 钢铁 坐上去 翻身 声音 位置 热闹 步行街 酒店 热闹 逛街 地方 卫生 合格 浴室 头发 恶心 浴帘 发霉 洗衣机 洗衣 液是 开关 位置 不合理 床头 开关 离床 下床 上床 希望 改进,"[(12, 0.972684)]",12
干净舒适，高楼层，夜景漂亮，去地铁站方便，晚上安静，不像五一广场那么吵。住这里打车到各景点都好近，11到15就可以了，方便，好评，推荐。,干净 舒适 楼层 夜景 漂亮 地铁站 打车 景点 好评 推荐,"[(8, 0.3206006), (10, 0.6014718)]",10
房间新装修的，很干净，尤其床睡着很舒服！出行逛街步行大概10分钟左右就到商圈了，地铁口也不远，很方便，店主服务也很热情，住了4天，非常满意,房间 干净 睡着 舒服 出行 逛街 步行 商圈 地铁口 店主 热情 满意,"[(4, 0.9285666)]",4
房间很好，干净整齐，还有雨伞洗衣机冰箱，房价也不高很值得，离各个景点都很近，客服耐心温柔，值得推荐,房间 干净 雨伞 洗衣机 冰箱 房价 值得 景点 客服 耐心 温柔 值得 推荐,"[(3, 0.933668)]",3
长沙之行，入住两晚，非常满意，准备去长沙玩的小伙伴们，可以首选之一，环境好，夜晚很安静，睡的香才能玩的好,入住 满意 小伙伴 首选 环境,"[(0, 0.011905335), (1, 0.011905365), (2, 0.011905341), (3, 0.011905331), (4, 0.011905397), (5, 0.0119053405), (6, 0.011905422), (7, 0.011905316), (8, 0.01190532), (9, 0.01190533), (10, 0.84523046), (11, 0.011905338), (12, 0.011905337), (13, 0.011905342)]",10
非常方便，自助服务，干净整洁，下次还来，客服回复及时，好评,自助 干净 整洁 客服 回复 好评,"[(0, 0.010204951), (1, 0.010205007), (2, 0.010204903), (3, 0.010205), (4, 0.010204942), (5, 0.010204998), (6, 0.010204905), (7, 0.01020494), (8, 0.010205011), (9, 0.010204997), (10, 0.010204925), (11, 0.01020501), (12, 0.86733544), (13, 0.010205029)]",12
在步行街附近，去周边都很方便，干净卫生，全自助密码入住，也很方便，就是纸巾等消耗品，下次可以多放一些备用,步行街 干净 卫生 自助 密码 入住 纸巾 消耗品 备用,"[(12, 0.90713066)]",12
没有什么可圈可点的地方，就是普普通通，床是软床，但不好睡。停车费有点贵，45元一小时。要去20楼找另一家店的客服前台，才可以减免20。,地方 软床 停车费 小时 客服 前台 减免,"[(3, 0.8839097)]",3
还可以，住宿条件也不错，复式的酒店，房东老板很，房价也很可以,住宿 条件 不错 复式 酒店 房东 老板 房价,"[(3, 0.896816)]",3
卫生没问题 楼上有存放行李空间 整体美观 居住舒适～下次来长沙 会推荐这家～,卫生 存放 行李 空间 整体 居住 舒适 推荐,"[(8, 0.89681935)]",8
房型温馨舒适，离市区近，房东也非常热情，就房间阿姨打扫需要再仔细些就更好啦,房型 舒适 市区 房东 热情 房间 打扫 仔细,"[(4, 0.8968166)]",4
我真的超喜欢这个柜子呀！很不错的房间，像是在家里一样，还有洗衣机，超级棒,喜欢 柜子 不错 房间 像是 洗衣机,"[(0, 0.010204665), (1, 0.0102046495), (2, 0.01020466), (3, 0.010204683), (4, 0.010204636), (5, 0.010204653), (6, 0.010204666), (7, 0.010204681), (8, 0.010204686), (9, 0.010204653), (10, 0.86733913), (11, 0.010204816), (12, 0.010204674), (13, 0.010204742)]",10
房间不错，主要是位置合适，去五一广场商圈很近。从窗户望出去，视野很好，孩子比较喜欢。,房间 不错 位置 合适 商圈 窗户 视野 孩子 喜欢,"[(11, 0.9071365)]",11
房间很干净，空调凉快，还有智能小度，距离市中心也近，体验感不错,房间 干净 空调 凉快 智能 小度 距离 市中心 体验 不错,"[(13, 0.9155787)]",13
客服很有耐心，而且办事效率超高,客服 耐心 办事效率 超高,"[(0, 0.014288963), (1, 0.014289038), (2, 0.014288952), (3, 0.014288998), (4, 0.014288963), (5, 0.47128108), (6, 0.014288944), (7, 0.014288964), (8, 0.01428905), (9, 0.014289046), (10, 0.014288959), (11, 0.35725102), (12, 0.014288968), (13, 0.014289019)]",5
很舒心，第二次入住,舒心 入住,"[(0, 0.023810452), (1, 0.690465), (2, 0.02381034), (3, 0.023810418), (4, 0.023810418), (5, 0.023810448), (6, 0.023810461), (7, 0.023810366), (8, 0.023810342), (9, 0.023810409), (10, 0.023810342), (11, 0.02381032), (12, 0.02381035), (13, 0.023810374)]",1
非常满意，客服非常细心 设施：新颖 卫生：整洁 环境：舒适 服务：非常好,满意 客服 细心 设施 新颖 卫生 整洁 环境 舒适,"[(11, 0.9071377)]",11
非常好，房间舒服，很安静，电器都很好很新，卫生得好,房间 舒服 电器 卫生,"[(0, 0.014286112), (1, 0.014286124), (2, 0.014286077), (3, 0.014286079), (4, 0.8142808), (5, 0.014286043), (6, 0.014286032), (7, 0.014286092), (8, 0.014286094), (9, 0.014286078), (10, 0.014286082), (11, 0.014286132), (12, 0.014286149), (13, 0.014286097)]",4
很干净，里面的家具电器都很新，超级棒,干净 家具 电器,"[(0, 0.017859457), (1, 0.017859485), (2, 0.017859511), (3, 0.7678265), (4, 0.017859735), (5, 0.017859438), (6, 0.017859438), (7, 0.017859526), (8, 0.01785946), (9, 0.017859597), (10, 0.017859459), (11, 0.017859468), (12, 0.017859466), (13, 0.017859472)]",3
地理位置不错，房间也很干净，边上就有颐而康，来长沙怎么能不选择,地理位置 不错 房间 干净 选择,"[(0, 0.011904932), (1, 0.011904935), (2, 0.0119049195), (3, 0.8452359), (4, 0.011904904), (5, 0.01190489), (6, 0.011904915), (7, 0.0119049335), (8, 0.011904942), (9, 0.011904928), (10, 0.011904923), (11, 0.011904967), (12, 0.0119049195), (13, 0.011904957)]",3
在五一广场商圈，好评。值得推荐！,商圈 好评 值得 推荐,"[(0, 0.014286248), (1, 0.014286206), (2, 0.014286245), (3, 0.0142863), (4, 0.014286199), (5, 0.8142789), (6, 0.014286136), (7, 0.014286226), (8, 0.01428637), (9, 0.014286255), (10, 0.014286238), (11, 0.014286208), (12, 0.014286266), (13, 0.014286208)]",5
入住方便，空间大。周边好多店，购物和饮食很方便。,入住 空间 购物 饮食,"[(0, 0.014286852), (1, 0.0142868385), (2, 0.014286821), (3, 0.014286828), (4, 0.014286846), (5, 0.014286831), (6, 0.814271), (7, 0.014286838), (8, 0.01428688), (9, 0.014286843), (10, 0.014286813), (11, 0.014286834), (12, 0.014286952), (13, 0.01428686)]",6
房间很好 老板也很好，离地铁大概走七八分钟左右，适合和朋友们来住,房间 老板 地铁 适合 朋友,"[(0, 0.8452348), (1, 0.011905), (2, 0.0119050145), (3, 0.011905063), (4, 0.011905003), (5, 0.0119050145), (6, 0.01190502), (7, 0.011904991), (8, 0.011905021), (9, 0.0119050145), (10, 0.011905), (11, 0.01190501), (12, 0.011905036), (13, 0.011905005)]",0
很不错适合家庭出游，离中心街很近,不错 适合 家庭 中心,"[(0, 0.014286794), (1, 0.31746656), (2, 0.014286843), (3, 0.014286811), (4, 0.014286858), (5, 0.014286773), (6, 0.5110914), (7, 0.01428688), (8, 0.014286868), (9, 0.014286821), (10, 0.014286796), (11, 0.014286891), (12, 0.014286816), (13, 0.0142868655)]",6
酒店特别好特别干净特别舒服,酒店 干净 舒服,"[(0, 0.017857337), (1, 0.017857388), (2, 0.017857332), (3, 0.017857399), (4, 0.01785738), (5, 0.01785735), (6, 0.017857328), (7, 0.7678543), (8, 0.017857334), (9, 0.017857363), (10, 0.017857365), (11, 0.01785737), (12, 0.01785737), (13, 0.017857363)]",7
位置个人觉得还是可以，周围500米就有二家茶颜悦色，3公里范围内有拨子街，太平街，五一广场，文和友，楼下二楼是俏二烧烤，半夜也可以撸串，设施的话，个人觉得床太硬，夜景感觉没啥，冰箱阿姨没有清理里面，洗衣机个人建议看是否需要按一定时间洗衣机清洗内部，投影的话，我打开超出屏幕了，基本用不到，隔音效果,位置 拨子 文和友 二楼 烧烤 撸串 设施 夜景 感觉 冰箱 清理 洗衣机 建议 时间 洗衣机 清洗 投影 打开 超出 屏幕 不到 隔音 效果,"[(13, 0.96130466)]",13
房间和图片里的一样，一家人都非常喜欢，酒店位置也很容易找到，楼下也有便利店，去五一广场坐车也很方便，职员也很有礼貌，因为来不及在退房时间前回到去，也可以让我们延迟一点退房，服务态度非常值得赞赏！,房间 图片 一家人 喜欢 酒店 位置 找到 便利店 坐车 职员 礼貌 退房 时间 回到 延迟 退房 服务态度 值得 赞赏,"[(10, 0.95356786)]",10
房间不错，住的舒服☺️,房间 不错 舒服,"[(0, 0.0178573), (1, 0.0178573), (2, 0.01785728), (3, 0.017857317), (4, 0.017857343), (5, 0.017857285), (6, 0.017857306), (7, 0.01785735), (8, 0.017857308), (9, 0.017857287), (10, 0.017857315), (11, 0.017857349), (12, 0.017857315), (13, 0.7678549)]",13
