Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重,Topic15-主题词,Topic15-权重,Topic16-主题词,Topic16-权重,Topic17-主题词,Topic17-权重,Topic18-主题词,Topic18-权重
烧烤,0.002,情调,0.007,认准,0.004,艺术馆,0.005,热情,0.004,洗衣机,0.003,放松,0.003,主题,0.003,酒水,0.003,温暖,0.002,商圈,0.004,往前走,0.004,幸好,0.006,享受,0.003,豆子,0.005,来到,0.004,攻略,0.003,阳台,0.003,希望,0.003
不适,0.002,环境,0.000,停车,0.004,喜欢,0.005,店家,0.004,超大,0.003,公寓,0.003,失落,0.003,窗帘,0.003,摄影,0.002,投影仪,0.004,宽敞,0.004,中心,0.006,公交,0.003,蛮大,0.005,骨子里,0.004,合适,0.003,退房,0.003,轻松,0.003
冷暖,0.002,房间,0.000,价格,0.004,热心,0.005,帮忙,0.004,客服,0.003,洗澡,0.003,夜景,0.003,装修,0.003,回复,0.002,开业,0.004,风景,0.004,独立,0.006,摆烂,0.003,吵闹,0.005,布局,0.004,正街,0.003,样子,0.003,投影设备,0.003
棒棒,0.002,老板,0.000,零食,0.004,视野,0.005,解放,0.004,隔音,0.003,洗头,0.003,店里,0.003,还给,0.003,舒心,0.002,客气,0.004,出差,0.004,周到,0.006,落日,0.003,公交,0.005,度假,0.004,布置,0.003,庆幸,0.003,店长,0.003
居住,0.002,民宿,0.000,拍照,0.004,体验,0.005,打卡,0.004,公寓,0.003,一楼,0.003,情人节,0.003,散步,0.003,音响,0.002,大爷,0.004,用心,0.004,环境,0.006,办理,0.003,酒店,0.005,图片,0.004,打卡,0.003,堵车,0.003,细节,0.003
麻烦,0.002,热情,0.000,床品,0.004,很漂亮,0.005,便利,0.004,照片,0.003,客房,0.003,回家,0.003,电视,0.003,放松,0.002,可惜,0.004,希望,0.004,山景,0.006,客气,0.003,地方,0.005,好评,0.004,亲子,0.003,全是,0.003,目标,0.003
音响,0.002,满意,0.000,游戏机,0.004,一楼,0.005,院子,0.004,老板娘,0.003,管家,0.003,床上,0.003,不愧,0.003,特色美食,0.002,智能,0.004,原因,0.004,热心,0.006,板能,0.003,气质,0.005,帮忙,0.004,围着,0.003,灰尘,0.003,合适,0.003
开心,0.002,性价比,0.000,摆设,0.004,蚊虫,0.005,装修,0.004,景点,0.003,休息,0.003,烤火,0.003,龙头,0.003,音乐,0.002,听听,0.004,睡觉,0.004,位置,0.006,空气,0.003,足够,0.005,店主,0.004,名宿,0.003,酒店设施,0.003,居住面积,0.003
接受,0.002,酒店,0.000,建议,0.004,女朋友,0.005,舒适,0.004,声音,0.003,露台,0.003,亮堂,0.003,地铁,0.003,两间房,0.002,贴心,0.004,办理,0.004,好喝,0.006,很好,0.003,很爽,0.005,介绍,0.004,空间,0.003,现金,0.003,总体,0.003
漏水,0.002,推荐,0.000,软硬,0.004,西餐,0.005,朋友,0.004,用品,0.003,态度,0.003,防滑垫,0.003,客服,0.003,围炉,0.002,地理位置,0.004,逛逛,0.004,所得,0.006,机会,0.003,别墅,0.005,地道,0.004,到位,0.003,行李,0.003,浴缸,0.003
卫生间,0.002,感觉,0.000,电梯,0.004,情调,0.005,超好,0.004,退房,0.003,用心,0.003,走心,0.003,人性化,0.003,行李箱,0.002,天花板,0.004,早餐时间,0.004,图片,0.006,错峰,0.003,挺好,0.005,夜景,0.004,宗街,0.003,绝望,0.003,洗漱,0.003
原因,0.002,很棒,0.000,蚊虫,0.004,贴心,0.005,感受,0.004,智能,0.003,交通,0.003,家用,0.003,味道,0.003,舒适,0.002,早餐,0.004,沟通,0.004,民宿,0.006,分公司,0.003,棉花,0.005,价格,0.004,房东,0.003,隔音,0.003,江景,0.003
配合,0.002,入住,0.000,提醒,0.004,冲凉,0.005,楼层,0.003,服务态度,0.003,吃饭,0.003,做饭,0.003,烧烤,0.003,看电视,0.002,兄弟,0.004,流程,0.004,确实,0.006,枕头,0.003,便利,0.005,过程,0.004,隔音,0.003,角落,0.003,社恐,0.003
贴心,0.002,值得,0.000,视野,0.004,酒店设计,0.005,全程,0.003,价格,0.003,店家,0.003,姐姐,0.003,小吃,0.003,关键,0.002,修心,0.004,出租车,0.004,不错,0.000,编织袋,0.003,直达,0.005,听说,0.004,热心,0.003,标准,0.003,舒适度,0.003
小酒馆,0.002,交通,0.000,适中,0.004,走进,0.005,沟通,0.003,开心,0.003,图片,0.003,浴室,0.003,看着,0.003,条件,0.002,亲自动手,0.004,配色,0.004,老板,0.000,回答,0.003,聊聊,0.005,妥妥,0.004,厕所,0.003,电话,0.003,偷闲,0.003
还好,0.002,舒适,0.000,配备,0.004,画作,0.005,全景,0.002,风格,0.002,地理位置,0.003,森林,0.003,泡澡,0.003,烟雨,0.002,对货,0.004,睡眠,0.004,舒服,0.000,物品,0.003,老街,0.005,小度,0.004,很漂亮,0.003,转回,0.003,坡子,0.003
好用,0.002,整体,0.000,加热,0.004,舒适度,0.005,问路,0.002,很漂亮,0.002,特色,0.003,热水器,0.003,落地窗,0.003,惊喜,0.002,客栈,0.004,介绍,0.004,性价比,0.000,热水,0.003,独特,0.005,拒绝,0.004,露台,0.003,到达,0.003,店家,0.003
原地,0.002,整洁,0.000,灰尘,0.004,温暖,0.004,铁盒,0.002,美食,0.002,挺好,0.003,视野,0.003,等位,0.003,轻松,0.002,万事,0.004,方方面面,0.004,舒适,0.000,总能,0.003,外地,0.005,挺好吃,0.004,感到,0.003,停车,0.003,排队,0.003
多虑,0.002,市中心,0.000,小时候,0.004,希望,0.003,本地人,0.002,地方,0.002,细致,0.003,游玩,0.003,水龙头,0.003,悬浮,0.002,厕所,0.004,不用,0.004,服务态度,0.000,轻松,0.003,游客,0.005,香味,0.004,延迟,0.003,点评,0.003,房问,0.003
榻榻米,0.002,阳台,0.000,公司,0.004,感觉,0.003,新房,0.002,房东,0.002,再来,0.003,房子,0.003,拼盘,0.003,带有,0.002,装修,0.004,质量,0.004,感觉,0.000,出片,0.003,还给,0.005,特色,0.004,干湿,0.003,天台,0.003,愉快,0.003
玩耍,0.002,出门,0.000,好看,0.004,独立,0.003,私密,0.002,电梯,0.002,被子,0.002,没法,0.003,问烦,0.003,很漂亮,0.002,少见,0.004,卫生设施,0.004,喜欢,0.000,二楼,0.003,晚餐,0.005,店家,0.004,声音,0.003,事儿,0.003,隐藏,0.003
柔软,0.002,很好,0.000,芙蓉,0.004,院子,0.003,吊灯,0.002,走路,0.002,确实,0.002,惊喜,0.003,旅店,0.003,小巷,0.002,超赞,0.004,欣慰,0.004,值得,0.000,建议,0.003,三间房,0.005,好找,0.004,面积,0.003,感应,0.003,视野,0.003
食饭,0.002,投影,0.000,声音,0.004,蜗牛,0.003,沐浴,0.002,妥妥,0.002,拍照,0.002,湘菜馆,0.003,挺好,0.003,国金,0.002,外省,0.004,玩玩,0.004,很棒,0.000,口头,0.003,氛围,0.005,入住,0.004,浴室,0.003,有限,0.003,大点,0.003
心情,0.002,环境优美,0.000,左手边,0.004,客人,0.003,早起,0.002,采光,0.002,小吃,0.002,愉快,0.003,滴滴,0.003,幽雅,0.002,对版,0.004,网友,0.004,交通,0.000,优越,0.003,失望,0.005,地段,0.004,打扫,0.003,重点,0.003,拍照,0.003
牙膏,0.002,拍照,0.000,大厅,0.004,灯光,0.003,日落,0.002,花园,0.002,椅子,0.002,市中心,0.003,粉面,0.003,很棒,0.002,电池,0.004,酒店,0.004,便利,0.000,剥落,0.003,睡觉,0.005,隐藏,0.004,酒吧,0.003,押金,0.003,主题,0.003
分享,0.002,行李,0.000,小巷,0.004,咖啡,0.003,亲测,0.002,厕所,0.002,看书,0.002,漱口水,0.003,配备,0.003,全屋,0.002,很大,0.004,原味,0.004,店家,0.000,早餐,0.003,实在,0.005,风景,0.004,满意,0.003,姐姐,0.003,性价比,0.003
确实,0.002,好吃,0.000,酒店,0.004,小时,0.002,文化,0.002,很足,0.002,巷子,0.002,美食,0.003,感觉,0.003,空空,0.002,露台,0.004,久留,0.004,很好,0.000,整间,0.003,不错,0.005,拼盘,0.004,公寓,0.003,无敌,0.003,时间,0.003
感谢,0.002,总体,0.000,群里,0.004,看书,0.002,精致,0.002,只能,0.002,想象,0.002,优越,0.003,牛奶,0.003,包圆,0.002,吹风机,0.004,会带,0.004,住宿,0.000,事情,0.003,亮点,0.005,院子,0.004,围炉,0.003,优选,0.003,行李,0.003
卧室,0.002,机会,0.000,下车,0.004,衣服,0.002,距离,0.002,很好,0.002,体会,0.002,绿化,0.003,负责,0.003,阴雨,0.002,省去,0.004,开心,0.004,行李,0.000,配备,0.003,自主,0.005,带有,0.004,好看,0.003,遇上,0.003,下楼,0.003
收藏,0.002,很大,0.000,轮流,0.004,衣架,0.002,统统,0.002,密码,0.002,时间,0.002,广场,0.003,阳台,0.003,冬瓜,0.002,快乐,0.004,老板娘,0.004,整体,0.000,推荐,0.003,提前,0.005,无宿,0.004,员工,0.003,给我发,0.003,景区,0.003
