Pre-Theme,Theme,Sim,Theme,Next-Theme,Sim,Theme,Next-Theme,Sim
Q1 Topic 10,Q2 Topic 10,0.83,Q2 Topic 9,Q3 Topic 0,0.6,Q3 Topic 7,Q4 Topic 10,0.84
Q1 Topic 10,Q2 Topic 11,0.63,Q2 Topic 9,Q3 Topic 1,0.59,Q3 Topic 7,Q4 Topic 11,0.84
Q1 Topic 10,Q2 Topic 12,0.54,Q2 Topic 9,Q3 Topic 2,0.65,Q3 Topic 7,Q4 Topic 12,0.74
Q1 Topic 11,Q2 Topic 0,0.58,Q2 Topic 9,Q3 Topic 3,0.54,Q3 Topic 7,Q4 Topic 13,0.67
Q1 Topic 11,Q2 Topic 1,0.65,Q2 Topic 9,Q3 Topic 4,0.54,Q3 Topic 7,Q4 Topic 14,0.7
Q1 Topic 11,Q2 Topic 2,0.67,Q2 Topic 9,Q3 Topic 5,0.54,Q3 Topic 7,Q4 Topic 15,0.77
Q1 Topic 11,Q2 Topic 3,0.57,Q2 Topic 9,Q3 Topic 6,0.62,Q3 Topic 8,Q4 Topic 0,0.65
Q1 Topic 11,Q2 Topic 4,0.62,Q2 Topic 9,Q3 Topic 7,0.65,Q3 Topic 8,Q4 Topic 1,0.71
Q1 Topic 11,Q2 Topic 5,0.67,Q2 Topic 9,Q3 Topic 8,0.64,Q3 Topic 8,Q4 Topic 2,0.7
Q1 Topic 11,Q2 Topic 6,0.68,Q2 Topic 9,Q3 Topic 9,0.76,Q3 Topic 8,Q4 Topic 4,0.73
Q1 Topic 11,Q2 Topic 7,0.73,Q2 Topic 9,Q3 Topic 10,0.65,Q3 Topic 8,Q4 Topic 5,0.81
Q1 Topic 11,Q2 Topic 8,0.71,Q2 Topic 9,Q3 Topic 11,0.64,Q3 Topic 8,Q4 Topic 6,0.78
Q1 Topic 11,Q2 Topic 9,0.62,Q2 Topic 9,Q3 Topic 13,0.6,Q3 Topic 8,Q4 Topic 7,0.83
Q1 Topic 11,Q2 Topic 10,0.71,Q2 Topic 10,Q3 Topic 0,0.74,Q3 Topic 8,Q4 Topic 8,0.81
Q1 Topic 11,Q2 Topic 11,0.81,Q2 Topic 10,Q3 Topic 1,0.65,Q3 Topic 8,Q4 Topic 9,0.74
Q1 Topic 11,Q2 Topic 12,0.62,Q2 Topic 10,Q3 Topic 2,0.75,Q3 Topic 8,Q4 Topic 10,0.79
Q1 Topic 12,Q2 Topic 0,0.62,Q2 Topic 10,Q3 Topic 3,0.61,Q3 Topic 8,Q4 Topic 11,0.75
Q1 Topic 12,Q2 Topic 1,0.55,Q2 Topic 10,Q3 Topic 4,0.69,Q3 Topic 8,Q4 Topic 12,0.66
Q1 Topic 12,Q2 Topic 2,0.58,Q2 Topic 10,Q3 Topic 5,0.74,Q3 Topic 8,Q4 Topic 13,0.59
Q1 Topic 12,Q2 Topic 4,0.68,Q2 Topic 10,Q3 Topic 6,0.81,Q3 Topic 8,Q4 Topic 14,0.66
Q1 Topic 12,Q2 Topic 5,0.66,Q2 Topic 10,Q3 Topic 7,0.78,Q3 Topic 8,Q4 Topic 15,0.68
Q1 Topic 12,Q2 Topic 6,0.72,Q2 Topic 10,Q3 Topic 8,0.77,Q3 Topic 9,Q4 Topic 0,0.7
Q1 Topic 12,Q2 Topic 7,0.7,Q2 Topic 10,Q3 Topic 9,0.75,Q3 Topic 9,Q4 Topic 1,0.72
Q1 Topic 12,Q2 Topic 8,0.64,Q2 Topic 10,Q3 Topic 10,0.87,Q3 Topic 9,Q4 Topic 2,0.8
Q1 Topic 12,Q2 Topic 9,0.5,Q2 Topic 10,Q3 Topic 11,0.74,Q3 Topic 9,Q4 Topic 4,0.67
Q1 Topic 12,Q2 Topic 10,0.69,Q2 Topic 10,Q3 Topic 12,0.71,Q3 Topic 9,Q4 Topic 5,0.69
Q1 Topic 12,Q2 Topic 11,0.63,Q2 Topic 10,Q3 Topic 13,0.72,Q3 Topic 9,Q4 Topic 6,0.74
Q1 Topic 12,Q2 Topic 12,0.74,Q2 Topic 11,Q3 Topic 0,0.66,Q3 Topic 9,Q4 Topic 7,0.76
Q1 Topic 13,Q2 Topic 0,0.53,Q2 Topic 11,Q3 Topic 1,0.63,Q3 Topic 9,Q4 Topic 8,0.71
Q1 Topic 13,Q2 Topic 2,0.54,Q2 Topic 11,Q3 Topic 2,0.73,Q3 Topic 9,Q4 Topic 9,0.87
Q1 Topic 13,Q2 Topic 4,0.59,Q2 Topic 11,Q3 Topic 3,0.66,Q3 Topic 9,Q4 Topic 10,0.78
Q1 Topic 13,Q2 Topic 5,0.51,Q2 Topic 11,Q3 Topic 4,0.69,Q3 Topic 9,Q4 Topic 11,0.72
Q1 Topic 13,Q2 Topic 6,0.57,Q2 Topic 11,Q3 Topic 5,0.66,Q3 Topic 9,Q4 Topic 12,0.57
Q1 Topic 13,Q2 Topic 7,0.65,Q2 Topic 11,Q3 Topic 6,0.76,Q3 Topic 9,Q4 Topic 13,0.62
Q1 Topic 13,Q2 Topic 8,0.51,Q2 Topic 11,Q3 Topic 7,0.78,Q3 Topic 9,Q4 Topic 14,0.56
Q1 Topic 13,Q2 Topic 11,0.7,Q2 Topic 11,Q3 Topic 8,0.73,Q3 Topic 9,Q4 Topic 15,0.66
Q1 Topic 13,Q2 Topic 12,0.53,Q2 Topic 11,Q3 Topic 9,0.7,Q3 Topic 10,Q4 Topic 0,0.81
Q1 Topic 14,Q2 Topic 0,0.58,Q2 Topic 11,Q3 Topic 10,0.74,Q3 Topic 10,Q4 Topic 1,0.69
Q1 Topic 14,Q2 Topic 1,0.64,Q2 Topic 11,Q3 Topic 11,0.85,Q3 Topic 10,Q4 Topic 2,0.84
